pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,spotkube_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods,spotkube_excess_pods
1,1,1,1060083.9218750002,316707.68377483444,1060083.9218750002,575689.9912280701,1060083.9218750002,0.0,3.0,0.0,1.0,0.0
5,1,1,226273.97739726026,158353.84194654683,212016.78416666668,191896.66390513323,127639.78888888888,0.0,3.0,0.0,1.0,0.0
6,1,1,191896.66390513323,158353.84194654683,176680.65350115742,191896.66390513323,197265.7759772147,0.0,2.0,0.0,0.0,0.0
10,1,1,115137.99830409355,105569.22795122465,106008.39213541668,115137.99830409355,109483.90148176294,0.0,2.0,0.0,0.0,0.0
14,1,1,82241.42737796874,79176.92095849101,75720.28008078232,82241.42737796874,80586.86323366556,0.0,2.0,0.0,0.0,0.0
15,1,1,76306.77476153648,79176.92095849101,70672.26141203704,71961.2489491959,51342.19337660176,0.0,1.0,0.0,1.0,0.0
17,1,1,67376.07977740276,63341.53676442762,62357.87772130911,63965.554635044406,23710.17751615882,0.0,3.0,0.0,1.0,0.0
20,1,1,57568.99916666666,63341.53676442762,53004.196054687505,57568.99916666666,25184.312201923076,0.0,0.0,0.0,0.0,0.0
25,1,1,45891.98849162011,45243.95483463017,42403.35684166667,44283.8455136856,26854.346062602963,0.0,3.0,0.0,1.0,0.0
30,1,1,38379.33277452891,39588.46047924551,35336.13070601852,38379.33277452891,17786.786234771716,0.0,2.0,0.0,0.0,0.0
35,1,1,32813.18365444079,35189.74264748823,30288.11203231292,31982.77731300989,16766.68495348091,0.0,1.0,0.0,1.0,0.0
40,1,1,28784.49958333333,31670.768384578998,26502.098027343753,28784.49958333333,9277.631157416088,0.0,0.0,0.0,0.0,0.0
45,1,1,25529.12126630388,26392.30698616367,23557.42047067901,25029.99963795753,9497.10661826005,0.0,3.0,0.0,1.0,0.0
50,1,1,23014.141103448277,24362.129526739176,21201.678422916666,23027.599665497077,7508.97402668239,0.0,2.0,0.0,0.0,0.0
