pods,cpu,memory,nodepool_config,first_time,region
17,7,7,"[{'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 19:11:42+09:00,eu-west-1
17,7,7,"[{'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 11:12:11+09:00,eu-west-1
17,7,7,"[{'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 13:12:13+09:00,eu-west-1
17,7,7,"[{'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 07:11:14+09:00,eu-west-1
17,7,7,"[{'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 15:11:38+09:00,eu-west-1
17,7,7,"[{'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 05:12:06+09:00,eu-west-1
50,1,2,"[{'instance_type': 'c6g.16xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-05-22 09:03:49+09:00,eu-west-1
50,1,2,"[{'instance_type': 'c6g.16xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-05-22 03:04:22+09:00,eu-west-1
50,1,2,"[{'instance_type': 'c6g.16xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-05-22 17:03:38+09:00,eu-west-1
50,1,2,"[{'instance_type': 'c6g.16xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-05-22 19:03:33+09:00,eu-west-1
50,1,2,"[{'instance_type': 'c6g.16xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-05-22 11:04:03+09:00,eu-west-1
50,1,2,"[{'instance_type': 'c6g.16xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-05-22 13:04:13+09:00,eu-west-1
50,1,2,"[{'instance_type': 'c6g.16xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-05-22 07:03:49+09:00,eu-west-1
50,1,2,"[{'instance_type': 'c6g.16xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-05-22 15:03:43+09:00,eu-west-1
50,1,2,"[{'instance_type': 'c6g.16xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}]",2025-05-22 05:03:49+09:00,eu-west-1
50,1,4,"[{'instance_type': 'm6g.16xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 09:03:57+09:00,eu-west-1
50,1,4,"[{'instance_type': 'm6g.16xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 03:04:21+09:00,eu-west-1
50,1,4,"[{'instance_type': 'm6g.16xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 17:03:37+09:00,eu-west-1
50,1,4,"[{'instance_type': 'm6g.16xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 19:03:35+09:00,eu-west-1
50,1,4,"[{'instance_type': 'm6g.16xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 11:03:58+09:00,eu-west-1
50,1,4,"[{'instance_type': 'm6g.16xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 13:04:08+09:00,eu-west-1
50,1,4,"[{'instance_type': 'm6g.16xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 07:03:50+09:00,eu-west-1
50,1,4,"[{'instance_type': 'm6g.16xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 15:03:37+09:00,eu-west-1
50,1,4,"[{'instance_type': 'm6g.16xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 05:03:50+09:00,eu-west-1
50,2,2,"[{'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 09:03:48+09:00,eu-west-1
50,2,2,"[{'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 03:04:22+09:00,eu-west-1
50,2,2,"[{'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 17:03:47+09:00,eu-west-1
50,2,2,"[{'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 19:03:34+09:00,eu-west-1
50,2,2,"[{'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 11:04:03+09:00,eu-west-1
50,2,2,"[{'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 13:04:07+09:00,eu-west-1
50,2,2,"[{'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 07:03:50+09:00,eu-west-1
50,2,2,"[{'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 15:03:36+09:00,eu-west-1
50,2,2,"[{'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 05:03:49+09:00,eu-west-1
75,3,5,"[{'instance_type': 'c6g.12xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 09:11:03+09:00,eu-west-1
75,3,5,"[{'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}, {'instance_type': 'm8g.24xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 03:13:32+09:00,eu-west-1
75,3,5,"[{'instance_type': 'c6g.12xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 17:11:33+09:00,eu-west-1
75,3,5,"[{'instance_type': 'c6g.12xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 19:11:43+09:00,eu-west-1
75,3,5,"[{'instance_type': 'c6g.12xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 11:12:13+09:00,eu-west-1
75,3,5,"[{'instance_type': 'c6g.12xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}, {'instance_type': 't3.xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 13:12:24+09:00,eu-west-1
75,3,5,"[{'instance_type': 'c6g.12xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 07:11:13+09:00,eu-west-1
75,3,5,"[{'instance_type': 'c6g.12xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 15:11:39+09:00,eu-west-1
75,3,5,"[{'instance_type': 'c6g.12xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 05:12:07+09:00,eu-west-1
100,1,2,"[{'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 09:03:48+09:00,eu-west-1
100,1,2,"[{'instance_type': 'c5n.18xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1}, {'instance_type': 'm6g.8xlarge', 'availability_zone': 'eu-west-1a', 'num_instances': 1}]",2025-05-22 03:04:31+09:00,eu-west-1
100,1,2,"[{'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 17:03:39+09:00,eu-west-1
100,1,2,"[{'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 19:03:34+09:00,eu-west-1
100,1,2,"[{'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1}]",2025-05-22 11:03:58+09:00,eu-west-1
