pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods
10,1,2,246107.47137499996,246107.47137499996,219921.16303030303,219921.16303030303,0.0,0.0,0.0,0.0
10,1,4,172080.3288888889,9544.915593083539,109231.47027624308,25983.56699303456,0.0,182.0,0.0,38.0
10,2,2,93041.78205489091,11213.691964448331,56385.77363896849,24812.29983608624,0.0,86.0,0.0,22.0
17,7,7,16414.85759083045,11213.691965122884,10638.942659769285,12406.149918043122,1.0,10.0,0.0,1.0
50,1,2,49221.494285,49221.494285,43984.23261010101,43984.23261010101,0.0,0.0,0.0,0.0
50,1,4,34416.065777777774,9544.915593083539,21846.294059668508,12991.78349651728,0.0,142.0,0.0,46.0
50,2,2,21016.485902512286,11213.691964448331,11277.154727793697,12406.14991804312,0.0,46.0,0.0,14.0
75,3,5,9216.839169311355,7430.055402698333,3180.3854545454546,6203.074959021561,0.0,21.0,0.0,9.0
100,1,2,24306.910758024693,24306.910758024693,21992.116306060605,21992.116306060605,0.0,0.0,0.0,0.0
100,1,4,17208.032888888887,9544.915593083539,10923.14703038674,8661.188997678188,0.0,92.0,0.0,44.0
100,2,2,10693.302494008129,7430.055402698333,5638.5773638968485,6203.07495902156,0.0,44.0,0.0,28.0
115,4,2,4530.623843262264,4436.319016327295,2074.1644268774703,3101.53747951078,1.0,5.0,0.0,13.0
287,1,6,4638.296249278097,3523.2867588932804,3094.268706558265,3737.4348958333335,0.0,97.0,0.0,1.0
400,1,2,5566.982813839963,4511.238913987899,5498.0290764520205,5498.0290764520205,0.0,88.0,0.0,0.0
400,1,4,4569.597584762131,3181.638531027846,2730.786757596685,2887.062999226063,0.0,176.0,0.0,32.0
400,2,2,2651.477706151974,2456.644446306449,1409.6443409742121,1908.6384489297113,0.0,32.0,0.0,16.0
439,1,9,2690.6681617935456,2348.8578392621866,1302.9810015574642,2038.6008522839686,0.0,71.0,0.0,23.0
1000,1,2,2152.898842083305,2020.6634995216634,2199.21163059596,2199.21163059596,0.0,64.0,0.0,0.0
1000,1,4,1827.8390339048526,1590.819265513923,1092.314703038674,1237.3127139540268,0.0,152.0,0.0,8.0
1000,2,2,1053.2402478181548,1049.4823824253951,563.8577363896848,775.384369877695,0.0,8.0,0.0,24.0
