pods,cpu,mem,alpha,cost,performance,perf_per_cost,actual_pods,excess_pods
10.0,1.0,2.0,0.0,0.040900000000000006,200973,491377,10,0
10.0,1.0,4.0,0.18,0.1006,309827,307979,10,0
10.0,2.0,2.0,0.0,0.0921,236143,213665,12,2
17.0,7.0,7.0,0.0,0.5219,334536,37705,17,0
50.0,1.0,2.0,0.0,0.19440000000000002,988118,101658,50,0
50.0,1.0,4.0,0.16,0.4082,1639536,62757,64,14
50.0,2.0,2.0,0.0,0.3991,1023289,49307,52,2
75.0,3.0,5.0,0.0,1.0554,1477291,18663,75,0
100.0,1.0,2.0,0.0,0.38880000000000003,1976237,50829,100,0
100.0,1.0,4.0,0.16,0.6174999999999999,2391466,38728,100,0
100.0,2.0,2.0,0.0,0.7675000000000001,1967863,25639,100,0
115.0,4.0,2.0,0.0,1.7918,2282721,10982,116,1
287.0,1.0,6.0,0.0,1.5372000000000001,5652293,12767,288,1
400.0,1.0,2.0,0.0,1.5350000000000001,7871453,12819,400,0
400.0,1.0,4.0,0.0,2.1723999999999997,7851249,9035,400,0
400.0,2.0,2.0,0.0,3.1399999999999997,7871453,6267,400,0
439.0,1.0,9.0,0.0,2.7328,8792456,7181,448,9
1000.0,1.0,2.0,0.0,3.9825,19678634,4941,1000,0
1000.0,1.0,4.0,0.16,5.4384,20100276,3695,1000,0
1000.0,2.0,2.0,0.0,8.5206,19682176,2309,1000,0
