alpha,cost,performance,perf_per_cost,actual_pods,excess_pods,instance_types
0.0,0.3098,976705,3152695.781610255,50,0,"{'c6gd.2xlarge_use1-az6': 4, 'r6g.8xlarge_use1-az5': 1, 't3a.large_use1-az2': 1}"
0.01,0.3098,976705,3152695.781610255,50,0,"{'c6gd.2xlarge_use1-az6': 4, 'r6g.8xlarge_use1-az5': 1, 't3a.large_use1-az2': 1}"
0.02,0.3098,976705,3152695.781610255,50,0,"{'c6gd.2xlarge_use1-az6': 4, 'r6g.8xlarge_use1-az5': 1, 't3a.large_use1-az2': 1}"
0.03,0.3098,976705,3152695.781610255,50,0,"{'c6gd.2xlarge_use1-az6': 4, 'r6g.8xlarge_use1-az5': 1, 't3a.large_use1-az2': 1}"
0.04,0.3098,976705,3152695.781610255,50,0,"{'c6gd.2xlarge_use1-az6': 4, 'r6g.8xlarge_use1-az5': 1, 't3a.large_use1-az2': 1}"
0.05,0.3098,976705,3152695.781610255,50,0,"{'c6gd.2xlarge_use1-az6': 4, 'r6g.8xlarge_use1-az5': 1, 't3a.large_use1-az2': 1}"
0.06,0.3098,976705,3152695.781610255,50,0,"{'c6gd.2xlarge_use1-az6': 4, 'r6g.8xlarge_use1-az5': 1, 't3a.large_use1-az2': 1}"
0.07,0.3098,976705,3152695.781610255,50,0,"{'c6gd.2xlarge_use1-az6': 4, 'r6g.8xlarge_use1-az5': 1, 't3a.large_use1-az2': 1}"
0.08,0.3098,976705,3152695.781610255,50,0,"{'c6gd.2xlarge_use1-az6': 4, 'r6g.8xlarge_use1-az5': 1, 't3a.large_use1-az2': 1}"
0.09,0.3098,976705,3152695.781610255,50,0,"{'c6gd.2xlarge_use1-az6': 4, 'r6g.8xlarge_use1-az5': 1, 't3a.large_use1-az2': 1}"
0.1,0.3098,976705,3152695.781610255,50,0,"{'c6gd.2xlarge_use1-az6': 4, 'r6g.8xlarge_use1-az5': 1, 't3a.large_use1-az2': 1}"
0.11,0.338,1256065,3716169.112426035,64,14,{'r6g.8xlarge_use1-az5': 2}
0.12,0.338,1256065,3716169.112426035,64,14,{'r6g.8xlarge_use1-az5': 2}
0.13,0.338,1256065,3716169.112426035,64,14,{'r6g.8xlarge_use1-az5': 2}
0.14,0.338,1256065,3716169.112426035,64,14,{'r6g.8xlarge_use1-az5': 2}
0.15,0.338,1256065,3716169.112426035,64,14,{'r6g.8xlarge_use1-az5': 2}
0.16,0.338,1256065,3716169.112426035,64,14,{'r6g.8xlarge_use1-az5': 2}
0.17,0.338,1256065,3716169.112426035,64,14,{'r6g.8xlarge_use1-az5': 2}
0.18,0.338,1256065,3716169.112426035,64,14,{'r6g.8xlarge_use1-az5': 2}
0.19,0.338,1256065,3716169.112426035,64,14,{'r6g.8xlarge_use1-az5': 2}
0.2,0.338,1256065,3716169.112426035,64,14,{'r6g.8xlarge_use1-az5': 2}
0.21,1.4611,5947096,4070286.8841283964,192,142,{'m8g.metal-48xl_use1-az4': 1}
0.22,1.4611,5947096,4070286.8841283964,192,142,{'m8g.metal-48xl_use1-az4': 1}
0.23,9.911100000000001,37348725,3768373.35577282,1792,1742,"{'m8g.metal-48xl_use1-az4': 1, 'r6g.8xlarge_use1-az5': 50}"
0.24,9.911100000000001,37348725,3768373.35577282,1792,1742,"{'m8g.metal-48xl_use1-az4': 1, 'r6g.8xlarge_use1-az5': 50}"
0.25,9.911100000000001,37348725,3768373.35577282,1792,1742,"{'m8g.metal-48xl_use1-az4': 1, 'r6g.8xlarge_use1-az5': 50}"
0.26,139.7866,447459987,3201022.039583193,15272,15222,"{'inf2.48xlarge_use1-az6': 25, 'm8g.metal-48xl_use1-az2': 5, 'm8g.metal-48xl_use1-az4': 1, 'm8g.metal-48xl_use1-az6': 35, 'm8g.xlarge_use1-az5': 10, 'r6g.8xlarge_use1-az5': 50, 'r8g.48xlarge_use1-az4': 5}"
0.27,140.33499999999998,449099523,3200196.1301343217,15336,15286,"{'inf2.48xlarge_use1-az6': 25, 'm7g.16xlarge_use1-az5': 1, 'm8g.metal-48xl_use1-az2': 5, 'm8g.metal-48xl_use1-az4': 1, 'm8g.metal-48xl_use1-az6': 35, 'm8g.xlarge_use1-az5': 10, 'r6g.8xlarge_use1-az5': 50, 'r8g.48xlarge_use1-az4': 5}"
0.28,173.20479999999998,544859419,3145752.4269304317,18992,18942,"{'inf2.48xlarge_use1-az6': 25, 'm7g.16xlarge_use1-az5': 1, 'm7g.metal_use1-az6': 50, 'm8g.metal-48xl_use1-az2': 5, 'm8g.metal-48xl_use1-az4': 1, 'm8g.metal-48xl_use1-az6': 35, 'm8g.xlarge_use1-az5': 10, 'm8g.xlarge_use1-az6': 50, 'r6g.8xlarge_use1-az5': 50, 'r7g.16xlarge_use1-az5': 1, 'r8g.48xlarge_use1-az4': 5, 'r8gd.metal-48xl_use1-az6': 1}"
0.29,210.34629999999999,648074322,3080987.5091389767,22320,22270,"{'inf2.48xlarge_use1-az6': 25, 'm7g.16xlarge_use1-az5': 1, 'm7g.metal_use1-az6': 50, 'm8g.24xlarge_use1-az5': 1, 'm8g.metal-48xl_use1-az2': 5, 'm8g.metal-48xl_use1-az4': 1, 'm8g.metal-48xl_use1-az6': 35, 'm8g.xlarge_use1-az5': 10, 'm8g.xlarge_use1-az6': 50, 'm8gd.8xlarge_use1-az6': 1, 'r6g.8xlarge_use1-az5': 50, 'r7g.16xlarge_use1-az5': 1, 'r8g.16xlarge_use1-az6': 50, 'r8g.48xlarge_use1-az4': 5, 'r8gd.metal-48xl_use1-az6': 1}"
0.3,249.02859999999993,749762321,3010747.848617754,25711,25661,"{'i8ge.metal-24xl_use1-az4': 1, 'i8ge.metal-48xl_use1-az6': 1, 'inf2.48xlarge_use1-az6': 25, 'm7g.16xlarge_use1-az5': 1, 'm7g.metal_use1-az1': 1, 'm7g.metal_use1-az4': 10, 'm7g.metal_use1-az6': 50, 'm8g.12xlarge_use1-az2': 15, 'm8g.16xlarge_use1-az5': 5, 'm8g.24xlarge_use1-az5': 1, 'm8g.48xlarge_use1-az2': 5, 'm8g.metal-48xl_use1-az2': 5, 'm8g.metal-48xl_use1-az4': 1, 'm8g.metal-48xl_use1-az6': 35, 'm8g.xlarge_use1-az5': 10, 'm8g.xlarge_use1-az6': 50, 'm8gd.8xlarge_use1-az6': 1, 'm8i.metal-48xl_use1-az6': 1, 'r6g.8xlarge_use1-az5': 50, 'r7g.16xlarge_use1-az5': 1, 'r8g.16xlarge_use1-az6': 50, 'r8g.48xlarge_use1-az4': 5, 'r8g.medium_use1-az6': 15, 'r8gd.metal-48xl_use1-az6': 1, 'r8gn.metal-48xl_use1-az6': 1}"
