instance_type,availability_zone,num_instances,T3,pods,cpu,mem,actual_pods,excess_pods,cost,performance,total_cost_per_pod,nodes_used,efficiency
t2.small,eu-west-1c,10,50.0,10,1,2,10.0,0.0,0.101,217721.9514,0.0101,10,215566.2885
m6g.medium,eu-west-1a,10,50.0,10,1,4,10.0,0.0,0.184,197708.9612,0.0184,10,107450.5224
c6g.large,eu-west-1a,10,50.0,10,2,2,10.0,0.0,0.334,196786.35,0.0334,10,58918.0689
c7g.2xlarge,eu-west-1c,17,50.0,17,7,7,17.0,0.0,2.2168,431066.5509,0.1304,17,11438.4951
t2.small,eu-west-1c,50,50.0,50,1,2,50.0,0.0,0.505,1088609.7571,0.0101,50,43113.2577
m6g.medium,eu-west-1a,50,50.0,50,1,4,50.0,0.0,0.92,988544.8062,0.0184,50,21490.1045
c6g.large,eu-west-1a,50,50.0,50,2,2,50.0,0.0,1.67,983931.75,0.0334,50,11783.6138
m6g.xlarge,eu-west-1b,75,50.0,75,3,5,75.0,0.0,5.7825,1482817.2094,0.0771,75,3419.0914
t2.small,eu-west-1c,100,50.0,100,1,2,100.0,0.0,1.01,2177219.5143,0.0101,100,21556.6289
m6g.medium,eu-west-1a,100,50.0,100,1,4,100.0,0.0,1.84,1977089.6125,0.0184,100,10745.0522
c6g.large,eu-west-1a,100,50.0,100,2,2,100.0,0.0,3.34,1967863.5,0.0334,100,5891.8069
m6g.xlarge,eu-west-1b,115,50.0,115,4,2,115.0,0.0,8.8665,2273653.0544,0.0771,115,2229.8422
r6g.medium,eu-west-1b,287,10.0,287,1,6,287.0,0.0,6.6297,5632667.2019,0.0231,287,2960.3177
t2.small,eu-west-1c,400,50.0,400,1,2,400.0,0.0,4.04,8708878.0571,0.0101,400,5389.1572
m6g.medium,eu-west-1a,400,50.0,400,1,4,400.0,0.0,7.36,7908358.45,0.0184,400,2686.2631
c6g.large,eu-west-1a,400,50.0,400,2,2,400.0,0.0,13.36,7871454.0,0.0334,400,1472.9517
x2gd.medium,eu-west-1a,439,50.0,439,1,9,439.0,0.0,18.1307,8688468.3354,0.0413,439,1091.6015
t2.small,eu-west-1c,1000,50.0,1000,1,2,1000.0,0.0,10.1,21772195.1429,0.0101,1000,2155.6629
m6g.medium,eu-west-1a,1000,50.0,1000,1,4,1000.0,0.0,18.4,19770896.125,0.0184,1000,1074.5052
c6g.large,eu-west-1a,1000,50.0,1000,2,2,1000.0,0.0,33.4,19678635.0,0.0334,1000,589.1807
