pods,cpu,mem,actual_pods,excess_pods,Total Assigned Instances,Total Assignable Pods,Total CPU,Total Memory,cost,performance,nodepool_config
1,1,1,2.0,1.0,1,2.0,2.0,4.0,0.037,66952.0044,"[{'instance_type': 'c7a.large', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 15.0}]"
5,1,1,6.0,1.0,3,6.0,6.0,12.0,0.111,200856.0131,"[{'instance_type': 'c7a.large', 'availability_zone': 'usw2-az4', 'num_instances': 3, 'T3': 15.0}]"
6,1,1,6.0,0.0,3,6.0,6.0,12.0,0.111,200856.0131,"[{'instance_type': 'c7a.large', 'availability_zone': 'usw2-az4', 'num_instances': 3, 'T3': 15.0}]"
10,1,1,10.0,0.0,5,10.0,10.0,20.0,0.185,334760.0218,"[{'instance_type': 'c7a.large', 'availability_zone': 'usw2-az4', 'num_instances': 5, 'T3': 15.0}]"
14,1,1,14.0,0.0,7,14.0,14.0,28.0,0.259,468664.0305,"[{'instance_type': 'c7a.large', 'availability_zone': 'usw2-az4', 'num_instances': 7, 'T3': 15.0}]"
15,1,1,16.0,1.0,8,16.0,16.0,32.0,0.296,535616.0349,"[{'instance_type': 'c7a.large', 'availability_zone': 'usw2-az4', 'num_instances': 8, 'T3': 15.0}]"
17,1,1,18.0,1.0,9,18.0,18.0,36.0,0.333,602568.0393,"[{'instance_type': 'c7a.large', 'availability_zone': 'usw2-az4', 'num_instances': 9, 'T3': 15.0}]"
20,1,1,20.0,0.0,10,20.0,20.0,40.0,0.37,669520.0436,"[{'instance_type': 'c7a.large', 'availability_zone': 'usw2-az4', 'num_instances': 10, 'T3': 15.0}]"
25,1,1,26.0,1.0,13,26.0,26.0,52.0,0.481,870376.0567,"[{'instance_type': 'c7a.large', 'availability_zone': 'usw2-az4', 'num_instances': 13, 'T3': 15.0}]"
30,1,1,30.0,0.0,15,30.0,30.0,60.0,0.555,1004280.0655,"[{'instance_type': 'c7a.large', 'availability_zone': 'usw2-az4', 'num_instances': 15, 'T3': 15.0}]"
35,1,1,38.0,3.0,17,38.0,38.0,76.0,0.703,1272088.0829,"[{'instance_type': 'c7a.large', 'availability_zone': 'usw2-az4', 'num_instances': 15, 'T3': 15.0}, {'instance_type': 'c7a.xlarge', 'availability_zone': 'usw2-az2', 'num_instances': 2, 'T3': 10.0}]"
40,1,1,42.0,2.0,18,42.0,42.0,84.0,0.777,1405992.0916,"[{'instance_type': 'c7a.large', 'availability_zone': 'usw2-az4', 'num_instances': 15, 'T3': 15.0}, {'instance_type': 'c7a.xlarge', 'availability_zone': 'usw2-az2', 'num_instances': 3, 'T3': 10.0}]"
45,1,1,46.0,1.0,19,46.0,46.0,92.0,0.851,1539896.1004,"[{'instance_type': 'c7a.large', 'availability_zone': 'usw2-az4', 'num_instances': 15, 'T3': 15.0}, {'instance_type': 'c7a.xlarge', 'availability_zone': 'usw2-az2', 'num_instances': 4, 'T3': 10.0}]"
50,1,1,50.0,0.0,20,50.0,50.0,100.0,0.925,1673800.1091,"[{'instance_type': 'c7a.large', 'availability_zone': 'usw2-az4', 'num_instances': 15, 'T3': 15.0}, {'instance_type': 'c7a.xlarge', 'availability_zone': 'usw2-az2', 'num_instances': 5, 'T3': 10.0}]"
