InstanceType,Region,AZ,SpotPrice,T3,SPS,IF,exptime
m6id.xlarge,us-west-2,us-west-2c,0.079,20.0,3,1.0,250520-1724
m6gd.large,us-west-2,us-west-2d,0.0618,15.0,3,1.0,250520-1724
m2.2xlarge,us-west-2,us-west-2a,0.1476,10.0,3,1.0,250520-1724
m6gd.medium,us-west-2,us-west-2a,0.0119,5.0,3,1.0,250520-1724
i8g.2xlarge,us-west-2,us-west-2c,0.1853,1.0,3,3.0,250520-1724
t2.small,us-west-2,us-west-2b,0.0058,50.0,3,3.0,250520-1835
c6gd.medium,us-west-2,us-west-2b,0.0105,45.0,3,3.0,250520-1835
m6a.2xlarge,us-west-2,us-west-2d,0.1472,40.0,3,1.0,250520-1835
c7gd.2xlarge,us-west-2,us-west-2c,0.107,35.0,3,3.0,250520-1835
c6a.xlarge,us-west-2,us-west-2a,0.0489,30.0,3,1.5,250520-1835
c5ad.large,us-west-2,us-west-2d,0.0266,25.0,3,2.0,250520-1835
c6g.xlarge,us-west-2,us-west-2a,0.0546,20.0,3,2.5,250520-1835
c5d.9xlarge,us-west-2,us-west-2c,0.742,15.0,3,2.0,250520-1835
c6gn.2xlarge,us-west-2,us-west-2a,0.1133,10.0,3,1.0,250520-1835
r5ad.2xlarge,us-west-2,us-west-2b,0.3761,5.0,3,3.0,250520-1835
i8g.2xlarge,us-west-2,us-west-2b,0.1764,1.0,3,3.0,250520-1835
t3.large,us-west-2,us-west-2a,0.0279,50.0,3,3.0,250520-1945
r7i.2xlarge,us-west-2,us-west-2c,0.2144,45.0,3,2.0,250520-1945
c5n.2xlarge,us-west-2,us-west-2a,0.1856,40.0,3,3.0,250520-1945
m6g.large,us-west-2,us-west-2d,0.0276,35.0,3,2.0,250520-1945
d2.xlarge,us-west-2,us-west-2d,0.1808,30.0,3,1.0,250520-1945
m8g.xlarge,us-west-2,us-west-2d,0.0675,25.0,3,1.5,250520-1945
r8g.2xlarge,us-west-2,us-west-2c,0.1638,20.0,3,1.5,250520-1945
c7i-flex.xlarge,us-west-2,us-west-2a,0.0784,15.0,3,3.0,250520-1945
m8gd.xlarge,us-west-2,us-west-2c,0.0894,10.0,3,3.0,250520-1945
c6id.large,us-west-2,us-west-2b,0.0274,5.0,3,2.0,250520-1945
i8g.xlarge,us-west-2,us-west-2d,0.0974,1.0,3,2.0,250520-1945
t4g.large,us-west-2,us-west-2b,0.024,50.0,3,1.0,250520-2055
x8g.medium,us-west-2,us-west-2c,0.0248,45.0,3,2.5,250520-2055
r3.xlarge,us-west-2,us-west-2a,0.097,40.0,3,3.0,250520-2055
t2.xlarge,us-west-2,us-west-2c,0.0921,35.0,3,3.0,250520-2055
m5dn.large,us-west-2,us-west-2a,0.0446,30.0,3,3.0,250520-2055
c5n.xlarge,us-west-2,us-west-2c,0.0977,25.0,3,3.0,250520-2055
m8g.large,us-west-2,us-west-2a,0.027,20.0,3,1.0,250520-2055
i7ie.2xlarge,us-west-2,us-west-2b,0.2907,15.0,3,3.0,250520-2055
d3.xlarge,us-west-2,us-west-2a,0.1708,10.0,3,3.0,250520-2055
i4g.2xlarge,us-west-2,us-west-2c,0.2299,5.0,3,1.0,250520-2055
vt1.6xlarge,us-west-2,us-west-2a,0.4072,1.0,3,1.0,250520-2055
t3a.small,us-west-2,us-west-2d,0.0062,50.0,3,1.5,250520-2206
i3.2xlarge,us-west-2,us-west-2d,0.3131,45.0,3,1.0,250520-2206
r5a.large,us-west-2,us-west-2b,0.084,40.0,3,3.0,250520-2206
c7a.2xlarge,us-west-2,us-west-2a,0.2429,35.0,3,1.0,250520-2206
r6gd.large,us-west-2,us-west-2b,0.0501,30.0,3,2.0,250520-2206
r7g.medium,us-west-2,us-west-2d,0.0143,25.0,3,3.0,250520-2206
inf1.2xlarge,us-west-2,us-west-2b,0.1025,20.0,3,1.0,250520-2206
m5dn.2xlarge,us-west-2,us-west-2c,0.2398,15.0,3,3.0,250520-2206
r6idn.large,us-west-2,us-west-2b,0.0649,10.0,3,2.5,250520-2206
i2.xlarge,us-west-2,us-west-2c,0.2301,5.0,3,1.0,250520-2206
x2gd.2xlarge,us-west-2,us-west-2d,0.2546,1.0,3,3.0,250520-2206
r7a.medium,us-west-2,us-west-2b,0.0265,50.0,3,3.0,250520-2316
c7g.large,us-west-2,us-west-2a,0.0292,45.0,3,2.5,250520-2316
m6a.large,us-west-2,us-west-2d,0.036,40.0,3,2.5,250520-2316
c7gd.2xlarge,us-west-2,us-west-2c,0.1084,35.0,3,3.0,250520-2316
inf1.xlarge,us-west-2,us-west-2a,0.0634,30.0,3,1.0,250520-2316
inf2.xlarge,us-west-2,us-west-2b,0.2049,25.0,3,2.5,250520-2316
c6gn.large,us-west-2,us-west-2d,0.0261,20.0,3,1.0,250520-2316
i4g.large,us-west-2,us-west-2d,0.0379,15.0,3,3.0,250520-2316
m2.2xlarge,us-west-2,us-west-2b,0.1359,10.0,3,1.0,250520-2316
m6id.xlarge,us-west-2,us-west-2d,0.0742,5.0,3,1.0,250520-2316
m4.10xlarge,us-west-2,us-west-2c,0.6559,1.0,3,1.5,250520-2316
m7i-flex.large,us-west-2,us-west-2a,0.0305,50.0,3,3.0,250521-0027
z1d.3xlarge,us-west-2,us-west-2a,0.387,45.0,3,1.0,250521-0027
g5.2xlarge,us-west-2,us-west-2c,0.4336,40.0,3,1.0,250521-0027
m7g.medium,us-west-2,us-west-2d,0.0109,35.0,3,3.0,250521-0027
r5n.large,us-west-2,us-west-2c,0.0673,30.0,3,3.0,250521-0027
m8g.2xlarge,us-west-2,us-west-2a,0.1208,25.0,3,3.0,250521-0027
r6gd.2xlarge,us-west-2,us-west-2a,0.2674,20.0,3,1.0,250521-0027
c7i.xlarge,us-west-2,us-west-2a,0.0786,15.0,3,1.0,250521-0027
c6gn.2xlarge,us-west-2,us-west-2a,0.1134,10.0,3,1.0,250521-0027
r5ad.xlarge,us-west-2,us-west-2b,0.1224,5.0,3,2.5,250521-0027
r6gd.medium,us-west-2,us-west-2d,0.0158,1.0,3,1.5,250521-0027
c7a.medium,us-west-2,us-west-2a,0.0163,50.0,3,3.0,250521-0137
t4g.large,us-west-2,us-west-2c,0.0214,45.0,3,1.0,250521-0137
i3.2xlarge,us-west-2,us-west-2d,0.3131,40.0,3,1.0,250521-0137
x8g.large,us-west-2,us-west-2a,0.0532,35.0,3,1.5,250521-0137
c5n.large,us-west-2,us-west-2a,0.0459,30.0,3,3.0,250521-0137
c5d.9xlarge,us-west-2,us-west-2c,0.7548,25.0,3,2.0,250521-0137
r8g.large,us-west-2,us-west-2a,0.0482,20.0,3,2.5,250521-0137
c7g.xlarge,us-west-2,us-west-2d,0.0499,15.0,3,3.0,250521-0137
g6.xlarge,us-west-2,us-west-2a,0.3727,10.0,3,1.0,250521-0137
r7gd.2xlarge,us-west-2,us-west-2c,0.2355,5.0,3,1.0,250521-0137
d3en.xlarge,us-west-2,us-west-2a,0.1511,1.0,3,3.0,250521-0137
r6a.large,us-west-2,us-west-2a,0.0356,50.0,3,1.5,250521-0247
m6a.large,us-west-2,us-west-2d,0.0363,45.0,3,2.5,250521-0247
c7gd.xlarge,us-west-2,us-west-2b,0.0703,40.0,3,3.0,250521-0247
c3.2xlarge,us-west-2,us-west-2b,0.1796,35.0,3,3.0,250521-0247
z1d.large,us-west-2,us-west-2a,0.0502,30.0,3,1.0,250521-0247
c5n.2xlarge,us-west-2,us-west-2c,0.1834,25.0,3,3.0,250521-0247
m5dn.xlarge,us-west-2,us-west-2c,0.126,20.0,3,3.0,250521-0247
m8g.xlarge,us-west-2,us-west-2b,0.0494,15.0,3,1.5,250521-0247
i7i.xlarge,us-west-2,us-west-2c,0.1175,10.0,3,3.0,250521-0247
r6in.2xlarge,us-west-2,us-west-2c,0.2896,5.0,3,1.5,250521-0247
c6gn.2xlarge,us-west-2,us-west-2d,0.0947,1.0,3,1.0,250521-0247
t2.small,us-west-2,us-west-2c,0.0058,50.0,3,3.0,250521-0358
m5zn.large,us-west-2,us-west-2c,0.0518,45.0,3,3.0,250521-0358
m6idn.xlarge,us-west-2,us-west-2b,0.0867,40.0,3,2.5,250521-0358
m6id.xlarge,us-west-2,us-west-2a,0.0718,35.0,3,1.0,250521-0358
r5dn.large,us-west-2,us-west-2a,0.0554,30.0,3,3.0,250521-0358
g6.2xlarge,us-west-2,us-west-2d,0.4882,25.0,3,1.0,250521-0358
c6g.medium,us-west-2,us-west-2c,0.009,20.0,3,2.5,250521-0358
im4gn.large,us-west-2,us-west-2b,0.0486,15.0,3,3.0,250521-0358
is4gen.xlarge,us-west-2,us-west-2c,0.1614,10.0,3,1.5,250521-0358
d2.xlarge,us-west-2,us-west-2b,0.1918,5.0,3,1.0,250521-0358
i7ie.6xlarge,us-west-2,us-west-2b,1.0382,1.0,3,2.5,250521-0358
m6g.large,us-west-2,us-west-2c,0.0344,50.0,3,2.0,250521-0508
t3.xlarge,us-west-2,us-west-2d,0.0623,45.0,3,2.5,250521-0508
r5d.2xlarge,us-west-2,us-west-2b,0.3139,40.0,3,1.5,250521-0508
c4.2xlarge,us-west-2,us-west-2b,0.1413,35.0,3,2.0,250521-0508
m7g.medium,us-west-2,us-west-2b,0.0176,30.0,3,3.0,250521-0508
m5zn.xlarge,us-west-2,us-west-2c,0.1469,25.0,3,3.0,250521-0508
c5d.9xlarge,us-west-2,us-west-2a,0.6934,20.0,3,2.0,250521-0508
m6id.2xlarge,us-west-2,us-west-2b,0.1599,15.0,3,1.0,250521-0508
c7a.xlarge,us-west-2,us-west-2d,0.0785,10.0,3,2.0,250521-0508
m6id.large,us-west-2,us-west-2d,0.0315,5.0,3,2.5,250521-0508
i4i.2xlarge,us-west-2,us-west-2c,0.2725,1.0,3,2.5,250521-0508
m7gd.medium,us-west-2,us-west-2c,0.0136,50.0,3,2.5,250521-0618
m6gd.large,us-west-2,us-west-2b,0.0383,45.0,3,1.0,250521-0618
i3en.xlarge,us-west-2,us-west-2d,0.1758,40.0,3,3.0,250521-0618
i7ie.xlarge,us-west-2,us-west-2b,0.1579,35.0,3,3.0,250521-0618
m8g.xlarge,us-west-2,us-west-2c,0.0541,30.0,3,1.5,250521-0618
c7g.medium,us-west-2,us-west-2c,0.0105,25.0,3,3.0,250521-0618
c8gd.xlarge,us-west-2,us-west-2a,0.0695,20.0,3,2.5,250521-0618
m6gd.2xlarge,us-west-2,us-west-2b,0.1386,15.0,3,1.0,250521-0618
is4gen.2xlarge,us-west-2,us-west-2c,0.2785,10.0,3,2.5,250521-0618
r5a.2xlarge,us-west-2,us-west-2d,0.2245,5.0,3,1.0,250521-0618
r6gd.2xlarge,us-west-2,us-west-2b,0.232,1.0,3,1.0,250521-0618
c6i.large,us-west-2,us-west-2a,0.0337,50.0,3,2.5,250521-0729
z1d.3xlarge,us-west-2,us-west-2a,0.3888,45.0,3,1.0,250521-0729
x2gd.medium,us-west-2,us-west-2d,0.0205,40.0,3,3.0,250521-0729
c5.9xlarge,us-west-2,us-west-2d,0.5041,35.0,3,2.0,250521-0729
g5.2xlarge,us-west-2,us-west-2b,0.521,30.0,3,1.0,250521-0729
r6id.2xlarge,us-west-2,us-west-2a,0.2898,25.0,3,1.0,250521-0729
i7ie.2xlarge,us-west-2,us-west-2c,0.2868,20.0,3,3.0,250521-0729
d3.xlarge,us-west-2,us-west-2a,0.1705,15.0,3,3.0,250521-0729
c6a.2xlarge,us-west-2,us-west-2d,0.1307,10.0,3,1.5,250521-0729
r7g.xlarge,us-west-2,us-west-2d,0.0832,5.0,3,1.0,250521-0729
r5dn.2xlarge,us-west-2,us-west-2d,0.4446,1.0,3,2.5,250521-0729
t2.large,us-west-2,us-west-2c,0.0369,50.0,3,3.0,250521-0839
r6a.2xlarge,us-west-2,us-west-2c,0.1937,45.0,3,1.5,250521-0839
r5d.xlarge,us-west-2,us-west-2c,0.1239,40.0,3,2.5,250521-0839
t2.xlarge,us-west-2,us-west-2c,0.0931,35.0,3,3.0,250521-0839
c5n.large,us-west-2,us-west-2a,0.0457,30.0,3,3.0,250521-0839
c7g.medium,us-west-2,us-west-2d,0.01,25.0,3,3.0,250521-0839
c6i.xlarge,us-west-2,us-west-2d,0.0471,20.0,3,1.0,250521-0839
c5n.9xlarge,us-west-2,us-west-2d,0.6114,15.0,3,1.5,250521-0839
c6gn.xlarge,us-west-2,us-west-2b,0.0582,10.0,3,2.0,250521-0839
r5a.2xlarge,us-west-2,us-west-2d,0.2245,5.0,3,1.0,250521-0839
g6e.xlarge,us-west-2,us-west-2b,0.913,1.0,3,1.0,250521-0839
m3.medium,us-west-2,us-west-2b,0.0176,50.0,3,2.5,250521-0949
c6g.2xlarge,us-west-2,us-west-2b,0.104,45.0,3,2.5,250521-0949
t4g.medium,us-west-2,us-west-2a,0.0116,40.0,3,1.0,250521-0949
inf1.2xlarge,us-west-2,us-west-2a,0.1053,35.0,3,1.0,250521-0949
z1d.large,us-west-2,us-west-2a,0.0505,30.0,3,1.0,250521-0949
m5ad.large,us-west-2,us-west-2c,0.0374,25.0,3,2.5,250521-0949
g6.2xlarge,us-west-2,us-west-2a,0.3905,20.0,3,1.0,250521-0949
x8g.large,us-west-2,us-west-2c,0.0535,15.0,3,1.5,250521-0949
d3.xlarge,us-west-2,us-west-2b,0.2155,10.0,3,3.0,250521-0949
r7gd.2xlarge,us-west-2,us-west-2a,0.2692,5.0,3,1.0,250521-0949
r8gd.2xlarge,us-west-2,us-west-2b,0.2456,1.0,3,2.5,250521-0949
t3.medium,us-west-2,us-west-2a,0.0154,50.0,3,3.0,250521-1100
m6gd.2xlarge,us-west-2,us-west-2a,0.1185,45.0,3,1.0,250521-1100
inf1.xlarge,us-west-2,us-west-2c,0.0621,40.0,3,1.0,250521-1100
m6idn.large,us-west-2,us-west-2b,0.0434,35.0,3,3.0,250521-1100
m5dn.xlarge,us-west-2,us-west-2c,0.1257,30.0,3,3.0,250521-1100
r5n.xlarge,us-west-2,us-west-2c,0.1363,25.0,3,3.0,250521-1100
c6g.medium,us-west-2,us-west-2c,0.0089,20.0,3,2.5,250521-1100
r6id.large,us-west-2,us-west-2c,0.0436,15.0,3,1.0,250521-1100
r6g.medium,us-west-2,us-west-2a,0.0166,10.0,3,1.5,250521-1100
c8g.2xlarge,us-west-2,us-west-2d,0.1173,5.0,3,1.0,250521-1100
i8g.2xlarge,us-west-2,us-west-2a,0.181,1.0,3,3.0,250521-1100
r7a.large,us-west-2,us-west-2b,0.0449,50.0,3,2.5,250521-1210
c6g.xlarge,us-west-2,us-west-2a,0.0544,45.0,3,2.0,250521-1210
inf1.xlarge,us-west-2,us-west-2c,0.0621,40.0,3,1.0,250521-1210
x2gd.large,us-west-2,us-west-2b,0.0505,35.0,3,3.0,250521-1210
c6a.large,us-west-2,us-west-2d,0.0217,30.0,3,2.5,250521-1210
c5ad.xlarge,us-west-2,us-west-2a,0.077,25.0,3,3.0,250521-1210
x2iedn.xlarge,us-west-2,us-west-2a,0.2235,20.0,3,3.0,250521-1210
im4gn.2xlarge,us-west-2,us-west-2c,0.2012,15.0,3,2.5,250521-1210
r7iz.xlarge,us-west-2,us-west-2d,0.1242,10.0,3,2.0,250521-1210
c6gn.xlarge,us-west-2,us-west-2b,0.0571,5.0,3,2.5,250521-1210
x2iezn.2xlarge,us-west-2,us-west-2c,0.8888,1.0,3,3.0,250521-1210
m7g.large,us-west-2,us-west-2a,0.029,50.0,3,1.5,250521-1320
m5a.xlarge,us-west-2,us-west-2b,0.0826,45.0,3,1.5,250521-1320
m7gd.xlarge,us-west-2,us-west-2d,0.0758,40.0,3,2.0,250521-1320
m7gd.large,us-west-2,us-west-2c,0.0424,35.0,3,3.0,250521-1320
p3.2xlarge,us-west-2,us-west-2c,0.8001,30.0,3,1.0,250521-1320
c8g.large,us-west-2,us-west-2a,0.03,25.0,3,2.5,250521-1320
c7i-flex.xlarge,us-west-2,us-west-2c,0.0864,20.0,3,3.0,250521-1320
m8g.large,us-west-2,us-west-2a,0.0268,15.0,3,1.0,250521-1320
z1d.2xlarge,us-west-2,us-west-2c,0.216,10.0,3,1.0,250521-1320
m8gd.2xlarge,us-west-2,us-west-2a,0.19,5.0,3,3.0,250521-1320
r7g.2xlarge,us-west-2,us-west-2d,0.1454,1.0,3,2.0,250521-1320
m7i.large,us-west-2,us-west-2b,0.0362,50.0,3,3.0,250521-1431
r6i.xlarge,us-west-2,us-west-2a,0.1138,45.0,3,1.0,250521-1431
c7gd.2xlarge,us-west-2,us-west-2c,0.1118,40.0,3,3.0,250521-1431
m6in.large,us-west-2,us-west-2c,0.0421,35.0,3,3.0,250521-1431
m5a.xlarge,us-west-2,us-west-2c,0.078,30.0,3,1.5,250521-1431
c5ad.xlarge,us-west-2,us-west-2a,0.077,25.0,3,3.0,250521-1431
c8g.large,us-west-2,us-west-2d,0.0234,20.0,3,2.5,250521-1431
c6g.2xlarge,us-west-2,us-west-2d,0.0945,15.0,3,2.5,250521-1431
c7a.xlarge,us-west-2,us-west-2d,0.0784,10.0,3,2.0,250521-1431
m6in.2xlarge,us-west-2,us-west-2c,0.2534,5.0,3,2.5,250521-1431
x2gd.xlarge,us-west-2,us-west-2d,0.1128,1.0,3,3.0,250521-1431
m6g.large,ap-northeast-1,ap-northeast-1c,0.0339,50.0,3,2.5,250520-1133
m3.large,ap-northeast-1,ap-northeast-1c,0.0665,45.0,3,3.0,250520-1133
r7g.large,ap-northeast-1,ap-northeast-1d,0.0531,40.0,3,2.5,250520-1133
c6g.large,ap-northeast-1,ap-northeast-1a,0.0323,35.0,3,2.5,250520-1133
m7i-flex.xlarge,ap-northeast-1,ap-northeast-1a,0.0867,30.0,3,2.5,250520-1133
r6g.medium,ap-northeast-1,ap-northeast-1d,0.0203,25.0,3,2.0,250520-1133
c7i.xlarge,ap-northeast-1,ap-northeast-1a,0.085,20.0,3,1.0,250520-1133
c6g.medium,ap-northeast-1,ap-northeast-1a,0.0165,15.0,3,3.0,250520-1133
c6gn.medium,ap-northeast-1,ap-northeast-1a,0.02,10.0,3,2.5,250520-1133
c7g.medium,ap-northeast-1,ap-northeast-1a,0.0172,5.0,3,3.0,250520-1133
z1d.2xlarge,ap-northeast-1,ap-northeast-1d,0.29,1.0,3,1.0,250520-1133
m5.large,ap-northeast-1,ap-northeast-1a,0.0385,50.0,3,1.0,250520-1243
r6i.large,ap-northeast-1,ap-northeast-1d,0.0583,45.0,3,1.5,250520-1243
r6g.2xlarge,ap-northeast-1,ap-northeast-1d,0.1662,40.0,3,3.0,250520-1243
r7a.medium,ap-northeast-1,ap-northeast-1c,0.0305,35.0,3,3.0,250520-1243
c6a.xlarge,ap-northeast-1,ap-northeast-1c,0.0821,30.0,3,1.0,250520-1243
c7gn.medium,ap-northeast-1,ap-northeast-1a,0.0282,25.0,3,2.5,250520-1243
m7g.medium,ap-northeast-1,ap-northeast-1a,0.017,20.0,3,1.5,250520-1243
m5n.xlarge,ap-northeast-1,ap-northeast-1a,0.1579,15.0,3,3.0,250520-1243
im4gn.xlarge,ap-northeast-1,ap-northeast-1d,0.1324,10.0,3,3.0,250520-1243
m6gd.2xlarge,ap-northeast-1,ap-northeast-1c,0.1465,5.0,3,1.5,250520-1243
m6gd.medium,ap-northeast-1,ap-northeast-1a,0.0207,1.0,3,2.5,250520-1243
m7i.large,ap-northeast-1,ap-northeast-1d,0.0508,50.0,3,1.5,250520-1353
c6a.xlarge,ap-northeast-1,ap-northeast-1a,0.0674,45.0,3,1.0,250520-1353
c3.large,ap-northeast-1,ap-northeast-1a,0.0454,40.0,3,2.5,250520-1353
r5ad.large,ap-northeast-1,ap-northeast-1a,0.0523,35.0,3,3.0,250520-1353
r5b.large,ap-northeast-1,ap-northeast-1a,0.0592,30.0,3,3.0,250520-1353
i7ie.xlarge,ap-northeast-1,ap-northeast-1d,0.1795,25.0,3,2.5,250520-1353
is4gen.medium,ap-northeast-1,ap-northeast-1a,0.0514,20.0,3,2.5,250520-1353
z1d.3xlarge,ap-northeast-1,ap-northeast-1a,0.4071,15.0,3,1.0,250520-1353
im4gn.xlarge,ap-northeast-1,ap-northeast-1a,0.1219,10.0,3,3.0,250520-1353
m6g.medium,ap-northeast-1,ap-northeast-1c,0.0186,5.0,3,2.0,250520-1353
r5d.xlarge,ap-northeast-1,ap-northeast-1c,0.1292,1.0,3,1.0,250520-1353
t2.small,ap-northeast-1,ap-northeast-1d,0.0098,50.0,3,3.0,250520-1504
c7i.large,ap-northeast-1,ap-northeast-1d,0.0387,45.0,3,1.0,250520-1504
c3.large,ap-northeast-1,ap-northeast-1a,0.0454,40.0,3,2.5,250520-1504
c5a.xlarge,ap-northeast-1,ap-northeast-1c,0.1065,35.0,3,3.0,250520-1504
c7g.large,ap-northeast-1,ap-northeast-1c,0.0339,30.0,3,1.0,250520-1504
x1e.xlarge,ap-northeast-1,ap-northeast-1a,0.3735,25.0,3,1.0,250520-1504
c6gn.medium,ap-northeast-1,ap-northeast-1a,0.02,20.0,3,2.5,250520-1504
m5.large,ap-northeast-1,ap-northeast-1d,0.0418,15.0,3,1.0,250520-1504
m7g.2xlarge,ap-northeast-1,ap-northeast-1a,0.218,10.0,3,1.0,250520-1504
m6g.medium,ap-northeast-1,ap-northeast-1d,0.0153,5.0,3,2.0,250520-1504
r7iz.metal-16xl,ap-northeast-1,ap-northeast-1a,2.1843,1.0,3,2.5,250520-1504
t3.xlarge,ap-northeast-1,ap-northeast-1d,0.0702,50.0,3,3.0,250520-1614
c5.2xlarge,ap-northeast-1,ap-northeast-1c,0.1582,45.0,3,1.0,250520-1614
i3en.3xlarge,ap-northeast-1,ap-northeast-1d,0.4781,40.0,3,3.0,250520-1614
m6a.2xlarge,ap-northeast-1,ap-northeast-1c,0.1946,35.0,3,1.0,250520-1614
r6a.large,ap-northeast-1,ap-northeast-1d,0.0655,30.0,3,2.0,250520-1614
r5b.large,ap-northeast-1,ap-northeast-1c,0.0645,25.0,3,3.0,250520-1614
r6a.2xlarge,ap-northeast-1,ap-northeast-1a,0.1994,20.0,3,1.0,250520-1614
c5n.large,ap-northeast-1,ap-northeast-1d,0.0466,15.0,3,3.0,250520-1614
m5zn.xlarge,ap-northeast-1,ap-northeast-1a,0.1618,10.0,3,3.0,250520-1614
c7g.2xlarge,ap-northeast-1,ap-northeast-1d,0.1464,5.0,3,1.5,250520-1614
i7ie.6xlarge,ap-northeast-1,ap-northeast-1a,1.2684,1.0,3,1.5,250520-1614
m6i.xlarge,ap-northeast-1,ap-northeast-1a,0.0819,50.0,3,1.0,250520-1725
c5a.large,ap-northeast-1,ap-northeast-1a,0.0357,45.0,3,1.5,250520-1725
r7a.medium,ap-northeast-1,ap-northeast-1d,0.0312,40.0,3,3.0,250520-1725
c6gd.2xlarge,ap-northeast-1,ap-northeast-1d,0.1225,35.0,3,1.0,250520-1725
r5b.large,ap-northeast-1,ap-northeast-1a,0.0592,30.0,3,3.0,250520-1725
c7g.large,ap-northeast-1,ap-northeast-1c,0.034,25.0,3,1.0,250520-1725
c5d.9xlarge,ap-northeast-1,ap-northeast-1c,0.7824,20.0,3,2.0,250520-1725
c6g.xlarge,ap-northeast-1,ap-northeast-1a,0.074,15.0,3,1.0,250520-1725
c4.xlarge,ap-northeast-1,ap-northeast-1c,0.0944,10.0,3,1.0,250520-1725
m6gd.large,ap-northeast-1,ap-northeast-1c,0.0347,5.0,3,3.0,250520-1725
c6id.2xlarge,ap-northeast-1,ap-northeast-1a,0.2397,1.0,3,1.0,250520-1725
c5.xlarge,ap-northeast-1,ap-northeast-1d,0.0838,50.0,3,1.5,250520-1835
m5d.xlarge,ap-northeast-1,ap-northeast-1c,0.1114,45.0,3,2.5,250520-1835
r5ad.large,ap-northeast-1,ap-northeast-1a,0.0519,40.0,3,3.0,250520-1835
m7i.2xlarge,ap-northeast-1,ap-northeast-1a,0.1791,35.0,3,1.0,250520-1835
r5n.2xlarge,ap-northeast-1,ap-northeast-1a,0.2843,30.0,3,3.0,250520-1835
r6gd.xlarge,ap-northeast-1,ap-northeast-1c,0.1037,25.0,3,3.0,250520-1835
m5n.2xlarge,ap-northeast-1,ap-northeast-1d,0.2564,20.0,3,3.0,250520-1835
r6a.xlarge,ap-northeast-1,ap-northeast-1c,0.0983,15.0,3,1.0,250520-1835
m5ad.large,ap-northeast-1,ap-northeast-1a,0.0493,10.0,3,3.0,250520-1835
c6gd.medium,ap-northeast-1,ap-northeast-1d,0.0152,5.0,3,2.5,250520-1835
r7iz.2xlarge,ap-northeast-1,ap-northeast-1c,0.3359,1.0,3,3.0,250520-1835
r5a.large,ap-northeast-1,ap-northeast-1c,0.0497,50.0,3,3.0,250520-1945
m6a.2xlarge,ap-northeast-1,ap-northeast-1a,0.1815,45.0,3,1.0,250520-1945
r7gd.large,ap-northeast-1,ap-northeast-1c,0.0529,40.0,3,3.0,250520-1945
c5n.xlarge,ap-northeast-1,ap-northeast-1a,0.1422,35.0,3,3.0,250520-1945
c5d.large,ap-northeast-1,ap-northeast-1d,0.0578,30.0,3,2.5,250520-1945
r6g.medium,ap-northeast-1,ap-northeast-1d,0.0201,25.0,3,2.0,250520-1945
c7g.large,ap-northeast-1,ap-northeast-1d,0.0351,20.0,3,1.0,250520-1945
c6g.large,ap-northeast-1,ap-northeast-1d,0.0328,15.0,3,2.5,250520-1945
m6gd.2xlarge,ap-northeast-1,ap-northeast-1a,0.1615,10.0,3,1.5,250520-1945
c6g.2xlarge,ap-northeast-1,ap-northeast-1d,0.1389,5.0,3,1.0,250520-1945
inf2.xlarge,ap-northeast-1,ap-northeast-1c,0.3626,1.0,3,2.0,250520-1945
c5.large,ap-northeast-1,ap-northeast-1d,0.0356,50.0,3,2.0,250520-2056
m5n.large,ap-northeast-1,ap-northeast-1a,0.0619,45.0,3,3.0,250520-2056
r7gd.large,ap-northeast-1,ap-northeast-1c,0.053,40.0,3,3.0,250520-2056
t4g.2xlarge,ap-northeast-1,ap-northeast-1c,0.1115,35.0,3,2.0,250520-2056
r7i.xlarge,ap-northeast-1,ap-northeast-1c,0.1473,30.0,3,2.0,250520-2056
r6g.medium,ap-northeast-1,ap-northeast-1d,0.0201,25.0,3,2.0,250520-2056
z1d.3xlarge,ap-northeast-1,ap-northeast-1a,0.4047,20.0,3,1.0,250520-2056
c5d.2xlarge,ap-northeast-1,ap-northeast-1c,0.2022,15.0,3,2.5,250520-2056
r7a.2xlarge,ap-northeast-1,ap-northeast-1c,0.2474,10.0,3,2.5,250520-2056
x1e.2xlarge,ap-northeast-1,ap-northeast-1a,0.7451,5.0,3,1.0,250520-2056
m6id.2xlarge,ap-northeast-1,ap-northeast-1d,0.2096,1.0,3,1.0,250520-2056
r5.large,ap-northeast-1,ap-northeast-1d,0.0499,50.0,3,1.0,250520-2206
c7i-flex.xlarge,ap-northeast-1,ap-northeast-1a,0.0701,45.0,3,2.5,250520-2206
i4i.xlarge,ap-northeast-1,ap-northeast-1a,0.129,40.0,3,3.0,250520-2206
r7a.medium,ap-northeast-1,ap-northeast-1c,0.0302,35.0,3,3.0,250520-2206
c8g.large,ap-northeast-1,ap-northeast-1c,0.0372,30.0,3,3.0,250520-2206
im4gn.large,ap-northeast-1,ap-northeast-1d,0.0662,25.0,3,3.0,250520-2206
c6i.xlarge,ap-northeast-1,ap-northeast-1d,0.0717,20.0,3,1.0,250520-2206
c7g.large,ap-northeast-1,ap-northeast-1c,0.034,15.0,3,1.0,250520-2206
r7gd.large,ap-northeast-1,ap-northeast-1a,0.0518,10.0,3,3.0,250520-2206
r5b.xlarge,ap-northeast-1,ap-northeast-1d,0.1449,5.0,3,3.0,250520-2206
m6idn.2xlarge,ap-northeast-1,ap-northeast-1a,0.2625,1.0,3,2.5,250520-2206
m7a.medium,ap-northeast-1,ap-northeast-1c,0.0271,50.0,3,3.0,250520-2316
