pods,cpu,mem,tolerance_0.0001_efficiency,tolerance_0.0001_excess_pods,tolerance_0.1_efficiency,tolerance_0.1_excess_pods,tolerance_0.01_efficiency,tolerance_0.01_excess_pods,tolerance_0.001_efficiency,tolerance_0.001_excess_pods
10,1,2,565349.0083732058,0.0,565349.0083732058,0.0,565349.0083732058,0.0,565349.0083732058,0.0
10,1,4,565349.0083732058,0.0,565349.0083732058,0.0,565349.0083732058,0.0,565349.0083732058,0.0
10,2,2,276771.27776928956,0.0,276771.27776928956,0.0,276771.27776928956,0.0,276771.27776928956,0.0
17,7,7,37866.06122171946,0.0,37866.06122171946,0.0,37866.06122171946,0.0,37866.06122171946,0.0
50,1,2,106265.47203711515,0.0,106265.47203711515,0.0,106265.47203711515,0.0,106265.47203711515,0.0
50,1,4,84472.16511314984,0.0,84472.16511314984,0.0,84472.16511314984,0.0,84472.16511314984,0.0
50,2,2,52497.78500114181,0.0,52497.78500114181,0.0,52497.78500114181,0.0,52497.78500114181,0.0
75,3,5,19552.53693865396,0.0,19552.53693865396,0.0,19552.53693865396,0.0,19552.53693865396,0.0
100,1,2,52497.78500114181,0.0,52497.78500114181,0.0,52497.78500114181,0.0,52497.78500114181,0.0
100,1,4,39027.68163403615,0.0,39027.68163403615,0.0,39027.68163403615,0.0,39027.68163403615,0.0
100,2,2,25883.692469796988,0.0,25883.692469796988,0.0,25883.692469796988,0.0,25883.692469796988,0.0
115,4,2,11137.609362266978,0.0,11137.609362266978,0.0,11137.609362266978,0.0,11137.609362266978,0.0
287,1,6,13128.64949160479,1.0,13128.64949160479,1.0,13128.64949160479,1.0,13128.64949160479,1.0
400,1,2,12882.275752674477,0.0,12882.275752674477,0.0,12882.275752674477,0.0,12882.275752674477,0.0
400,1,4,10100.112206304839,0.0,10100.112206304839,0.0,10100.112206304839,0.0,10100.112206304839,0.0
400,2,2,6345.633918781404,0.0,6345.633918781404,0.0,6345.633918781404,0.0,6345.633918781404,0.0
439,1,9,7384.865339027693,9.0,7384.865339027693,9.0,7384.865339027693,9.0,7384.865339027693,9.0
1000,1,2,5015.163158161092,0.0,5011.789783855938,0.0,5015.163158161092,0.0,5015.163158161092,0.0
1000,1,4,3738.7298494296097,0.0,3737.682705018985,0.0,3738.7298494296097,0.0,3738.7298494296097,0.0
1000,2,2,2404.7930226897292,0.0,2404.7930226897292,0.0,2404.7930226897292,0.0,2404.7930226897292,0.0
