pods,cpu,mem,tolerance_0.0001_efficiency,tolerance_0.0001_excess_pods,tolerance_0.1_efficiency,tolerance_0.1_excess_pods,tolerance_0.01_efficiency,tolerance_0.01_excess_pods,tolerance_0.001_efficiency,tolerance_0.001_excess_pods
10,1,2,521646.8616977225,0.0,521646.8616977225,0.0,521646.8616977225,0.0,521646.8616977225,0.0
10,1,4,543254.9091954024,0.0,543254.9091954024,0.0,543254.9091954024,0.0,543254.9091954024,0.0
10,2,2,276716.49355971895,0.0,262180.47263267427,0.0,276716.49355971895,0.0,276716.49355971895,0.0
17,7,7,43775.71033485329,0.0,37705.75780800919,0.0,43775.71033485329,0.0,43775.71033485329,0.0
50,1,2,107085.24468716093,0.0,107085.24468716093,0.0,107085.24468716093,0.0,107085.24468716093,0.0
50,1,4,109583.06770229538,0.0,109583.06770229538,0.0,109583.06770229538,0.0,109583.06770229538,0.0
50,2,2,56045.50824143247,0.0,51555.486688166704,0.0,56045.50824143247,0.0,56045.50824143247,0.0
75,3,5,23198.12461567141,0.0,22082.548191451035,1.0,23198.12461567141,0.0,23198.12461567141,0.0
100,1,2,56045.50824143247,0.0,56045.50824143247,0.0,56045.50824143247,0.0,56045.50824143247,0.0
100,1,4,56045.50824143247,0.0,56045.50824143247,0.0,56045.50824143247,0.0,56045.50824143247,0.0
100,2,2,27616.674710763116,0.0,25639.915309446253,0.0,27616.674710763116,0.0,27616.674710763116,0.0
115,4,2,11882.700168107218,0.0,11135.118841389905,0.0,11882.700168107218,0.0,11882.700168107218,0.0
287,1,6,19132.565720762657,1.0,19132.565720762657,1.0,19132.565720762657,1.0,19132.565720762657,1.0
400,1,2,13725.330942355164,0.0,13367.63100053661,0.0,13725.330942355164,0.0,13725.330942355164,0.0
400,1,4,13725.330942355164,0.0,13725.330942355164,0.0,13725.330942355164,0.0,13725.330942355164,0.0
400,2,2,6739.80375985026,0.0,6737.694123452867,0.0,6738.472112468764,0.0,6739.80375985026,0.0
439,1,9,10941.563362348365,0.0,10941.563362348365,0.0,10941.563362348365,0.0,10941.563362348365,0.0
1000,1,2,5363.454450413742,0.0,5295.657288121521,0.0,5363.420997473754,0.0,5363.454450413742,0.0
1000,1,4,5345.968973747017,0.0,5345.968973747017,0.0,5345.968973747017,0.0,5345.968973747017,0.0
1000,2,2,2628.932763041753,0.0,2628.8054286288016,0.0,2628.932763041753,0.0,2628.932763041753,0.0
