pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods
10,1,2,493792.31031941023,320498.9413680781,356127.68276595743,67100.70435967302,0.0,6.0,0.0,54.0
10,1,4,310447.92705410824,63694.07648557931,226705.81911504423,46713.63523431801,0.0,54.0,0.0,54.0
10,2,2,213665.96091205213,213665.96091205213,92528.15217391304,67100.70435967302,2.0,2.0,0.0,22.0
17,7,7,37705.75780800919,37705.75780800919,16303.757249378623,33550.3521798365,0.0,0.0,0.0,1.0
50,1,2,101763.01444902162,91571.1261051652,71225.5365574468,67100.70435967302,0.0,6.0,0.0,14.0
50,1,4,63176.271222509706,63694.07648557931,45341.16382654868,46713.63523431801,0.0,14.0,0.0,14.0
50,2,2,49307.5294412428,49307.5294412428,18505.63043478261,33550.35217983651,2.0,2.0,0.0,14.0
75,3,5,18421.141590866555,16684.326114595697,5226.729083665338,16775.176089918255,0.0,9.0,0.0,9.0
100,1,2,50881.50722451081,49307.5294412428,35612.7682787234,33550.35217983651,0.0,4.0,0.0,28.0
100,1,4,39275.19955329282,30603.203251826297,22670.58191327434,23356.817617159006,0.0,28.0,0.0,28.0
100,2,2,25639.915309446253,25639.915309446253,9252.815217391306,16775.176089918255,0.0,0.0,0.0,28.0
115,4,2,11007.179214677257,11007.179214677257,3408.7363589121774,8387.588044959128,1.0,1.0,0.0,13.0
287,1,6,12941.65389053742,12941.65389053742,6635.362213323626,6673.376462067582,1.0,1.0,0.0,7.0
400,1,2,12819.957654723126,12819.957654723126,8903.192069614362,9585.814908524717,0.0,0.0,0.0,48.0
400,1,4,9151.49328608728,9109.289441108167,5667.645478429205,6673.376462045431,0.0,16.0,0.0,48.0
400,2,2,6317.3788121990365,6317.3788121990365,2313.2038043478265,5161.592643051771,0.0,0.0,0.0,16.0
439,1,9,7279.680313427299,7279.680313427299,2532.7608232521497,3495.3551674716,9.0,9.0,0.0,137.0
1000,1,2,4978.781783681215,4978.781783681215,3561.276827851064,4193.794022479564,0.0,0.0,0.0,24.0
1000,1,4,3746.4869205792993,3664.9750494472896,2267.0581913716815,2919.6022021448757,0.0,24.0,0.0,24.0
1000,2,2,2316.7431740440757,2280.7626054154803,925.2815217391304,2096.897011239782,0.0,16.0,0.0,24.0
