instance_type,availability_zone,num_instances,T3,pods,cpu,mem,actual_pods,excess_pods,cost,performance,total_cost_per_pod,nodes_used,efficiency
c8g.metal-24xl,ap-northeast-1c,1,1.0,10,1,2,96.0,86.0,1.2559,2955355.0608,0.0131,1,24512.261
t3.2xlarge,ap-northeast-1c,2,50.0,10,1,4,16.0,6.0,0.2406,325657.7806,0.015,2,84595.2256
c8g.metal-24xl,ap-northeast-1c,1,1.0,10,2,2,48.0,38.0,1.2559,1477677.5304,0.0262,1,24512.261
c8g.metal-24xl,ap-northeast-1c,2,1.0,17,7,7,26.0,9.0,2.5118,800408.6623,0.0966,2,12256.1305
c8g.metal-24xl,ap-northeast-1c,1,1.0,50,1,2,96.0,46.0,1.2559,2955355.0608,0.0131,1,24512.261
t3.2xlarge,ap-northeast-1c,7,50.0,50,1,4,56.0,6.0,0.8421,1139802.232,0.015,7,24170.0645
c8g.metal-24xl,ap-northeast-1c,2,1.0,50,2,2,96.0,46.0,2.5118,2955355.0608,0.0262,2,12256.1305
c8g.metal-24xl,ap-northeast-1c,3,1.0,75,3,5,96.0,21.0,3.7677,2955355.0608,0.0392,3,8170.7537
c8g.metal-24xl,ap-northeast-1c,2,1.0,100,1,2,192.0,92.0,2.5118,5910710.1216,0.0131,2,12256.1305
t3.2xlarge,ap-northeast-1c,13,50.0,100,1,4,104.0,4.0,1.5639,2116775.5737,0.015,13,13014.6501
c8g.metal-24xl,ap-northeast-1c,3,1.0,100,2,2,144.0,44.0,3.7677,4433032.5912,0.0262,3,8170.7537
c8g.metal-24xl,ap-northeast-1c,5,1.0,115,4,2,120.0,5.0,6.2795,3694193.826,0.0523,5,4902.4522
r8g.24xlarge,ap-northeast-1c,3,1.0,287,1,6,288.0,1.0,5.4267,8932515.4944,0.0188,3,5715.3848
c8g.metal-24xl,ap-northeast-1c,5,1.0,400,1,2,480.0,80.0,6.2795,14776775.304,0.0131,5,4902.4522
t3.2xlarge,ap-northeast-1c,50,50.0,400,1,4,400.0,0.0,6.015,8141444.5143,0.015,50,3383.809
c8g.metal-24xl,ap-northeast-1c,9,1.0,400,2,2,432.0,32.0,11.3031,13299097.7736,0.0262,9,2723.5846
r8g.24xlarge,ap-northeast-1c,6,1.0,439,1,9,510.0,71.0,10.8534,15817996.188,0.0213,6,2857.6924
c8g.metal-24xl,ap-northeast-1c,11,1.0,1000,1,2,1056.0,56.0,13.8149,32508905.6688,0.0131,11,2228.3874
t3.2xlarge,ap-northeast-1c,125,50.0,1000,1,4,1000.0,0.0,15.0375,20353611.2857,0.015,125,1353.5236
c8g.metal-24xl,ap-northeast-1c,21,1.0,1000,2,2,1008.0,8.0,26.3739,31031228.1384,0.0262,21,1167.2505
