pods,cpu,mem,tolerance_0.0001_efficiency,tolerance_0.0001_excess_pods,tolerance_0.1_efficiency,tolerance_0.1_excess_pods,tolerance_0.01_efficiency,tolerance_0.01_excess_pods,tolerance_0.001_efficiency,tolerance_0.001_excess_pods
10,1,2,517362.28788501024,0.0,517362.28788501024,0.0,517362.28788501024,0.0,517362.28788501024,0.0
10,1,4,528670.8847874721,0.0,528670.8847874721,0.0,528670.8847874721,0.0,528670.8847874721,0.0
10,2,2,260284.53946280992,0.0,260284.53946280992,0.0,260284.53946280992,0.0,260284.53946280992,0.0
17,7,7,42814.97070868671,0.0,42167.54749294552,0.0,42814.97070868671,0.0,42814.97070868671,0.0
50,1,2,102779.50882294758,0.0,102779.50882294758,0.0,102779.50882294758,0.0,102779.50882294758,0.0
50,1,4,104126.84974664023,0.0,104126.84974664023,0.0,104126.84974664023,0.0,104126.84974664023,0.0
50,2,2,54645.82853509077,0.0,51466.11363051015,0.0,54645.82853509077,0.0,54645.82853509077,0.0
75,3,5,22868.001724751066,1.0,22003.01891591897,1.0,22868.001724751066,1.0,22868.001724751066,1.0
100,1,2,54645.82853509077,0.0,51466.11363051015,0.0,54645.82853509077,0.0,54645.82853509077,0.0
100,1,4,54645.82853509077,0.0,54645.82853509077,0.0,54645.82853509077,0.0,54645.82853509077,0.0
100,2,2,26930.834242976558,0.0,25639.915309446253,0.0,26926.127889576885,0.0,26930.834242976558,0.0
115,4,2,11628.545656179025,0.0,11135.118841389905,0.0,11628.545656179025,0.0,11628.545656179025,0.0
287,1,6,18709.198440345182,1.0,18709.198440345182,1.0,18709.198440345182,1.0,18709.198440345182,1.0
400,1,2,13411.096245291548,0.0,12819.957654723126,0.0,13411.096245291548,0.0,13411.096245291548,0.0
400,1,4,13393.175522117373,0.0,13393.175522117373,0.0,13393.175522117373,0.0,13393.175522117373,0.0
400,2,2,6611.181502551847,0.0,6611.181502551847,0.0,6611.181502551847,0.0,6611.181502551847,0.0
439,1,9,10506.001659421405,0.0,10506.001659421405,0.0,10506.001659421405,0.0,10506.001659421405,0.0
1000,1,2,5255.775645305722,0.0,5133.058451719699,0.0,5255.775645305722,0.0,5255.775645305722,0.0
1000,1,4,5048.894227715153,0.0,4988.208183762357,12.0,5048.894227715153,0.0,5048.894227715153,0.0
1000,2,2,2545.412999154316,0.0,2545.412999154316,0.0,2545.412999154316,0.0,2545.412999154316,0.0
