alpha,cost,performance,perf_per_cost,actual_pods,excess_pods,instance_types
0.0,7.11475,19597840,2754536.7019220633,1000,0,"{'D4ps_v5_US East_1': 40, 'D4ps_v5_US East_2': 40, 'D4ps_v5_US East_3': 40, 'D8ps_v5_US East_1': 25, 'D8ps_v5_US East_2': 40}"
0.01,7.11475,19597840,2754536.7019220633,1000,0,"{'D4ps_v5_US East_1': 40, 'D4ps_v5_US East_2': 40, 'D4ps_v5_US East_3': 40, 'D8ps_v5_US East_1': 25, 'D8ps_v5_US East_2': 40}"
0.02,7.11475,19597840,2754536.7019220633,1000,0,"{'D4ps_v5_US East_1': 40, 'D4ps_v5_US East_2': 40, 'D4ps_v5_US East_3': 40, 'D8ps_v5_US East_1': 25, 'D8ps_v5_US East_2': 40}"
0.03,7.11475,19597840,2754536.7019220633,1000,0,"{'D4ps_v5_US East_1': 40, 'D4ps_v5_US East_2': 40, 'D4ps_v5_US East_3': 40, 'D8ps_v5_US East_1': 25, 'D8ps_v5_US East_2': 40}"
0.04,7.11475,19597840,2754536.7019220633,1000,0,"{'D4ps_v5_US East_1': 40, 'D4ps_v5_US East_2': 40, 'D4ps_v5_US East_3': 40, 'D8ps_v5_US East_1': 25, 'D8ps_v5_US East_2': 40}"
0.05,7.11475,19597840,2754536.7019220633,1000,0,"{'D4ps_v5_US East_1': 40, 'D4ps_v5_US East_2': 40, 'D4ps_v5_US East_3': 40, 'D8ps_v5_US East_1': 25, 'D8ps_v5_US East_2': 40}"
0.06,7.11475,19597840,2754536.7019220633,1000,0,"{'D4ps_v5_US East_1': 40, 'D4ps_v5_US East_2': 40, 'D4ps_v5_US East_3': 40, 'D8ps_v5_US East_1': 25, 'D8ps_v5_US East_2': 40}"
0.07,7.11475,19597840,2754536.7019220633,1000,0,"{'D4ps_v5_US East_1': 40, 'D4ps_v5_US East_2': 40, 'D4ps_v5_US East_3': 40, 'D8ps_v5_US East_1': 25, 'D8ps_v5_US East_2': 40}"
0.08,7.11475,19597840,2754536.7019220633,1000,0,"{'D4ps_v5_US East_1': 40, 'D4ps_v5_US East_2': 40, 'D4ps_v5_US East_3': 40, 'D8ps_v5_US East_1': 25, 'D8ps_v5_US East_2': 40}"
0.09,7.11475,19597840,2754536.7019220633,1000,0,"{'D4ps_v5_US East_1': 40, 'D4ps_v5_US East_2': 40, 'D4ps_v5_US East_3': 40, 'D8ps_v5_US East_1': 25, 'D8ps_v5_US East_2': 40}"
0.1,7.11475,19597840,2754536.7019220633,1000,0,"{'D4ps_v5_US East_1': 40, 'D4ps_v5_US East_2': 40, 'D4ps_v5_US East_3': 40, 'D8ps_v5_US East_1': 25, 'D8ps_v5_US East_2': 40}"
