pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,spotkube_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods,spotkube_excess_pods
1,1,1,1321663.0714285714,1072948.7884615385,1321663.0714285714,924347.3098591549,1321663.0714285714,0.0,1.0,0.0,1.0,0.0
5,1,1,341751.7313793103,357649.5959757835,264332.614025974,308115.77021387586,391020.5830164766,0.0,1.0,0.0,1.0,0.0
6,1,1,308115.77021387586,357649.5959757835,220277.1783910534,308115.77021387586,119216.53205128206,0.0,0.0,0.0,0.0,0.0
10,1,1,184869.4620657277,214589.75756410256,132166.30707792207,184869.4620657277,122249.55149117469,0.0,0.0,0.0,0.0,0.0
14,1,1,132049.61578997795,153278.39825353216,94404.50503578054,132049.61578997795,73392.2451540378,0.0,0.0,0.0,0.0,0.0
15,1,1,119957.03315096251,134118.59848257212,88110.87137085137,115543.41380575117,61268.418335410606,0.0,1.0,0.0,1.0,0.0
17,1,1,119216.53199192781,119216.53199192781,77744.88650968409,102705.25673795861,66661.70415940323,1.0,1.0,0.0,1.0,0.0
20,1,1,107294.87878205128,107294.87878205128,66083.15352272727,92434.73105633803,54336.793690303915,0.0,0.0,0.0,0.0,0.0
25,1,1,81868.43282164156,81868.43282164156,52866.522815584416,71103.63927549518,33788.16680304472,1.0,1.0,0.0,1.0,0.0
30,1,1,70699.05424146427,70699.05424146427,44055.435685425684,61623.154032342194,23871.018144828027,0.0,0.0,0.0,0.0,0.0
35,1,1,58688.6433740455,58688.6433740455,37761.80201431221,51352.62836173419,17858.557606601822,1.0,1.0,0.0,1.0,0.0
40,1,1,52718.11367322835,52718.11367322835,33041.576761363634,46217.365528169015,17353.3584740951,0.0,0.0,0.0,0.0,0.0
45,1,1,45738.491846712255,45738.491846712255,29370.290456950457,40189.013503199414,14326.491811163141,1.0,1.0,0.0,1.0,0.0
50,1,1,42028.879073446325,42028.879073446325,26433.26141038961,36973.89242065728,16181.751329416884,0.0,0.0,0.0,0.0,0.0
