Time,InstanceType,Region,AZ,SPS,T3,T2,IF,OndemandPrice,SpotPrice,Savings
2025-12-13 17:20:00,a1.large,eu-west-1,euw1-az1,1,0,0,1.0,0.0576,0.0576,0
2025-12-13 17:20:00,a1.large,eu-west-1,euw1-az2,1,0,0,1.0,0.0576,0.0576,0
2025-12-13 17:20:00,a1.large,us-east-1,use1-az2,1,0,0,1.0,0.051,0.0482,5
2025-12-13 17:20:00,a1.large,us-east-1,use1-az4,1,0,0,1.0,0.051,0.0482,5
2025-12-13 17:20:00,a1.large,us-east-1,use1-az6,1,0,0,1.0,0.051,0.0482,5
2025-12-13 17:20:00,a1.large,us-east-2,use2-az1,1,0,0,1.0,0.051,0.0453,11
2025-12-13 17:20:00,a1.large,us-east-2,use2-az2,1,0,0,1.0,0.051,0.044,13
2025-12-13 17:20:00,a1.large,us-west-2,usw2-az2,1,0,0,1.0,0.051,0.051,0
2025-12-13 17:20:00,a1.large,us-west-2,usw2-az3,1,0,0,1.0,0.051,0.051,0
2025-12-13 17:20:00,a1.medium,ap-northeast-1,apne1-az2,1,0,0,1.0,0.0321,0.0321,0
2025-12-13 17:20:00,a1.medium,ap-northeast-1,apne1-az4,1,0,0,1.0,0.0321,0.0321,0
2025-12-13 17:20:00,a1.medium,ap-south-1,aps1-az2,1,0,0,1.0,0.0255,0.0255,0
2025-12-13 17:20:00,a1.medium,ap-south-1,aps1-az3,1,0,0,1.0,0.0255,0.0255,0
2025-12-13 17:20:00,a1.medium,ap-southeast-1,apse1-az1,1,0,0,1.0,0.0294,0.0294,0
2025-12-13 17:20:00,a1.medium,ap-southeast-1,apse1-az2,1,0,0,1.0,0.0294,0.0294,0
2025-12-13 17:20:00,a1.medium,ap-southeast-2,apse2-az1,1,0,0,1.0,0.0333,0.0333,0
2025-12-13 17:20:00,a1.medium,ap-southeast-2,apse2-az2,1,0,0,1.0,0.0333,0.0333,0
2025-12-13 17:20:00,a1.medium,eu-central-1,euc1-az2,1,0,0,1.0,0.0291,0.0291,0
2025-12-13 17:20:00,a1.medium,eu-central-1,euc1-az3,1,0,0,1.0,0.0291,0.0291,0
2025-12-13 17:20:00,a1.medium,eu-west-1,euw1-az1,1,0,0,1.0,0.0288,0.0288,0
2025-12-13 17:20:00,a1.medium,eu-west-1,euw1-az2,1,0,0,1.0,0.0288,0.0288,0
2025-12-13 17:20:00,a1.medium,us-east-1,use1-az2,1,0,0,1.0,0.0255,0.0241,5
2025-12-13 17:20:00,a1.medium,us-east-1,use1-az4,1,0,0,1.0,0.0255,0.0241,5
2025-12-13 17:20:00,a1.medium,us-east-1,use1-az6,1,0,0,1.0,0.0255,0.0241,5
2025-12-13 17:20:00,a1.medium,us-east-2,use2-az1,1,0,0,1.0,0.0255,0.0225,11
2025-12-13 17:20:00,a1.medium,us-east-2,use2-az2,1,0,0,1.0,0.0255,0.023,9
2025-12-13 17:20:00,a1.medium,us-west-2,usw2-az2,1,0,0,1.0,0.0255,0.0255,0
2025-12-13 17:20:00,a1.medium,us-west-2,usw2-az3,1,0,0,1.0,0.0255,0.0255,0
2025-12-13 17:20:00,a1.metal,ap-northeast-1,apne1-az2,1,0,0,3.0,0.514,0.514,0
2025-12-13 17:20:00,a1.metal,ap-northeast-1,apne1-az4,1,0,0,3.0,0.514,0.514,0
2025-12-13 17:20:00,a1.metal,ap-south-1,aps1-az2,1,0,0,3.0,0.408,0.408,0
2025-12-13 17:20:00,a1.metal,ap-south-1,aps1-az3,1,0,0,3.0,0.408,0.408,0
2025-12-13 17:20:00,a1.metal,ap-southeast-1,apse1-az1,1,0,0,3.0,0.47,0.47,0
2025-12-13 17:20:00,a1.metal,ap-southeast-1,apse1-az2,1,0,0,3.0,0.47,0.47,0
2025-12-13 17:20:00,a1.metal,ap-southeast-2,apse2-az1,1,0,0,3.0,0.533,0.533,0
2025-12-13 17:20:00,a1.metal,ap-southeast-2,apse2-az2,1,0,0,3.0,0.533,0.533,0
2025-12-13 17:20:00,a1.metal,eu-central-1,euc1-az2,1,0,0,3.0,0.466,0.466,0
2025-12-13 17:20:00,a1.metal,eu-central-1,euc1-az3,1,0,0,3.0,0.466,0.466,0
2025-12-13 17:20:00,a1.metal,eu-west-1,euw1-az1,1,0,0,3.0,0.461,0.461,0
2025-12-13 17:20:00,a1.metal,eu-west-1,euw1-az2,1,0,0,3.0,0.461,0.461,0
2025-12-13 17:20:00,a1.metal,us-east-1,use1-az2,1,0,0,3.0,0.408,0.3854,5
2025-12-13 17:20:00,a1.metal,us-east-1,use1-az4,1,0,0,3.0,0.408,0.3854,5
2025-12-13 17:20:00,a1.metal,us-east-1,use1-az6,1,0,0,3.0,0.408,0.3854,5
2025-12-13 17:20:00,a1.metal,us-east-2,use2-az1,1,0,0,3.0,0.408,0.4033,1
2025-12-13 17:20:00,a1.metal,us-east-2,use2-az2,1,0,0,3.0,0.408,0.4033,1
2025-12-13 17:20:00,a1.metal,us-west-2,usw2-az2,1,0,0,3.0,0.408,0.408,0
2025-12-13 17:20:00,a1.metal,us-west-2,usw2-az3,1,0,0,3.0,0.408,0.408,0
2025-12-13 17:20:00,a1.xlarge,ap-northeast-1,apne1-az2,1,0,0,1.0,0.1284,0.1284,0
2025-12-13 17:20:00,a1.xlarge,ap-northeast-1,apne1-az4,1,0,0,1.0,0.1284,0.1284,0
2025-12-13 17:20:00,a1.xlarge,ap-south-1,aps1-az2,1,0,0,1.0,0.102,0.102,0
2025-12-13 17:20:00,a1.xlarge,ap-south-1,aps1-az3,1,0,0,1.0,0.102,0.102,0
2025-12-13 17:20:00,a1.xlarge,ap-southeast-1,apse1-az1,1,0,0,1.0,0.1176,0.1176,0
2025-12-13 17:20:00,a1.xlarge,ap-southeast-1,apse1-az2,1,0,0,1.0,0.1176,0.1176,0
2025-12-13 17:20:00,a1.xlarge,ap-southeast-2,apse2-az1,1,0,0,1.0,0.1332,0.1332,0
2025-12-13 17:20:00,a1.xlarge,ap-southeast-2,apse2-az2,1,0,0,1.0,0.1332,0.1332,0
2025-12-13 17:20:00,a1.xlarge,eu-central-1,euc1-az2,1,0,0,1.0,0.1164,0.1164,0
2025-12-13 17:20:00,a1.xlarge,eu-central-1,euc1-az3,1,0,0,1.0,0.1164,0.1164,0
2025-12-13 17:20:00,a1.xlarge,eu-west-1,euw1-az1,1,0,0,1.0,0.1152,0.1152,0
2025-12-13 17:20:00,a1.xlarge,eu-west-1,euw1-az2,1,0,0,1.0,0.1152,0.1152,0
2025-12-13 17:20:00,a1.xlarge,us-east-1,use1-az2,1,0,0,1.0,0.102,0.0964,5
2025-12-13 17:20:00,a1.xlarge,us-east-1,use1-az4,1,0,0,1.0,0.102,0.0964,5
2025-12-13 17:20:00,a1.xlarge,us-east-1,use1-az6,1,0,0,1.0,0.102,0.0964,5
2025-12-13 17:20:00,a1.xlarge,us-east-2,use2-az1,1,0,0,1.0,0.102,0.0921,9
2025-12-13 17:20:00,a1.xlarge,us-east-2,use2-az2,1,0,0,1.0,0.102,0.0878,13
2025-12-13 17:20:00,a1.xlarge,us-west-2,usw2-az2,1,0,0,1.0,0.102,0.102,0
2025-12-13 17:20:00,a1.xlarge,us-west-2,usw2-az3,1,0,0,1.0,0.102,0.102,0
2025-12-13 17:20:00,c1.medium,ap-northeast-1,apne1-az1,3,1,1,1.0,0.158,0.0583,63
2025-12-13 17:20:00,c1.medium,ap-northeast-1,apne1-az4,1,0,0,1.0,0.158,0.158,0
2025-12-13 17:20:00,c1.medium,ap-southeast-1,apse1-az1,1,0,0,1.0,0.164,0.0419,74
2025-12-13 17:20:00,c1.medium,ap-southeast-1,apse1-az2,3,1,1,1.0,0.164,0.0654,60
2025-12-13 17:20:00,c1.medium,ap-southeast-2,apse2-az1,3,1,1,1.0,0.164,0.0309,81
2025-12-13 17:20:00,c1.medium,ap-southeast-2,apse2-az3,3,1,1,1.0,0.164,0.0347,78
2025-12-13 17:20:00,c1.medium,eu-west-1,euw1-az1,3,5,10,1.0,0.148,0.058,60
2025-12-13 17:20:00,c1.medium,eu-west-1,euw1-az2,3,5,5,1.0,0.148,0.0603,59
2025-12-13 17:20:00,c1.medium,eu-west-1,euw1-az3,3,5,10,1.0,0.148,0.0573,61
2025-12-13 17:20:00,c1.medium,sa-east-1,sae1-az1,1,0,0,1.0,0.179,0.0496,72
2025-12-13 17:20:00,c1.medium,sa-east-1,sae1-az2,3,1,5,1.0,0.179,0.0339,81
2025-12-13 17:20:00,c1.medium,us-east-1,use1-az1,3,5,10,1.0,0.13,0.0307,76
2025-12-13 17:20:00,c1.medium,us-east-1,use1-az2,3,15,25,1.0,0.13,0.033,74
2025-12-13 17:20:00,c1.medium,us-east-1,use1-az4,3,10,20,1.0,0.13,0.0322,75
2025-12-13 17:20:00,c1.medium,us-east-1,use1-az6,3,10,15,1.0,0.13,0.0346,73
2025-12-13 17:20:00,c1.medium,us-west-1,usw1-az1,1,0,0,1.0,0.148,0.038,74
2025-12-13 17:20:00,c1.medium,us-west-1,usw1-az3,3,1,5,1.0,0.148,0.044,70
2025-12-13 17:20:00,c1.medium,us-west-2,usw2-az1,3,5,10,1.0,0.13,0.0458,64
2025-12-13 17:20:00,c1.medium,us-west-2,usw2-az2,3,10,15,1.0,0.13,0.0497,61
2025-12-13 17:20:00,c1.medium,us-west-2,usw2-az3,3,20,30,1.0,0.13,0.041,68
