pods,cpu,mem,actual_pods,excess_pods,Total Assigned Instances,Total Assignable Pods,Total CPU,Total Memory,cost,performance,nodepool_config
10,1,2,96.0,86.0,1,96.0,96.0,768.0,0.871,4537265.0016,"[{'instance_type': 'r8a.metal-24xl', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}]"
10,1,4,96.0,86.0,1,96.0,96.0,768.0,0.871,4537265.0016,"[{'instance_type': 'r8a.metal-24xl', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}]"
10,2,2,48.0,38.0,1,48.0,96.0,768.0,0.871,2268632.5008,"[{'instance_type': 'r8a.metal-24xl', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}]"
17,7,7,27.0,10.0,1,27.0,192.0,1536.0,1.7854,1276105.7817,"[{'instance_type': 'r8a.metal-48xl', 'availability_zone': 'use1-az6', 'num_instances': 1, 'T3': 1.0}]"
50,1,2,96.0,46.0,1,96.0,96.0,768.0,0.871,4537265.0016,"[{'instance_type': 'r8a.metal-24xl', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}]"
50,1,4,96.0,46.0,1,96.0,96.0,768.0,0.871,4537265.0016,"[{'instance_type': 'r8a.metal-24xl', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}]"
50,2,2,52.0,2.0,2,52.0,104.0,784.0,0.9017,2347347.0408,"[{'instance_type': 'r8a.metal-24xl', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'c6gd.2xlarge', 'availability_zone': 'use1-az6', 'num_instances': 1, 'T3': 50.0}]"
75,3,5,96.0,21.0,2,96.0,288.0,2304.0,2.6564,4537265.0016,"[{'instance_type': 'r8a.metal-24xl', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.metal-48xl', 'availability_zone': 'use1-az6', 'num_instances': 1, 'T3': 1.0}]"
100,1,2,104.0,4.0,2,104.0,104.0,784.0,0.9017,4694694.0816,"[{'instance_type': 'r8a.metal-24xl', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'c6gd.2xlarge', 'availability_zone': 'use1-az6', 'num_instances': 1, 'T3': 50.0}]"
100,1,4,100.0,0.0,2,100.0,100.0,800.0,0.9081,4726317.71,"[{'instance_type': 'r8a.metal-24xl', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.xlarge', 'availability_zone': 'use1-az2', 'num_instances': 1, 'T3': 10.0}]"
100,2,2,100.0,0.0,14,100.0,200.0,976.0,1.2701,3291921.5208,"[{'instance_type': 'r8a.metal-24xl', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'c6gd.2xlarge', 'availability_zone': 'use1-az6', 'num_instances': 13, 'T3': 50.0}]"
115,4,2,116.0,1.0,47,116.0,464.0,1504.0,2.2832,2944750.6704,"[{'instance_type': 'r8a.metal-24xl', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'c6gd.2xlarge', 'availability_zone': 'use1-az6', 'num_instances': 46, 'T3': 50.0}]"
287,1,6,328.0,41.0,12,328.0,328.0,2624.0,3.0274,15502322.0888,"[{'instance_type': 'r8a.metal-24xl', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.xlarge', 'availability_zone': 'use1-az2', 'num_instances': 10, 'T3': 10.0}, {'instance_type': 'r8a.metal-48xl', 'availability_zone': 'use1-az6', 'num_instances': 1, 'T3': 1.0}]"
400,1,2,400.0,0.0,39,400.0,400.0,1376.0,2.0376,10519570.0416,"[{'instance_type': 'r8a.metal-24xl', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'c6gd.2xlarge', 'availability_zone': 'use1-az6', 'num_instances': 38, 'T3': 50.0}]"
