pods,cpu,mem,actual_pods,excess_pods,Total Assigned Instances,Total Assignable Pods,Total CPU,Total Memory,cost,performance,nodepool_config
10,1,2,192.0,182.0,1,192.0,192.0,384.0,1.5408,5910710.1216,"[{'instance_type': 'c8gn.48xlarge', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}]"
10,1,4,192.0,182.0,1,192.0,192.0,768.0,2.7704,9189738.4512,"[{'instance_type': 'm8a.metal-48xl', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}]"
10,2,2,96.0,86.0,1,96.0,192.0,384.0,1.5408,2955355.0608,"[{'instance_type': 'c8gn.48xlarge', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}]"
17,7,7,27.0,10.0,1,27.0,192.0,384.0,1.5408,831193.6109,"[{'instance_type': 'c8gn.48xlarge', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}]"
50,1,2,192.0,142.0,1,192.0,192.0,384.0,1.5408,5910710.1216,"[{'instance_type': 'c8gn.48xlarge', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}]"
50,1,4,192.0,142.0,1,192.0,192.0,768.0,2.7704,9189738.4512,"[{'instance_type': 'm8a.metal-48xl', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}]"
50,2,2,96.0,46.0,1,96.0,192.0,384.0,1.5408,2955355.0608,"[{'instance_type': 'c8gn.48xlarge', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}]"
75,3,5,96.0,21.0,2,96.0,288.0,576.0,2.4286,2955355.0608,"[{'instance_type': 'c8gn.48xlarge', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'c8gn.24xlarge', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 10.0}]"
100,1,2,192.0,92.0,1,192.0,192.0,384.0,1.5408,5910710.1216,"[{'instance_type': 'c8gn.48xlarge', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}]"
100,1,4,192.0,92.0,1,192.0,192.0,768.0,2.7704,9189738.4512,"[{'instance_type': 'm8a.metal-48xl', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}]"
