pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods
10,1,2,322763.89688524586,18425.274449365574,251279.15172839505,251279.15172839505,0.0,182.0,0.0,0.0
10,1,4,191778.20505050506,18425.230434615234,173092.9564864865,27614.269227659803,0.0,182.0,0.0,54.0
10,2,2,162992.25903866248,18425.274449365574,110403.34763636364,136821.99355555556,0.0,86.0,0.0,2.0
17,7,7,24145.05768858132,18425.274450473935,24145.05768858132,24145.05768858132,0.0,10.0,0.0,0.0
50,1,2,64552.77939016393,18425.274449365574,50255.830335802464,50255.830335802464,0.0,142.0,0.0,0.0
50,1,4,38355.64101548822,18425.230434615234,34618.5913,27614.269227659803,0.0,142.0,0.0,14.0
50,2,2,32788.721601869554,18425.274449365574,22080.669527272727,31574.306205128207,0.0,46.0,0.0,2.0
75,3,5,14996.733016955757,9212.623831556752,4816.794753086419,11184.765495567504,0.0,53.0,0.0,9.0
100,1,2,29168.29290962963,18425.274449365574,25127.915167901232,25127.915167901232,0.0,92.0,0.0,0.0
100,1,4,21961.909211214406,18425.230434615234,17309.29565,13807.134613829901,0.0,92.0,0.0,28.0
100,2,2,17633.72009966777,9212.623831556752,11040.334763636363,16418.639226666666,0.0,92.0,0.0,0.0
115,4,2,7322.595239897893,7542.456899471952,3141.387882447665,7076.9996666666675,0.0,1.0,0.0,1.0
287,1,6,7792.223597101048,6585.276453955871,4490.59866962306,4151.000569337129,1.0,49.0,0.0,33.0
400,1,2,8826.794013078032,8822.568603372187,6281.978791898148,6281.978791898148,0.0,0.0,0.0,0.0
400,1,4,7653.094945715611,5101.0029840884135,4327.323912584459,3944.8956039514005,0.0,176.0,0.0,48.0
400,2,2,4221.9527762577445,3033.1031031557686,2760.083690909091,4104.659806666667,0.0,144.0,0.0,0.0
439,1,9,4053.472501167848,3091.0050772199675,1507.7974131735205,2594.3753558357052,0.0,136.0,0.0,9.0
1000,1,2,3318.048343082271,2898.175848639589,2512.7915167530864,2512.7915167530864,0.0,138.0,0.0,0.0
1000,1,4,2746.482266125747,2746.482266125747,1730.9295650337838,1725.8918267287377,8.0,8.0,0.0,24.0
1000,2,2,1583.0664386311194,1579.7633464551234,1104.0334763636365,1641.8639226666667,0.0,2.0,0.0,0.0
