alpha,cost,performance,perf_per_cost,actual_pods,excess_pods,instance_types
0.13,3.0471690000000007,7567776,2483543.551407879,287,0,"{'D2ps_v5_US East_3': 1, 'E20as_v6_US East_3': 2, 'E2as_v6_US East_1': 5, 'E2as_v6_US East_2': 5, 'E2as_v6_US East_3': 2, 'E2ps_v5_US East_1': 5, 'E2ps_v5_US East_2': 5, 'E2ps_v5_US East_3': 5, 'E32as_v6_US East_3': 1, 'E4as_v6_US East_1': 5, 'E4as_v6_US East_2': 5, 'E4as_v6_US East_3': 5, 'E4ps_v5_US East_1': 5, 'E4ps_v5_US East_2': 5, 'E4ps_v5_US East_3': 5, 'E8ps_v5_US East_3': 5}"
0.14,3.0471690000000007,7567776,2483543.551407879,287,0,"{'D2ps_v5_US East_3': 1, 'E20as_v6_US East_3': 2, 'E2as_v6_US East_1': 5, 'E2as_v6_US East_2': 5, 'E2as_v6_US East_3': 2, 'E2ps_v5_US East_1': 5, 'E2ps_v5_US East_2': 5, 'E2ps_v5_US East_3': 5, 'E32as_v6_US East_3': 1, 'E4as_v6_US East_1': 5, 'E4as_v6_US East_2': 5, 'E4as_v6_US East_3': 5, 'E4ps_v5_US East_1': 5, 'E4ps_v5_US East_2': 5, 'E4ps_v5_US East_3': 5, 'E8ps_v5_US East_3': 5}"
0.15,3.0471690000000007,7567776,2483543.551407879,287,0,"{'D2ps_v5_US East_3': 1, 'E20as_v6_US East_3': 2, 'E2as_v6_US East_1': 5, 'E2as_v6_US East_2': 5, 'E2as_v6_US East_3': 2, 'E2ps_v5_US East_1': 5, 'E2ps_v5_US East_2': 5, 'E2ps_v5_US East_3': 5, 'E32as_v6_US East_3': 1, 'E4as_v6_US East_1': 5, 'E4as_v6_US East_2': 5, 'E4as_v6_US East_3': 5, 'E4ps_v5_US East_1': 5, 'E4ps_v5_US East_2': 5, 'E4ps_v5_US East_3': 5, 'E8ps_v5_US East_3': 5}"
0.16,3.0471690000000007,7567776,2483543.551407879,287,0,"{'D2ps_v5_US East_3': 1, 'E20as_v6_US East_3': 2, 'E2as_v6_US East_1': 5, 'E2as_v6_US East_2': 5, 'E2as_v6_US East_3': 2, 'E2ps_v5_US East_1': 5, 'E2ps_v5_US East_2': 5, 'E2ps_v5_US East_3': 5, 'E32as_v6_US East_3': 1, 'E4as_v6_US East_1': 5, 'E4as_v6_US East_2': 5, 'E4as_v6_US East_3': 5, 'E4ps_v5_US East_1': 5, 'E4ps_v5_US East_2': 5, 'E4ps_v5_US East_3': 5, 'E8ps_v5_US East_3': 5}"
0.17,3.0471690000000007,7567776,2483543.551407879,287,0,"{'D2ps_v5_US East_3': 1, 'E20as_v6_US East_3': 2, 'E2as_v6_US East_1': 5, 'E2as_v6_US East_2': 5, 'E2as_v6_US East_3': 2, 'E2ps_v5_US East_1': 5, 'E2ps_v5_US East_2': 5, 'E2ps_v5_US East_3': 5, 'E32as_v6_US East_3': 1, 'E4as_v6_US East_1': 5, 'E4as_v6_US East_2': 5, 'E4as_v6_US East_3': 5, 'E4ps_v5_US East_1': 5, 'E4ps_v5_US East_2': 5, 'E4ps_v5_US East_3': 5, 'E8ps_v5_US East_3': 5}"
0.18,3.0471690000000007,7567776,2483543.551407879,287,0,"{'D2ps_v5_US East_3': 1, 'E20as_v6_US East_3': 2, 'E2as_v6_US East_1': 5, 'E2as_v6_US East_2': 5, 'E2as_v6_US East_3': 2, 'E2ps_v5_US East_1': 5, 'E2ps_v5_US East_2': 5, 'E2ps_v5_US East_3': 5, 'E32as_v6_US East_3': 1, 'E4as_v6_US East_1': 5, 'E4as_v6_US East_2': 5, 'E4as_v6_US East_3': 5, 'E4ps_v5_US East_1': 5, 'E4ps_v5_US East_2': 5, 'E4ps_v5_US East_3': 5, 'E8ps_v5_US East_3': 5}"
0.19,3.0471690000000007,7567776,2483543.551407879,287,0,"{'D2ps_v5_US East_3': 1, 'E20as_v6_US East_3': 2, 'E2as_v6_US East_1': 5, 'E2as_v6_US East_2': 5, 'E2as_v6_US East_3': 2, 'E2ps_v5_US East_1': 5, 'E2ps_v5_US East_2': 5, 'E2ps_v5_US East_3': 5, 'E32as_v6_US East_3': 1, 'E4as_v6_US East_1': 5, 'E4as_v6_US East_2': 5, 'E4as_v6_US East_3': 5, 'E4ps_v5_US East_1': 5, 'E4ps_v5_US East_2': 5, 'E4ps_v5_US East_3': 5, 'E8ps_v5_US East_3': 5}"
0.2,3.0471690000000007,7567776,2483543.551407879,287,0,"{'D2ps_v5_US East_3': 1, 'E20as_v6_US East_3': 2, 'E2as_v6_US East_1': 5, 'E2as_v6_US East_2': 5, 'E2as_v6_US East_3': 2, 'E2ps_v5_US East_1': 5, 'E2ps_v5_US East_2': 5, 'E2ps_v5_US East_3': 5, 'E32as_v6_US East_3': 1, 'E4as_v6_US East_1': 5, 'E4as_v6_US East_2': 5, 'E4as_v6_US East_3': 5, 'E4ps_v5_US East_1': 5, 'E4ps_v5_US East_2': 5, 'E4ps_v5_US East_3': 5, 'E8ps_v5_US East_3': 5}"
0.21,3.3532859999999998,9187107,2739732.7934449967,287,0,"{'D2ps_v5_US East_3': 1, 'E20as_v6_US East_3': 2, 'E2as_v6_US East_1': 5, 'E2as_v6_US East_2': 5, 'E2as_v6_US East_3': 3, 'E32as_v6_US East_3': 3, 'E4as_v6_US East_1': 5, 'E4as_v6_US East_2': 5, 'E4as_v6_US East_3': 5, 'E64as_v6_US East_3': 1}"
0.22,3.36238,9231618,2745560.656439784,288,1,"{'E20as_v6_US East_3': 2, 'E2as_v6_US East_1': 5, 'E2as_v6_US East_2': 5, 'E2as_v6_US East_3': 4, 'E32as_v6_US East_3': 3, 'E4as_v6_US East_1': 5, 'E4as_v6_US East_2': 5, 'E4as_v6_US East_3': 5, 'E64as_v6_US East_3': 1}"
0.23,3.3623799999999995,9231618,2745560.6564397835,288,1,"{'E2as_v6_US East_1': 5, 'E2as_v6_US East_2': 5, 'E2as_v6_US East_3': 4, 'E32as_v6_US East_3': 4, 'E4as_v6_US East_1': 5, 'E4as_v6_US East_2': 5, 'E4as_v6_US East_3': 5, 'E64as_v6_US East_3': 1, 'E8as_v6_US East_3': 1}"
0.24,3.3623799999999995,9231618,2745560.6564397835,288,1,"{'E2as_v6_US East_1': 5, 'E2as_v6_US East_2': 5, 'E2as_v6_US East_3': 4, 'E32as_v6_US East_3': 4, 'E4as_v6_US East_1': 5, 'E4as_v6_US East_2': 5, 'E4as_v6_US East_3': 5, 'E64as_v6_US East_3': 1, 'E8as_v6_US East_3': 1}"
0.25,3.3623799999999995,9231618,2745560.6564397835,288,1,"{'E2as_v6_US East_1': 5, 'E2as_v6_US East_2': 5, 'E2as_v6_US East_3': 4, 'E32as_v6_US East_3': 4, 'E4as_v6_US East_1': 5, 'E4as_v6_US East_2': 5, 'E4as_v6_US East_3': 5, 'E64as_v6_US East_3': 1, 'E8as_v6_US East_3': 1}"
0.26,3.3623799999999995,9231618,2745560.6564397835,288,1,"{'E2as_v6_US East_1': 5, 'E2as_v6_US East_2': 5, 'E2as_v6_US East_3': 4, 'E32as_v6_US East_3': 4, 'E4as_v6_US East_1': 5, 'E4as_v6_US East_2': 5, 'E4as_v6_US East_3': 5, 'E64as_v6_US East_3': 1, 'E8as_v6_US East_3': 1}"
0.27,3.3623799999999995,9231618,2745560.6564397835,288,1,"{'E2as_v6_US East_1': 5, 'E2as_v6_US East_2': 5, 'E2as_v6_US East_3': 4, 'E32as_v6_US East_3': 4, 'E4as_v6_US East_1': 5, 'E4as_v6_US East_2': 5, 'E4as_v6_US East_3': 5, 'E64as_v6_US East_3': 1, 'E8as_v6_US East_3': 1}"
0.28,3.3623799999999995,9231618,2745560.6564397835,288,1,"{'E2as_v6_US East_1': 5, 'E2as_v6_US East_2': 5, 'E2as_v6_US East_3': 4, 'E32as_v6_US East_3': 4, 'E4as_v6_US East_1': 5, 'E4as_v6_US East_2': 5, 'E4as_v6_US East_3': 5, 'E64as_v6_US East_3': 1, 'E8as_v6_US East_3': 1}"
0.29,3.3623799999999995,9231618,2745560.6564397835,288,1,"{'E2as_v6_US East_1': 5, 'E2as_v6_US East_2': 5, 'E2as_v6_US East_3': 4, 'E32as_v6_US East_3': 4, 'E4as_v6_US East_1': 5, 'E4as_v6_US East_2': 5, 'E4as_v6_US East_3': 5, 'E64as_v6_US East_3': 1, 'E8as_v6_US East_3': 1}"
0.3,3.3623799999999995,9231618,2745560.6564397835,288,1,"{'E2as_v6_US East_1': 5, 'E2as_v6_US East_2': 5, 'E2as_v6_US East_3': 4, 'E32as_v6_US East_3': 4, 'E4as_v6_US East_1': 5, 'E4as_v6_US East_2': 5, 'E4as_v6_US East_3': 5, 'E64as_v6_US East_3': 1, 'E8as_v6_US East_3': 1}"
0.31,3.3623799999999995,9231618,2745560.6564397835,288,1,"{'E2as_v6_US East_1': 5, 'E2as_v6_US East_2': 5, 'E2as_v6_US East_3': 4, 'E32as_v6_US East_3': 4, 'E4as_v6_US East_1': 5, 'E4as_v6_US East_2': 5, 'E4as_v6_US East_3': 5, 'E64as_v6_US East_3': 1, 'E8as_v6_US East_3': 1}"
0.32,3.3623799999999995,9231618,2745560.6564397835,288,1,"{'E2as_v6_US East_1': 5, 'E2as_v6_US East_2': 5, 'E2as_v6_US East_3': 4, 'E32as_v6_US East_3': 4, 'E4as_v6_US East_1': 5, 'E4as_v6_US East_2': 5, 'E4as_v6_US East_3': 5, 'E64as_v6_US East_3': 1, 'E8as_v6_US East_3': 1}"
0.33,3.3623799999999995,9231618,2745560.6564397835,288,1,"{'E2as_v6_US East_1': 5, 'E2as_v6_US East_2': 5, 'E2as_v6_US East_3': 4, 'E32as_v6_US East_3': 4, 'E4as_v6_US East_1': 5, 'E4as_v6_US East_2': 5, 'E4as_v6_US East_3': 5, 'E64as_v6_US East_3': 1, 'E8as_v6_US East_3': 1}"
