pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,spotkube_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods,spotkube_excess_pods
1,1,1,1296408.363057325,834813.0224438905,1296408.363057325,715949.0072727272,1296408.363057325,0.0,1.0,0.0,1.0,0.0
5,1,1,321705.1511991658,278271.0073427542,259281.6723566879,238649.6692929293,174611.2312,0.0,1.0,0.0,1.0,0.0
6,1,1,278271.0073427542,278271.0073427542,216068.0603326256,238649.6692929293,252182.59864240326,0.0,0.0,0.0,0.0,0.0
10,1,1,166962.60438902743,166962.60438902743,129640.83624203822,143189.8015272727,109890.52379533036,0.0,0.0,0.0,0.0,0.0
14,1,1,119259.00312993026,119259.00312993026,92600.59729624334,102278.42968460111,39323.345569491175,0.0,0.0,0.0,0.0,0.0
15,1,1,109990.47273954116,104351.62774703866,86427.22414720454,89493.62596590909,48719.221319237964,0.0,1.0,0.0,1.0,0.0
17,1,1,97188.99505287998,92757.00244758473,76259.3154298812,79549.88976430977,38316.63971454306,0.0,1.0,0.0,1.0,0.0
20,1,1,83481.30219451372,83481.30219451372,64820.41810509554,71594.90078181819,35672.397709829165,0.0,0.0,0.0,0.0,0.0
25,1,1,66313.35589454618,64216.38630494769,51856.33448152866,55073.00060247445,33012.564528744624,0.0,1.0,0.0,1.0,0.0
30,1,1,55654.20146855084,55654.20146855084,43213.61207360227,47729.93385050505,33622.785763433814,0.0,0.0,0.0,0.0,0.0
35,1,1,47463.545638903684,46378.50121994397,37040.238918497336,39774.94487654321,21912.044905747414,0.0,1.0,0.0,1.0,0.0
40,1,1,41740.65110037407,41740.65110037407,32410.20905254777,35797.45039090909,12861.580859946367,0.0,0.0,0.0,0.0,0.0
45,1,1,36957.783155758494,36296.21834826921,28809.07471573484,31128.217731569002,16540.37742378723,0.0,1.0,0.0,1.0,0.0
50,1,1,33392.5208798005,33392.5208798005,25928.167243312102,28637.960311272727,13246.421945084483,0.0,0.0,0.0,0.0,0.0
