pods,cpu,mem,actual_pods,excess_pods,Total Assigned Instances,Total Assignable Pods,Total CPU,Total Memory,cost,performance,nodepool_config
10,1,2,192.0,182.0,1,192.0,192.0,1536.0,2.0645,9074530.0032,"[{'instance_type': 'r8a.metal-48xl', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}]"
10,1,4,192.0,182.0,1,192.0,192.0,1536.0,2.0645,9074530.0032,"[{'instance_type': 'r8a.metal-48xl', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}]"
10,2,2,96.0,86.0,1,96.0,192.0,1536.0,2.0645,4537265.0016,"[{'instance_type': 'r8a.metal-48xl', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}]"
17,7,7,27.0,10.0,1,27.0,192.0,1536.0,2.0645,1276105.7817,"[{'instance_type': 'r8a.metal-48xl', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}]"
50,1,2,192.0,142.0,1,192.0,192.0,1536.0,2.0645,9074530.0032,"[{'instance_type': 'r8a.metal-48xl', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}]"
50,1,4,192.0,142.0,1,192.0,192.0,1536.0,2.0645,9074530.0032,"[{'instance_type': 'r8a.metal-48xl', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}]"
50,2,2,96.0,46.0,1,96.0,192.0,1536.0,2.0645,4537265.0016,"[{'instance_type': 'r8a.metal-48xl', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}]"
75,3,5,192.0,117.0,2,192.0,576.0,2304.0,5.1329,7178662.5751,"[{'instance_type': 'r8a.metal-48xl', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'c8i.metal-96xl', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}]"
100,1,2,192.0,92.0,1,192.0,192.0,1536.0,2.0645,9074530.0032,"[{'instance_type': 'r8a.metal-48xl', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}]"
100,1,4,192.0,92.0,1,192.0,192.0,1536.0,2.0645,9074530.0032,"[{'instance_type': 'r8a.metal-48xl', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}]"
100,2,2,288.0,188.0,2,288.0,576.0,2304.0,5.1329,10767993.8627,"[{'instance_type': 'r8a.metal-48xl', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'c8i.metal-96xl', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}]"
115,4,2,144.0,29.0,2,144.0,576.0,2304.0,5.1329,5383996.9313,"[{'instance_type': 'r8a.metal-48xl', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'c8i.metal-96xl', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}]"
287,1,6,384.0,97.0,2,384.0,384.0,3072.0,4.3148,18149060.0064,"[{'instance_type': 'r8a.metal-48xl', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.48xlarge', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}]"
400,1,2,576.0,176.0,2,576.0,576.0,2304.0,5.1329,21535987.7254,"[{'instance_type': 'r8a.metal-48xl', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'c8i.metal-96xl', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}]"
400,1,4,576.0,176.0,3,576.0,576.0,4608.0,6.6502,27223590.0096,"[{'instance_type': 'r8a.metal-48xl', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.48xlarge', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.metal-48xl', 'availability_zone': 'usw2-az1', 'num_instances': 1, 'T3': 1.0}]"
400,2,2,400.0,0.0,19,400.0,800.0,3904.0,7.6478,15830759.6277,"[{'instance_type': 'r8a.metal-48xl', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'c8i.metal-96xl', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.48xlarge', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'c8i-flex.large', 'availability_zone': 'usw2-az2', 'num_instances': 5, 'T3': 5.0}, {'instance_type': 'c8i-flex.large', 'availability_zone': 'usw2-az3', 'num_instances': 11, 'T3': 30.0}]"
439,1,9,510.0,71.0,3,510.0,576.0,4608.0,6.6502,24104220.321,"[{'instance_type': 'r8a.metal-48xl', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.48xlarge', 'availability_zone': 'usw2-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.metal-48xl', 'availability_zone': 'usw2-az1', 'num_instances': 1, 'T3': 1.0}]"
