pods,cpu,mem,actual_pods,excess_pods,Total Assigned Instances,Total Assignable Pods,Total CPU,Total Memory,cost,performance,nodepool_config
1,1,1,2.0,1.0,1,2.0,2.0,4.0,0.0307,66952.0044,"[{'instance_type': 'c7a.large', 'availability_zone': 'use1-az5', 'num_instances': 1, 'T3': 1.0}]"
5,1,1,6.0,1.0,3,6.0,6.0,12.0,0.0991,200856.0131,"[{'instance_type': 'c7a.large', 'availability_zone': 'use1-az5', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'c7a.large', 'availability_zone': 'use1-az1', 'num_instances': 2, 'T3': 5.0}]"
6,1,1,6.0,0.0,3,6.0,6.0,12.0,0.0991,200856.0131,"[{'instance_type': 'c7a.large', 'availability_zone': 'use1-az5', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'c7a.large', 'availability_zone': 'use1-az1', 'num_instances': 2, 'T3': 5.0}]"
10,1,1,10.0,0.0,5,10.0,10.0,20.0,0.1675,334760.0218,"[{'instance_type': 'c7a.large', 'availability_zone': 'use1-az5', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'c7a.large', 'availability_zone': 'use1-az1', 'num_instances': 4, 'T3': 5.0}]"
14,1,1,14.0,0.0,7,14.0,14.0,28.0,0.237,468664.0305,"[{'instance_type': 'c7a.large', 'availability_zone': 'use1-az5', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'c7a.large', 'availability_zone': 'use1-az1', 'num_instances': 5, 'T3': 5.0}, {'instance_type': 'c7a.large', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}]"
15,1,1,16.0,1.0,8,16.0,16.0,32.0,0.2737,535616.0349,"[{'instance_type': 'c7a.large', 'availability_zone': 'use1-az5', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'c7a.large', 'availability_zone': 'use1-az1', 'num_instances': 5, 'T3': 5.0}, {'instance_type': 'c7a.large', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'c7a.large', 'availability_zone': 'use1-az6', 'num_instances': 1, 'T3': 50.0}]"
17,1,1,18.0,1.0,9,18.0,18.0,36.0,0.3104,602568.0393,"[{'instance_type': 'c7a.large', 'availability_zone': 'use1-az5', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'c7a.large', 'availability_zone': 'use1-az1', 'num_instances': 5, 'T3': 5.0}, {'instance_type': 'c7a.large', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'c7a.large', 'availability_zone': 'use1-az6', 'num_instances': 2, 'T3': 50.0}]"
20,1,1,20.0,0.0,10,20.0,20.0,40.0,0.3471,669520.0436,"[{'instance_type': 'c7a.large', 'availability_zone': 'use1-az5', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'c7a.large', 'availability_zone': 'use1-az1', 'num_instances': 5, 'T3': 5.0}, {'instance_type': 'c7a.large', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'c7a.large', 'availability_zone': 'use1-az6', 'num_instances': 3, 'T3': 50.0}]"
25,1,1,26.0,1.0,13,26.0,26.0,52.0,0.4572,870376.0567,"[{'instance_type': 'c7a.large', 'availability_zone': 'use1-az5', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'c7a.large', 'availability_zone': 'use1-az1', 'num_instances': 5, 'T3': 5.0}, {'instance_type': 'c7a.large', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'c7a.large', 'availability_zone': 'use1-az6', 'num_instances': 6, 'T3': 50.0}]"
30,1,1,30.0,0.0,15,30.0,30.0,60.0,0.5306,1004280.0655,"[{'instance_type': 'c7a.large', 'availability_zone': 'use1-az5', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'c7a.large', 'availability_zone': 'use1-az1', 'num_instances': 5, 'T3': 5.0}, {'instance_type': 'c7a.large', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'c7a.large', 'availability_zone': 'use1-az6', 'num_instances': 8, 'T3': 50.0}]"
