pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods
10,1,2,493792.31031941023,460502.11111111107,356127.68276595743,71795.79737609331,0.0,2.0,0.0,54.0
10,1,4,402341.09742489265,21139.015539693257,228729.97821428571,71795.79737609331,0.0,186.0,0.0,22.0
10,2,2,269759.5655246253,269759.5655246253,92895.32738095238,71795.79737609331,0.0,0.0,0.0,22.0
17,7,7,37866.06122171946,35897.89868804665,16326.7526756824,35897.89868804665,0.0,1.0,0.0,1.0
50,1,2,101763.01444902162,100834.98082260016,71225.5365574468,71795.79737609331,0.0,2.0,0.0,14.0
50,1,4,70131.8271935484,21139.015539693257,45745.99564642857,35897.898688046655,0.0,146.0,0.0,14.0
50,2,2,51903.13857142857,51903.13857142857,18579.065476190477,35897.898688046655,0.0,0.0,0.0,14.0
75,3,5,19552.53693865396,17948.949344023324,5247.636,17948.949344023324,0.0,9.0,0.0,9.0
100,1,2,51903.13857142857,51903.13857142857,35612.7682787234,35897.898688046655,0.0,0.0,0.0,28.0
100,1,4,38656.54388215551,21139.015539693257,22872.997823214286,17948.949344023327,0.0,96.0,0.0,28.0
100,2,2,25639.915309446253,25290.19183803603,9289.532738095239,17948.949344023327,0.0,2.0,0.0,28.0
115,4,2,11138.855040531407,11138.855040531407,3422.371304347826,8974.474672011664,0.0,0.0,0.0,13.0
287,1,6,12972.449021746315,12948.805323215494,6685.252154777188,5128.271241149521,1.0,5.0,0.0,7.0
400,1,2,12819.957654723126,12732.450081823754,8903.192069614362,10256.54248229904,0.0,4.0,0.0,48.0
400,1,4,9435.635301200286,9435.635301200286,5718.249455915178,5522.753644314868,20.0,20.0,0.0,16.0
400,2,2,6317.3788121990365,6296.749770530886,2322.3831845238096,5522.753644314868,0.0,2.0,0.0,16.0
439,1,9,7297.002574732301,7278.754159301753,2547.070206434365,3411.5651925490006,9.0,12.0,0.0,137.0
1000,1,2,4988.496550168826,4969.496126093316,3561.276827851064,4487.237336005832,0.0,4.0,0.0,24.0
1000,1,4,3838.1706855654784,3838.1706855654784,2287.299782366071,2243.618668002916,0.0,0.0,0.0,24.0
1000,2,2,2378.9386315407855,2338.670894284138,928.9532738095238,2243.618668002916,0.0,18.0,0.0,24.0
