pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods
10,1,2,496230.7908641975,320498.9413680781,359957.01268817205,71795.79737609331,0.0,6.0,0.0,54.0
10,1,4,495940.9979013642,78732.59553556556,197929.0467272727,71795.79737609331,0.0,54.0,0.0,22.0
10,2,2,213665.96091205213,213665.96091205213,123206.33218253969,71795.79737609331,2.0,2.0,0.0,22.0
17,7,7,37866.06122171946,19404.35074106006,24438.317498564087,35897.89868804665,0.0,19.0,0.0,1.0
50,1,2,101867.92477319586,91571.1261051652,71991.40254193549,71795.79737609331,0.0,6.0,0.0,14.0
50,1,4,97651.19235537191,78732.59553556556,39585.80934909091,35897.898688046655,0.0,14.0,0.0,14.0
50,2,2,49307.5294412428,49307.5294412428,24641.26643968254,35897.898688046655,2.0,2.0,0.0,14.0
75,3,5,19552.53693865396,19404.350741060065,5205.988095238095,17948.949344023324,0.0,10.0,0.0,9.0
100,1,2,50933.96238659793,49307.5294412428,35995.701270967744,35897.898688046655,0.0,4.0,0.0,28.0
100,1,4,49982.20928510998,18010.50876457587,19792.90467545454,17948.949344023327,0.0,176.0,0.0,28.0
100,2,2,25639.915309446253,25639.915309446253,12320.63321984127,17948.949344023327,0.0,0.0,0.0,28.0
115,4,2,11041.765795084728,11041.765795084728,3395.209627329192,8974.474672011664,1.0,1.0,0.0,13.0
287,1,6,17257.271719178265,17238.01046757604,6685.252154777188,5128.271241149521,0.0,1.0,0.0,7.0
400,1,2,12819.957654723126,12819.957654723126,8998.925317674732,10256.54248229904,0.0,0.0,0.0,48.0
400,1,4,12211.760612872387,11558.049765235255,4948.226168806817,5522.753644314868,0.0,22.0,0.0,16.0
400,2,2,6389.167207792208,6389.167207792208,3080.1583049851192,5522.753644314868,0.0,0.0,0.0,16.0
439,1,9,9600.008971789044,8825.66049820735,2590.9852099935783,3410.9981482712687,0.0,42.0,0.0,137.0
1000,1,2,5055.526011560693,4690.267498649987,3599.570127075269,4487.237336005832,0.0,76.0,0.0,24.0
1000,1,4,4697.205254728615,4520.672325895035,1979.2904675363638,2243.618668002916,0.0,38.0,0.0,24.0
1000,2,2,2453.482140966604,2424.1580637902957,1232.0633219960316,2243.618668002916,0.0,3.0,0.0,24.0
