pods,cpu,mem,tolerance_0.0001_efficiency,tolerance_0.0001_excess_pods,tolerance_0.1_efficiency,tolerance_0.1_excess_pods,tolerance_0.01_efficiency,tolerance_0.01_excess_pods,tolerance_0.001_efficiency,tolerance_0.001_excess_pods
10,1,2,493792.31031941023,0.0,493792.31031941023,0.0,493792.31031941023,0.0,493792.31031941023,0.0
10,1,4,312325.6362903226,0.0,312325.6362903226,0.0,312325.6362903226,0.0,312325.6362903226,0.0
10,2,2,213665.96091205213,2.0,213665.96091205213,2.0,213665.96091205213,2.0,213665.96091205213,2.0
17,7,7,37866.06122171946,0.0,37866.06122171946,0.0,37866.06122171946,0.0,37866.06122171946,0.0
50,1,2,101763.01444902162,0.0,101763.01444902162,0.0,101763.01444902162,0.0,101763.01444902162,0.0
50,1,4,63401.827530022725,0.0,63401.827530022725,0.0,63401.827530022725,0.0,63401.827530022725,0.0
50,2,2,49307.5294412428,2.0,49307.5294412428,2.0,49307.5294412428,2.0,49307.5294412428,2.0
75,3,5,18719.48741135089,0.0,18719.48741135089,0.0,18719.48741135089,0.0,18719.48741135089,0.0
100,1,2,50881.50722451081,0.0,50881.50722451081,0.0,50881.50722451081,0.0,50881.50722451081,0.0
100,1,4,37143.83234924159,0.0,37143.83234924159,0.0,37143.83234924159,0.0,37143.83234924159,0.0
100,2,2,25639.915309446253,0.0,25639.915309446253,0.0,25639.915309446253,0.0,25639.915309446253,0.0
115,4,2,11007.179214677257,1.0,11007.179214677257,1.0,11007.179214677257,1.0,11007.179214677257,1.0
287,1,6,13018.917495854063,1.0,13018.917495854063,1.0,13018.917495854063,1.0,13018.917495854063,1.0
400,1,2,12819.957654723126,0.0,12819.957654723126,0.0,12819.957654723126,0.0,12819.957654723126,0.0
400,1,4,9202.983308327082,0.0,9202.983308327082,0.0,9202.983308327082,0.0,9202.983308327082,0.0
400,2,2,6317.3788121990365,0.0,6317.3788121990365,0.0,6317.3788121990365,0.0,6317.3788121990365,0.0
439,1,9,7323.14109141791,9.0,7323.14109141791,9.0,7323.14109141791,9.0,7323.14109141791,9.0
1000,1,2,4991.410272669626,0.0,4991.410272669626,0.0,4991.410272669626,0.0,4991.410272669626,0.0
1000,1,4,3834.5574228122105,0.0,3834.5574228122105,0.0,3834.5574228122105,0.0,3834.5574228122105,0.0
1000,2,2,2314.4179738781845,0.0,2314.4179738781845,0.0,2314.4179738781845,0.0,2314.4179738781845,0.0
