pods,cpu,mem,tolerance_0.0001_efficiency,tolerance_0.0001_excess_pods,tolerance_0.1_efficiency,tolerance_0.1_excess_pods,tolerance_0.01_efficiency,tolerance_0.01_excess_pods,tolerance_0.001_efficiency,tolerance_0.001_excess_pods
10,1,2,556037.3776470588,0.0,556037.3776470588,0.0,556037.3776470588,0.0,556037.3776470588,0.0
10,1,4,556037.3776470588,0.0,556037.3776470588,0.0,556037.3776470588,0.0,556037.3776470588,0.0
10,2,2,275747.8243873979,0.0,265216.2465263158,0.0,275747.8243873979,0.0,275747.8243873979,0.0
17,7,7,37866.06122171946,0.0,37866.06122171946,0.0,37866.06122171946,0.0,37866.06122171946,0.0
50,1,2,107837.07414263074,0.0,105641.69148846962,0.0,107837.07414263074,0.0,107837.07414263074,0.0
50,1,4,92336.54497658447,0.0,92336.54497658447,0.0,92336.54497658447,0.0,92336.54497658447,0.0
50,2,2,53012.78155929579,0.0,51696.55891542289,0.0,52259.104460104565,0.0,53012.78155929579,0.0
75,3,5,23995.396472876757,0.0,23995.396472876757,0.0,23995.396472876757,0.0,23995.396472876757,0.0
100,1,2,53012.78155929579,0.0,51696.55891542289,0.0,53012.78155929579,0.0,53012.78155929579,0.0
100,1,4,43154.575824660984,0.0,38976.31976687347,0.0,43154.575824660984,0.0,43154.575824660984,0.0
100,2,2,27852.659025281395,0.0,27852.659025281395,0.0,27852.659025281395,0.0,27852.659025281395,0.0
115,4,2,11765.895722610905,0.0,11137.609362266978,0.0,11765.895722610905,0.0,11765.895722610905,0.0
287,1,6,18302.710936946154,0.0,18302.710936946154,0.0,18302.710936946154,0.0,18302.710936946154,0.0
400,1,2,13604.425802313686,0.0,13581.766778931991,0.0,13604.425802313686,0.0,13604.425802313686,0.0
400,1,4,12305.83877800702,0.0,12305.83877800702,0.0,12305.83877800702,0.0,12305.83877800702,0.0
400,2,2,6628.3350927306055,0.0,6628.3350927306055,0.0,6628.3350927306055,0.0,6628.3350927306055,0.0
439,1,9,9437.559269340152,1.0,9437.559269340152,1.0,9437.559269340152,1.0,9437.559269340152,1.0
1000,1,2,5256.155016627371,0.0,5246.9946104666915,0.0,5256.155016627371,0.0,5256.155016627371,0.0
1000,1,4,4369.448788211445,0.0,4328.923462217532,0.0,4369.448788211445,0.0,4369.448788211445,0.0
1000,2,2,2415.2161282312704,0.0,2415.2161282312704,0.0,2415.2161282312704,0.0,2415.2161282312704,0.0
