pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,spotkube_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods,spotkube_excess_pods
1,1,1,933651.8944954128,706244.7721518988,933651.8944954128,596624.1727272726,933651.8944954128,0.0,1.0,0.0,1.0,0.0
5,1,1,264592.8301886793,235414.9239334271,186730.3787155963,198874.72441077436,240463.94388152767,0.0,1.0,0.0,1.0,0.0
6,1,1,235414.9239334271,235414.9239334271,155608.64895514783,198874.72441077436,214314.99477166028,0.0,0.0,0.0,0.0,0.0
10,1,1,141248.95434599154,141248.95434599154,93365.18940366972,119324.83460606058,119440.66589237322,0.0,0.0,0.0,0.0,0.0
14,1,1,99512.49161287582,99512.49161287582,66689.42098857892,85232.0247371676,36791.24131900548,0.0,0.0,0.0,0.0,0.0
15,1,1,86702.93235236985,86702.93235236985,62243.4595922528,74578.02163825757,47461.601322823226,1.0,1.0,0.0,1.0,0.0
17,1,1,76815.05778644637,76815.05778644637,54920.69964445574,66291.57480359147,30842.21580246225,1.0,1.0,0.0,1.0,0.0
20,1,1,68951.60078269825,68951.60078269825,46682.59469036697,59662.41731818181,24579.083811558812,0.0,0.0,0.0,0.0,0.0
25,1,1,52751.34286285727,52751.34286285727,37346.07575045871,45894.16716872871,30149.053131935878,1.0,1.0,0.0,1.0,0.0
30,1,1,45607.632402361494,45607.632402361494,31121.7297961264,39774.94487542088,19675.23217884131,0.0,0.0,0.0,0.0,0.0
35,1,1,37907.374227783446,37907.374227783446,26675.768395431565,33145.78739711934,15106.425151753854,1.0,1.0,0.0,1.0,0.0
40,1,1,34072.2668524173,34072.2668524173,23341.297345183484,29831.208659090906,12110.586141226817,0.0,0.0,0.0,0.0,0.0
45,1,1,29582.89340986983,29582.89340986983,20747.819864084267,25940.181442974164,9586.17986111111,1.0,1.0,0.0,1.0,0.0
50,1,1,27194.15286921202,27194.15286921202,18673.037877064216,23864.966926060606,7914.61025549081,0.0,0.0,0.0,0.0,0.0
