pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,spotkube_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods,spotkube_excess_pods
1,1,1,1375244.0067567567,865012.9767441861,1375244.0067567567,760177.5173745173,1375244.0067567567,0.0,1.0,0.0,1.0,0.0
5,1,1,297621.6279279279,288337.6587711743,275048.8010810811,253392.50600600598,189383.1140997831,0.0,1.0,0.0,1.0,0.0
6,1,1,253392.50600600598,288337.6587711743,229207.33427177175,253392.50600600598,253500.62616144022,0.0,0.0,0.0,0.0,0.0
10,1,1,152035.50355212355,173002.59524547803,137524.40060810812,152035.50355212355,68318.37178571429,0.0,0.0,0.0,0.0,0.0
14,1,1,108596.78827515563,123573.28231292518,98231.71469939328,108596.78827515563,68637.0438002973,0.0,0.0,0.0,0.0,0.0
15,1,1,100626.88400475947,108126.62203246124,91682.93372372372,95022.18973214286,59962.64809981685,0.0,1.0,0.0,1.0,0.0
17,1,1,88863.58630100689,96112.55292372475,80896.70623304966,84464.16866866867,50599.05683933275,0.0,1.0,0.0,1.0,0.0
20,1,1,76017.7517953668,86501.29762273902,68762.20028716217,76017.7517953668,47407.48035353536,0.0,0.0,0.0,0.0,0.0
25,1,1,60550.36319410319,66539.45971132822,55009.76022702703,58475.19368988599,30212.61270569302,0.0,1.0,0.0,1.0,0.0
30,1,1,50678.50119262119,57667.53175423486,45841.46686186186,50678.50119262119,32566.64147639485,0.0,0.0,0.0,0.0,0.0
35,1,1,43303.88508648021,48056.27645787476,39292.685879757315,42232.08432837599,24630.625195482193,0.0,1.0,0.0,1.0,0.0
40,1,1,38008.8758976834,43250.64881459948,34381.10014358108,38008.8758976834,19506.414044481055,0.0,0.0,0.0,0.0,0.0
45,1,1,33704.029752537346,37609.259838904276,30560.977907907905,33051.196433133104,14036.807869355545,0.0,1.0,0.0,1.0,0.0
50,1,1,30407.100716602316,34600.51905116279,27504.880116216216,30407.100716602316,8699.621449218366,0.0,0.0,0.0,0.0,0.0
