pods,cpu,mem,tolerance_0.0001_efficiency,tolerance_0.0001_excess_pods,tolerance_0.1_efficiency,tolerance_0.1_excess_pods,tolerance_0.01_efficiency,tolerance_0.01_excess_pods,tolerance_0.001_efficiency,tolerance_0.001_excess_pods
10,1,2,553432.9871194379,0.0,553432.9871194379,0.0,553432.9871194379,0.0,553432.9871194379,0.0
10,1,4,553432.9871194379,0.0,553432.9871194379,0.0,553432.9871194379,0.0,553432.9871194379,0.0
10,2,2,274945.7655613729,0.0,263827.6797905759,0.0,274945.7655613729,0.0,274945.7655613729,0.0
17,7,7,43771.01084904171,0.0,37866.06122171946,0.0,43771.01084904171,0.0,43771.01084904171,0.0
50,1,2,105464.81130179993,0.0,105464.81130179993,0.0,105464.81130179993,0.0,105464.81130179993,0.0
50,1,4,106420.8788586313,0.0,106420.8788586313,0.0,106420.8788586313,0.0,106420.8788586313,0.0
50,2,2,56078.757831039395,0.0,56078.757831039395,0.0,56078.757831039395,0.0,56078.757831039395,0.0
75,3,5,24039.070185501812,0.0,19552.53693865396,0.0,24039.070185501812,0.0,24039.070185501812,0.0
100,1,2,56078.757831039395,0.0,56078.757831039395,0.0,56078.757831039395,0.0,56078.757831039395,0.0
100,1,4,56078.757831039395,0.0,56078.757831039395,0.0,56078.757831039395,0.0,56078.757831039395,0.0
100,2,2,27905.282576607427,0.0,25639.915309446253,0.0,27905.282576607427,0.0,27905.282576607427,0.0
115,4,2,11991.985942123987,0.0,11990.978258828614,0.0,11991.985942123987,0.0,11991.985942123987,0.0
287,1,6,19416.308068359212,1.0,19416.308068359212,1.0,19416.308068359212,1.0,19416.308068359212,1.0
400,1,2,13860.169237536657,0.0,13817.403465104258,0.0,13860.169237536657,0.0,13860.169237536657,0.0
400,1,4,13860.169237536657,0.0,13860.169237536657,0.0,13860.169237536657,0.0,13860.169237536657,0.0
400,2,2,6789.543608693473,0.0,6771.153408174321,0.0,6789.543608693473,0.0,6789.543608693473,0.0
439,1,9,11054.162480119749,0.0,11054.162480119749,0.0,11054.162480119749,0.0,11054.162480119749,0.0
1000,1,2,5397.126954039328,0.0,5323.224766107138,0.0,5397.126954039328,0.0,5397.126954039328,0.0
1000,1,4,5019.2486481920005,0.0,5019.2486481920005,0.0,5019.2486481920005,0.0,5019.2486481920005,0.0
1000,2,2,2594.2381316785286,0.0,2594.2381316785286,0.0,2594.2381316785286,0.0,2594.2381316785286,0.0
