pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,spotkube_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods,spotkube_excess_pods
1,1,1,1076910.650793651,320958.7936241611,1076910.650793651,564143.2005730659,1076910.650793651,0.0,3.0,0.0,1.0,0.0
5,1,1,223467.87395715897,160479.39687200382,215382.12994708994,188047.73368354028,228669.3341155235,0.0,3.0,0.0,1.0,0.0
6,1,1,188047.73368354028,160479.39687200382,179485.1083186361,188047.73368354028,125097.16806801196,0.0,2.0,0.0,0.0,0.0
10,1,1,112828.64017191977,106986.2645680196,107691.06502645502,112828.64017191977,118477.4347158218,0.0,2.0,0.0,0.0,0.0
14,1,1,80591.88585462839,80239.69842102108,76922.18928841378,80591.88585462839,32412.242222304725,0.0,2.0,0.0,0.0,0.0
15,1,1,74973.14571935157,80239.69842102108,71794.04333921224,70517.90011640401,47189.32755260787,0.0,1.0,0.0,1.0,0.0
17,1,1,66178.1823509679,64191.75873441994,63347.685304187034,62682.57789451343,25524.38377218286,0.0,3.0,0.0,1.0,0.0
20,1,1,56414.32010028653,64191.75873441994,53845.5325,56414.32010028653,46020.85844155844,0.0,0.0,0.0,0.0,0.0
25,1,1,45042.71934201509,45851.25624180641,43076.4259978836,43395.63084722199,17056.030109499854,0.0,3.0,0.0,1.0,0.0
30,1,1,37609.54673034066,40119.84921051054,35897.02166960612,37609.54673034066,20043.727741707,0.0,2.0,0.0,0.0,0.0
35,1,1,32191.43760675783,35662.08818638069,30768.875715365513,31341.288942834908,19533.14612724249,0.0,1.0,0.0,1.0,0.0
40,1,1,28207.160050143266,32095.879369606904,26922.76625,28207.160050143266,12026.082101343987,0.0,0.0,0.0,0.0,0.0
45,1,1,25045.602889708065,26746.56614034036,23931.347779737407,24527.965261264973,12033.707295888298,0.0,3.0,0.0,1.0,0.0
50,1,1,22565.728038968482,24689.137976762526,21538.2130010582,22565.728038968482,8426.39458293735,0.0,2.0,0.0,0.0,0.0
