pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,spotkube_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods,spotkube_excess_pods
1,1,1,1485665.0583941606,1062730.2285714287,1485665.0583941606,951139.9855072463,1485665.0583941606,0.0,1.0,0.0,1.0,0.0
5,1,1,359738.6646098003,354243.40934744274,297133.01138686127,317046.66210413305,213200.52649572652,0.0,1.0,0.0,1.0,0.0
6,1,1,354243.40934744274,354243.40934744274,247610.84286293594,317046.66210413305,236736.67894413753,0.0,0.0,0.0,0.0,0.0
10,1,1,212546.04558730157,212546.04558730157,148566.50576642336,190227.99719806763,178849.41449275363,0.0,0.0,0.0,0.0,0.0
14,1,1,151818.60398445092,151818.60398445092,106118.9326679577,135877.14088533964,92204.19605499103,0.0,0.0,0.0,0.0,0.0
15,1,1,132841.2784970238,132841.2784970238,99044.33716139497,118892.49826388889,74460.36917312662,1.0,1.0,0.0,1.0,0.0
17,1,1,118081.13644914755,118081.13644914755,87392.06220796605,105682.22070137772,55322.07585240362,1.0,1.0,0.0,1.0,0.0
20,1,1,106273.02279365079,106273.02279365079,74283.2528649635,95113.99862318841,61158.314735969034,0.0,0.0,0.0,0.0,0.0
25,1,1,81748.47907391754,81748.47907391754,59426.602289051094,73164.6143269588,30646.268228694713,1.0,1.0,0.0,1.0,0.0
30,1,1,70848.68186948854,70848.68186948854,49522.168580697486,63409.33241009126,32128.608655749504,0.0,0.0,0.0,0.0,0.0
35,1,1,59040.56821967471,59040.56821967471,42447.57306718308,52841.11034323373,20461.283989919088,1.0,1.0,0.0,1.0,0.0
40,1,1,53136.51140079365,53136.51140079365,37141.62643248175,47556.999311594205,19688.550748155234,0.0,0.0,0.0,0.0,0.0
45,1,1,46205.662087796685,46205.662087796685,33014.77905379832,41353.91244532113,15360.85029348162,1.0,1.0,0.0,1.0,0.0
50,1,1,42509.20912,42509.20912,29713.301147445254,38045.599447343,15730.55007433707,0.0,0.0,0.0,0.0,0.0
