instance_type,availability_zone,num_instances,T3,pods,cpu,mem,actual_pods,excess_pods,cost,performance,total_cost_per_pod,nodes_used,efficiency
t3.small,us-west-2d,10,50.0,10,1,2,10.0,0.0,0.071,203536.1129,0.0071,10,286670.5815
m6g.medium,us-west-2d,10,1.0,10,1,4,10.0,0.0,0.127,197708.9612,0.0127,10,155676.3474
c7g.16xlarge,us-west-2a,1,50.0,10,2,2,32.0,22.0,0.7499,811419.39,0.0234,1,33813.6497
c7g.16xlarge,us-west-2a,2,50.0,17,7,7,18.0,1.0,1.4998,456423.4069,0.0833,2,16906.8249
t3.small,us-west-2d,50,50.0,50,1,2,50.0,0.0,0.355,1017680.5643,0.0071,50,57334.1163
m6g.medium,us-west-2d,50,1.0,50,1,4,50.0,0.0,0.635,988544.8062,0.0127,50,31135.2695
c7g.16xlarge,us-west-2a,2,50.0,50,2,2,64.0,14.0,1.4998,1622838.78,0.0234,2,16906.8249
c7g.16xlarge,us-west-2a,4,50.0,75,3,5,84.0,9.0,2.9996,2129975.8988,0.0357,4,8453.4124
t3.small,us-west-2d,100,50.0,100,1,2,100.0,0.0,0.71,2035361.1286,0.0071,100,28667.0581
m6g.medium,us-west-2d,100,1.0,100,1,4,100.0,0.0,1.27,1977089.6125,0.0127,100,15567.6347
c7g.16xlarge,us-west-2a,4,50.0,100,2,2,128.0,28.0,2.9996,3245677.56,0.0234,4,8453.4124
c7g.16xlarge,us-west-2a,8,50.0,115,4,2,128.0,13.0,5.9992,3245677.56,0.0469,8,4226.7062
r7g.16xlarge,us-west-2a,5,50.0,287,1,6,320.0,33.0,5.2715,8165848.32,0.0165,5,4840.7998
t3.small,us-west-2d,400,50.0,400,1,2,400.0,0.0,2.84,8141444.5143,0.0071,400,7166.7645
m6g.medium,us-west-2d,400,1.0,400,1,4,400.0,0.0,5.08,7908358.45,0.0127,400,3891.9087
c7g.16xlarge,us-west-2a,13,50.0,400,2,2,416.0,16.0,9.7487,10548452.07,0.0234,13,2601.05
r7g.16xlarge,us-west-2a,8,50.0,439,1,9,448.0,9.0,8.4344,11432187.648,0.0188,8,3025.4999
t3.small,us-west-2d,1000,50.0,1000,1,2,1000.0,0.0,7.1,20353611.2857,0.0071,1000,2866.7058
m6g.medium,us-west-2d,1000,1.0,1000,1,4,1000.0,0.0,12.7,19770896.125,0.0127,1000,1556.7635
c7g.16xlarge,us-west-2a,32,50.0,1000,2,2,1024.0,24.0,23.9968,25965420.48,0.0234,32,1056.6766
