pods,cpu,mem,alpha,cost,performance,perf_per_cost,actual_pods,excess_pods,iterations,explored_alphas,explored_podcount,nodepool_config,workload_intensity
1,1,1,0.2361,0.0205,20353.6113,992859.0871,1.0,0.0,10,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.1458980337503154), np.float64(0.09016994374947422), np.float64(0.05572809000084119), np.float64(0.03444185374863301), np.float64(0.021286236252208175), np.float64(0.013155617496424831), np.float64(0.008130618755783343), np.float64(0.005024998740641487), np.float64(0.003105620015141856)]","[2.0, 574.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[{'instance_type': 't3.medium', 'availability_zone': 'eu-west-1b', 'num_instances': 1, 'T3': 50.0}]",default
5,1,1,0.2361,0.0847,99108.0021,1170106.2827,5.0,0.0,10,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.1458980337503154), np.float64(0.09016994374947422), np.float64(0.05572809000084119), np.float64(0.03444185374863301), np.float64(0.021286236252208175), np.float64(0.013155617496424831), np.float64(0.008130618755783343), np.float64(0.005024998740641487), np.float64(0.003105620015141856)]","[6.0, 574.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[{'instance_type': 't3.medium', 'availability_zone': 'eu-west-1b', 'num_instances': 1, 'T3': 50.0}, {'instance_type': 't4g.large', 'availability_zone': 'eu-west-1b', 'num_instances': 2, 'T3': 35.0}]",default
6,1,1,0.382,0.1458,200856.0131,1377613.2585,6.0,0.0,10,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.47213595499957944), np.float64(0.32623792124926393), np.float64(0.4164078649987382), np.float64(0.36067977499789694), np.float64(0.39512162874653), np.float64(0.3738353924943218), np.float64(0.3688103937536803), np.float64(0.3769410125094636), np.float64(0.37191601376882216)]","[6.0, 574.0, 6.0, 324.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0]","[{'instance_type': 'c7a.large', 'availability_zone': 'eu-west-1c', 'num_instances': 3, 'T3': 5.0}]",default
10,1,1,0.382,0.243,334760.0218,1377613.2585,10.0,0.0,10,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.47213595499957944), np.float64(0.32623792124926393), np.float64(0.4164078649987382), np.float64(0.36067977499789694), np.float64(0.39512162874653), np.float64(0.3738353924943218), np.float64(0.3688103937536803), np.float64(0.3769410125094636), np.float64(0.37191601376882216)]","[10.0, 574.0, 10.0, 324.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]","[{'instance_type': 'c7a.large', 'availability_zone': 'eu-west-1c', 'num_instances': 5, 'T3': 5.0}]",default
14,1,1,0.382,0.3404,468664.0305,1376803.85,14.0,0.0,10,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.47213595499957944), np.float64(0.32623792124926393), np.float64(0.4164078649987382), np.float64(0.36067977499789694), np.float64(0.39512162874653), np.float64(0.3738353924943218), np.float64(0.38699100999074665), np.float64(0.3788603912349633), np.float64(0.37694101250946366)]","[14.0, 574.0, 14.0, 324.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0]","[{'instance_type': 'c7a.large', 'availability_zone': 'eu-west-1b', 'num_instances': 2, 'T3': 25.0}, {'instance_type': 'c7a.large', 'availability_zone': 'eu-west-1c', 'num_instances': 5, 'T3': 5.0}]",default
15,1,1,0.3738,0.3277,433868.024,1323979.3224,15.0,0.0,10,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.47213595499957944), np.float64(0.32623792124926393), np.float64(0.4164078649987382), np.float64(0.36067977499789694), np.float64(0.39512162874653), np.float64(0.3738353924943218), np.float64(0.3688103937536803), np.float64(0.3769410125094636), np.float64(0.37191601376882216)]","[16.0, 574.0, 15.0, 324.0, 15.0, 16.0, 15.0, 16.0, 15.0, 15.0, 16.0, 15.0]","[{'instance_type': 'c7a.large', 'availability_zone': 'eu-west-1c', 'num_instances': 5, 'T3': 5.0}, {'instance_type': 't3.medium', 'availability_zone': 'eu-west-1b', 'num_instances': 1, 'T3': 50.0}, {'instance_type': 't4g.large', 'availability_zone': 'eu-west-1b', 'num_instances': 2, 'T3': 35.0}]",default
17,1,1,0.3738,0.3598,473245.2194,1315300.7765,17.0,0.0,10,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.47213595499957944), np.float64(0.32623792124926393), np.float64(0.4164078649987382), np.float64(0.36067977499789694), np.float64(0.39512162874653), np.float64(0.3738353924943218), np.float64(0.3688103937536803), np.float64(0.3769410125094636), np.float64(0.37191601376882216)]","[18.0, 574.0, 17.0, 324.0, 17.0, 18.0, 17.0, 18.0, 17.0, 17.0, 18.0, 17.0]","[{'instance_type': 'c7a.large', 'availability_zone': 'eu-west-1c', 'num_instances': 5, 'T3': 5.0}, {'instance_type': 't3.medium', 'availability_zone': 'eu-west-1b', 'num_instances': 1, 'T3': 50.0}, {'instance_type': 't4g.large', 'availability_zone': 'eu-west-1b', 'num_instances': 3, 'T3': 35.0}]",default
20,1,1,0.382,0.4865,669520.0436,1376197.4175,20.0,0.0,10,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.47213595499957944), np.float64(0.32623792124926393), np.float64(0.4164078649987382), np.float64(0.36067977499789694), np.float64(0.39512162874653), np.float64(0.3738353924943218), np.float64(0.38699100999074665), np.float64(0.3788603912349633), np.float64(0.37694101250946366)]","[20.0, 574.0, 20.0, 324.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]","[{'instance_type': 'c7a.large', 'availability_zone': 'eu-west-1b', 'num_instances': 5, 'T3': 25.0}, {'instance_type': 'c7a.large', 'availability_zone': 'eu-west-1c', 'num_instances': 5, 'T3': 5.0}]",default
25,1,1,0.382,0.6326,870376.0567,1375871.0982,26.0,1.0,10,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.47213595499957944), np.float64(0.32623792124926393), np.float64(0.4164078649987382), np.float64(0.36067977499789694), np.float64(0.39512162874653), np.float64(0.3738353924943218), np.float64(0.38699100999074665), np.float64(0.3788603912349633), np.float64(0.37694101250946366)]","[26.0, 574.0, 25.0, 324.0, 25.0, 26.0, 25.0, 26.0, 25.0, 26.0, 26.0, 26.0]","[{'instance_type': 'c7a.large', 'availability_zone': 'eu-west-1b', 'num_instances': 8, 'T3': 25.0}, {'instance_type': 'c7a.large', 'availability_zone': 'eu-west-1c', 'num_instances': 5, 'T3': 5.0}]",default
30,1,1,0.382,0.73,1004280.0655,1375726.1171,30.0,0.0,10,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.47213595499957944), np.float64(0.32623792124926393), np.float64(0.4164078649987382), np.float64(0.36067977499789694), np.float64(0.39512162874653), np.float64(0.3738353924943218), np.float64(0.38699100999074665), np.float64(0.3788603912349633), np.float64(0.37694101250946366)]","[30.0, 574.0, 30.0, 324.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0]","[{'instance_type': 'c7a.large', 'availability_zone': 'eu-west-1b', 'num_instances': 10, 'T3': 25.0}, {'instance_type': 'c7a.large', 'availability_zone': 'eu-west-1c', 'num_instances': 5, 'T3': 5.0}]",default
35,1,1,0.382,0.8761,1205136.0785,1375569.0886,36.0,1.0,10,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.47213595499957944), np.float64(0.32623792124926393), np.float64(0.4164078649987382), np.float64(0.36067977499789694), np.float64(0.39512162874653), np.float64(0.3738353924943218), np.float64(0.38699100999074665), np.float64(0.3788603912349633), np.float64(0.37694101250946366)]","[36.0, 574.0, 35.0, 324.0, 35.0, 36.0, 35.0, 36.0, 35.0, 36.0, 36.0, 36.0]","[{'instance_type': 'c7a.large', 'availability_zone': 'eu-west-1b', 'num_instances': 13, 'T3': 25.0}, {'instance_type': 'c7a.large', 'availability_zone': 'eu-west-1c', 'num_instances': 5, 'T3': 5.0}]",default
40,1,1,0.382,0.9735,1339040.0873,1375490.5879,40.0,0.0,10,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.47213595499957944), np.float64(0.32623792124926393), np.float64(0.4164078649987382), np.float64(0.36067977499789694), np.float64(0.39512162874653), np.float64(0.3738353924943218), np.float64(0.38699100999074665), np.float64(0.3788603912349633), np.float64(0.37694101250946366)]","[40.0, 574.0, 40.0, 324.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0]","[{'instance_type': 'c7a.large', 'availability_zone': 'eu-west-1b', 'num_instances': 15, 'T3': 25.0}, {'instance_type': 'c7a.large', 'availability_zone': 'eu-west-1c', 'num_instances': 5, 'T3': 5.0}]",default
45,1,1,0.382,1.1196,1539896.1004,1375398.4462,46.0,1.0,10,"[np.float64(0.3819660112501051), np.float64(0.6180339887498949), np.float64(0.2360679774997897), np.float64(0.47213595499957944), np.float64(0.32623792124926393), np.float64(0.4164078649987382), np.float64(0.36067977499789694), np.float64(0.39512162874653), np.float64(0.3738353924943218), np.float64(0.38699100999074665), np.float64(0.3788603912349633), np.float64(0.37694101250946366)]","[46.0, 574.0, 45.0, 324.0, 45.0, 46.0, 45.0, 46.0, 45.0, 46.0, 46.0, 46.0]","[{'instance_type': 'c7a.large', 'availability_zone': 'eu-west-1b', 'num_instances': 18, 'T3': 25.0}, {'instance_type': 'c7a.large', 'availability_zone': 'eu-west-1c', 'num_instances': 5, 'T3': 5.0}]",default
