pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,spotkube_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods,spotkube_excess_pods
1,1,1,988039.3834951456,721465.5646551725,988039.3834951456,609554.108359133,988039.3834951456,0.0,1.0,0.0,1.0,0.0
5,1,1,272059.29453262786,240488.52143199235,197607.87650485436,203184.70295837632,262119.99999999997,0.0,1.0,0.0,1.0,0.0
6,1,1,240488.52143199235,240488.52143199235,164673.2304476807,203184.70295837632,150996.85239061798,0.0,0.0,0.0,0.0,0.0
10,1,1,144293.11284482756,144293.11284482756,98803.93830097087,121910.82173374612,93376.79375263826,0.0,0.0,0.0,0.0,0.0
14,1,1,103066.50917047853,103066.50917047853,70574.24162869033,87079.15840020218,53977.71278029928,0.0,0.0,0.0,0.0,0.0
15,1,1,94386.72877822813,90183.1955313847,65869.29218985977,76194.26359326624,64577.85653755228,0.0,1.0,0.0,1.0,0.0
17,1,1,83471.40590937753,80162.84047733077,58119.963701414315,67728.23431945877,32034.295536826252,0.0,1.0,0.0,1.0,0.0
20,1,1,72146.55642241378,72146.55642241378,49401.969138349516,60955.41088235294,23095.596617247862,0.0,0.0,0.0,0.0,0.0
25,1,1,55981.64936635105,54708.2892315235,39521.57530873786,46888.777602725924,14596.478020455295,0.0,1.0,0.0,1.0,0.0
30,1,1,47116.11848463523,47116.11848463523,32934.646094929885,40636.940584795324,20517.64427370633,0.0,0.0,0.0,0.0,0.0
35,1,1,38998.13860735736,38998.13860735736,28229.696651476126,33864.117154951644,11699.842946099103,1.0,1.0,0.0,1.0,0.0
40,1,1,34980.14857105538,34980.14857105538,24700.984569174758,30477.70544117647,14649.616826315278,0.0,0.0,0.0,0.0,0.0
45,1,1,30297.766478965244,30297.766478965244,21956.430729953252,26502.352557837385,11017.717714733166,1.0,1.0,0.0,1.0,0.0
50,1,1,27815.539827170753,27815.539827170753,19760.78765631068,24382.164351702784,10498.515431560592,0.0,0.0,0.0,0.0,0.0
