instance_type,availability_zone,num_instances,T3,pods,cpu,mem,actual_pods,excess_pods,cost,performance,total_cost_per_pod,nodes_used,efficiency
c7a.medium,us-east-1f,10,50.0,10,1,2,10.0,0.0,0.093,334760.0218,0.0093,10,359957.0127
t2.medium,us-east-1c,10,50.0,10,1,4,10.0,0.0,0.112,217721.9514,0.0112,10,194394.5995
c5a.large,us-east-1f,10,45.0,10,2,2,10.0,0.0,0.254,234096.225,0.0254,10,92163.8681
c6g.2xlarge,us-east-1f,17,10.0,17,7,7,17.0,0.0,1.2087,334536.795,0.0711,17,16280.8265
c7a.medium,us-east-1f,50,50.0,50,1,2,50.0,0.0,0.465,1673800.1091,0.0093,50,71991.4025
t2.medium,us-east-1c,50,50.0,50,1,4,50.0,0.0,0.56,1088609.7571,0.0112,50,38878.9199
c5a.large,us-east-1f,50,45.0,50,2,2,50.0,0.0,1.27,1170481.125,0.0254,50,18432.7736
c6g.xlarge,us-east-1c,75,50.0,75,3,5,75.0,0.0,3.705,1475897.625,0.0494,75,5311.3725
c7a.medium,us-east-1f,100,50.0,100,1,2,100.0,0.0,0.93,3347600.2182,0.0093,100,35995.7013
t2.medium,us-east-1c,100,50.0,100,1,4,100.0,0.0,1.12,2177219.5143,0.0112,100,19439.4599
c5a.large,us-east-1f,100,45.0,100,2,2,100.0,0.0,2.54,2340962.25,0.0254,100,9216.3868
c6g.xlarge,us-east-1c,115,50.0,115,4,2,115.0,0.0,5.681,2263043.025,0.0494,115,3463.9386
r7g.medium,us-east-1d,287,50.0,287,1,6,287.0,0.0,3.7884,7323745.212,0.0132,287,6735.898
c7a.medium,us-east-1f,400,50.0,400,1,2,400.0,0.0,3.72,13390400.8727,0.0093,400,8998.9253
t2.medium,us-east-1c,400,50.0,400,1,4,400.0,0.0,4.48,8708878.0571,0.0112,400,4859.865
c5a.large,us-east-1f,400,45.0,400,2,2,400.0,0.0,10.16,9363849.0,0.0254,400,2304.0967
x2gd.medium,us-east-1f,439,50.0,439,1,9,439.0,0.0,7.6825,8688468.3354,0.0175,439,2576.1796
c7a.medium,us-east-1f,1000,50.0,1000,1,2,1000.0,0.0,9.3,33476002.1818,0.0093,1000,3599.5701
t2.medium,us-east-1c,1000,50.0,1000,1,4,1000.0,0.0,11.2,21772195.1429,0.0112,1000,1943.946
c5a.large,us-east-1f,1000,45.0,1000,2,2,1000.0,0.0,25.4,23409622.5,0.0254,1000,921.6387
