pods,cpu,mem,alpha,cost,performance,perf_per_cost,actual_pods,excess_pods
10.0,1.0,2.0,0.0,0.040900000000000006,200973,491377,10,0
10.0,1.0,4.0,0.18,0.1012,309827,306153,10,0
10.0,2.0,2.0,0.0,0.0921,236143,213665,12,2
17.0,7.0,7.0,0.0,0.52,334735,37866,17,0
50.0,1.0,2.0,0.0,0.19440000000000002,988118,101658,50,0
50.0,1.0,4.0,0.0,0.3124,976705,62529,50,0
50.0,2.0,2.0,0.0,0.3991,1023289,49307,52,2
75.0,3.0,5.0,0.0,1.045,1477291,18849,75,0
100.0,1.0,2.0,0.0,0.38880000000000003,1976237,50829,100,0
100.0,1.0,4.0,0.17,0.5529,2007995,36317,100,0
100.0,2.0,2.0,0.0,0.7675000000000001,1967863,25639,100,0
115.0,4.0,2.0,0.0,1.7926000000000002,2282721,10977,116,1
287.0,1.0,6.0,0.0,1.5426,5652293,12722,288,1
400.0,1.0,2.0,0.0,1.5350000000000001,7871453,12819,400,0
400.0,1.0,4.0,0.19,2.6744,10343324,9296,416,16
400.0,2.0,2.0,0.0,3.145,7871453,6257,400,0
439.0,1.0,9.0,0.0,2.7424,8792456,7156,448,9
1000.0,1.0,2.0,0.0,3.9875,19678634,4935,1000,0
1000.0,1.0,4.0,0.19,5.837,21895706,3751,1000,0
1000.0,2.0,2.0,0.0,8.4982,19686425,2316,1000,0
