pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,spotkube_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods,spotkube_excess_pods
1,1,1,1413445.2291666667,887957.6180371355,1413445.2291666667,763123.9418604651,1022794.5376884422,0.0,1.0,0.0,1.0,0.0
5,1,1,343558.1737193764,295985.87253168283,282689.04555555555,254374.64750215333,328907.5053304904,0.0,1.0,0.0,1.0,0.0
6,1,1,295985.87253168283,295985.87253168283,235574.2046682099,254374.64750215333,289835.51673881675,0.0,0.0,0.0,0.0,0.0
10,1,1,177591.52350132624,177591.52350132624,141344.52284722222,152624.7884496124,68144.53368956743,0.0,0.0,0.0,0.0,0.0
14,1,1,126851.08820981972,126851.08820981972,100960.37344104309,109017.70605916786,85428.47491451028,0.0,0.0,0.0,0.0,0.0
15,1,1,117144.00330578511,110994.70219247347,94229.68188271606,95390.49279312015,65835.41893991319,0.0,1.0,0.0,1.0,0.0
17,1,1,103493.97732688011,98661.95751056094,83143.83696174547,84791.54916738445,38181.721969069324,0.0,1.0,0.0,1.0,0.0
20,1,1,88795.76175066312,88795.76175066312,70672.26140625,76312.39424418604,41574.76674118231,0.0,0.0,0.0,0.0,0.0
25,1,1,70589.34563838903,68304.43211746425,56537.80912222222,58701.8417274437,41637.64970978441,0.0,1.0,0.0,1.0,0.0
30,1,1,59197.174506336574,59197.174506336574,47114.84094135803,50874.9294918174,22070.87666611725,0.0,0.0,0.0,0.0,0.0
35,1,1,50512.859344683995,49330.97875118709,40384.149376417234,42395.774577710785,19060.40326731242,0.0,1.0,0.0,1.0,0.0
40,1,1,44397.880878647215,44397.880878647215,35336.130703125,38156.19712209302,21566.639205326996,0.0,0.0,0.0,0.0,0.0
45,1,1,39327.321042374446,38606.85293807946,31409.89396090535,33179.30184566463,20969.956369422885,0.0,1.0,0.0,1.0,0.0
50,1,1,35518.30470238727,35518.30470238727,28268.90456388889,30524.95769612403,11788.538354242814,0.0,0.0,0.0,0.0,0.0
