pods,cpu,mem,tolerance_0.0001_efficiency,tolerance_0.0001_excess_pods,tolerance_0.1_efficiency,tolerance_0.1_excess_pods,tolerance_0.01_efficiency,tolerance_0.01_excess_pods,tolerance_0.001_efficiency,tolerance_0.001_excess_pods
10,1,2,496230.7908641975,0.0,496230.7908641975,0.0,496230.7908641975,0.0,496230.7908641975,0.0
10,1,4,495940.9979013642,0.0,495940.9979013642,0.0,495940.9979013642,0.0,495940.9979013642,0.0
10,2,2,213665.96091205213,2.0,213665.96091205213,2.0,213665.96091205213,2.0,213665.96091205213,2.0
17,7,7,40527.50456527333,0.0,40527.50456527333,0.0,40527.50456527333,0.0,40527.50456527333,0.0
50,1,2,101867.92477319586,0.0,101867.92477319586,0.0,101867.92477319586,0.0,101867.92477319586,0.0
50,1,4,97651.19235537191,0.0,97651.19235537191,0.0,97651.19235537191,0.0,97651.19235537191,0.0
50,2,2,49307.5294412428,2.0,49307.5294412428,2.0,49307.5294412428,2.0,49307.5294412428,2.0
75,3,5,19552.53693865396,0.0,19552.53693865396,0.0,19552.53693865396,0.0,19552.53693865396,0.0
100,1,2,50933.96238659793,0.0,50933.96238659793,0.0,50933.96238659793,0.0,50933.96238659793,0.0
100,1,4,49982.20928510998,0.0,49982.20928510998,0.0,49982.20928510998,0.0,49982.20928510998,0.0
100,2,2,25639.915309446253,0.0,25639.915309446253,0.0,25639.915309446253,0.0,25639.915309446253,0.0
115,4,2,11041.765795084728,1.0,11041.765795084728,1.0,11041.765795084728,1.0,11041.765795084728,1.0
287,1,6,17257.271719178265,0.0,17257.271719178265,0.0,17257.271719178265,0.0,17257.271719178265,0.0
400,1,2,12819.957654723126,0.0,12819.957654723126,0.0,12819.957654723126,0.0,12819.957654723126,0.0
400,1,4,12211.760612872387,0.0,12211.760612872387,0.0,12211.760612872387,0.0,12211.760612872387,0.0
400,2,2,6389.167207792208,0.0,6389.167207792208,0.0,6389.167207792208,0.0,6389.167207792208,0.0
439,1,9,9600.008971789044,0.0,9600.008971789044,0.0,9600.008971789044,0.0,9600.008971789044,0.0
1000,1,2,5067.706749409531,0.0,5055.526011560693,0.0,5067.706749409531,0.0,5067.706749409531,0.0
1000,1,4,4697.288467272258,0.0,4697.205254728615,0.0,4697.288467272258,0.0,4697.288467272258,0.0
1000,2,2,2453.482140966604,0.0,2453.482140966604,0.0,2453.482140966604,0.0,2453.482140966604,0.0
