pods,cpu,mem,tolerance_0.0001_efficiency,tolerance_0.0001_excess_pods,tolerance_0.1_efficiency,tolerance_0.1_excess_pods,tolerance_0.01_efficiency,tolerance_0.01_excess_pods,tolerance_0.001_efficiency,tolerance_0.001_excess_pods
10,1,2,742065.4434108527,0.0,742065.4434108527,0.0,742065.4434108527,0.0,742065.4434108527,0.0
10,1,4,742065.4434108527,0.0,742065.4434108527,0.0,742065.4434108527,0.0,742065.4434108527,0.0
10,2,2,371032.72170542635,0.0,371032.72170542635,0.0,371032.72170542635,0.0,371032.72170542635,0.0
17,7,7,56636.162702638736,1.0,56636.162702638736,1.0,56636.162702638736,1.0,56636.162702638736,1.0
50,1,2,148413.08868217055,0.0,148413.08868217055,0.0,148413.08868217055,0.0,148413.08868217055,0.0
50,1,4,148413.08868217055,0.0,148413.08868217055,0.0,148413.08868217055,0.0,148413.08868217055,0.0
50,2,2,74206.54434108527,0.0,74206.54434108527,0.0,74206.54434108527,0.0,74206.54434108527,0.0
75,3,5,32484.87925885706,0.0,32484.87925885706,0.0,32484.87925885706,0.0,32484.87925885706,0.0
100,1,2,74206.54434108527,0.0,74206.54434108527,0.0,74206.54434108527,0.0,74206.54434108527,0.0
100,1,4,74206.54434108527,0.0,74206.54434108527,0.0,74206.54434108527,0.0,74206.54434108527,0.0
100,2,2,37094.645508796406,0.0,37094.645508796406,0.0,37094.645508796406,0.0,37094.645508796406,0.0
115,4,2,16092.805157689461,0.0,16092.805157689461,0.0,16092.805157689461,0.0,16092.805157689461,0.0
287,1,6,16468.78199084747,11.0,16468.78199084747,11.0,16468.78199084747,11.0,16468.78199084747,11.0
400,1,2,18543.01142879281,0.0,18543.01142879281,0.0,18543.01142879281,0.0,18543.01142879281,0.0
400,1,4,18543.01142879281,0.0,18543.01142879281,0.0,18543.01142879281,0.0,18543.01142879281,0.0
400,2,2,9203.22670025189,0.0,9203.22670025189,0.0,9203.22670025189,0.0,9203.22670025189,0.0
439,1,9,8829.878021004675,0.0,8717.506050158318,6.0,8829.878021004675,0.0,8829.878021004675,0.0
1000,1,2,7332.662484296964,0.0,7332.662484296964,0.0,7332.662484296964,0.0,7332.662484296964,0.0
1000,1,4,7332.662484296964,0.0,7332.662484296964,0.0,7332.662484296964,0.0,7332.662484296964,0.0
1000,2,2,3546.3694837141757,0.0,3546.3694837141757,0.0,3546.3694837141757,0.0,3546.3694837141757,0.0
