InstanceType,CoreMark
m7g.2xlarge,24280.9407438
m7g.4xlarge,24297.092525599997
m7g.8xlarge,24288.616282
m7g.large,24307.2543432
m7g.medium,24331.5118844
m7g.metal,24350.5834232
m7g.xlarge,24294.260086
m7gd.12xlarge,24278.5899102
m7gd.16xlarge,24291.7769906
m7gd.2xlarge,24285.6658698
m7gd.4xlarge,24295.913933
m7gd.8xlarge,24279.1627852
m7gd.large,24311.2823744
m7gd.medium,24323.827836
m7gd.metal,24357.3511372
m7gd.xlarge,24306.6615738
m7i-flex.2xlarge,34847.849836199995
m7i-flex.4xlarge,34834.042632599994
m7i-flex.8xlarge,34807.886400999996
m7i-flex.large,34817.0428886
m7i-flex.xlarge,34818.577664000004
m7i.12xlarge,34290.7909594
m7i.16xlarge,34337.3600746
m7i.24xlarge,34341.39411760001
m7i.2xlarge,34502.0987822
m7i.48xlarge,34387.444791999995
m7i.4xlarge,34393.8374396
m7i.8xlarge,34267.728393599995
m7i.large,34922.852472399994
m7i.xlarge,31511.116901
m8g.12xlarge,28982.484259
m8g.16xlarge,28987.860716200004
m8g.24xlarge,28983.4933556
m8g.2xlarge,28981.1396044
m8g.48xlarge,27921.5754906
m8g.4xlarge,28943.9671958
m8g.8xlarge,28983.8282712
m8g.large,28984.5006812
m8g.medium,28970.2379818
m8g.metal-48xl,28001.323002200003
m8g.xlarge,28985.8445084
r5.12xlarge,25106.0895558
r5.16xlarge,23138.969002
r5.24xlarge,25101.5488438
r5.2xlarge,23157.4809938
r5.4xlarge,23189.498612000003
r5.8xlarge,23163.177744
r5.large,23139.1854922
r5.xlarge,23165.421097
r5a.12xlarge,16971.3349448
r5a.16xlarge,16752.004235200002
r5a.24xlarge,16853.4135502
r5a.2xlarge,16989.3689954
r5a.4xlarge,17011.155944399998
r5a.8xlarge,16999.4311834
r5a.large,16915.113766200004
r5a.xlarge,16977.586285999998
r5b.12xlarge,25059.6538636
r5b.16xlarge,23920.0184832
r5b.24xlarge,25021.339616200003
r5b.2xlarge,23936.0482632
r5b.4xlarge,23146.9630418
r5b.8xlarge,23938.1172104
r5b.large,23929.4200492
r5b.xlarge,23913.956567000005
r5n.12xlarge,25022.027633
r5n.16xlarge,23177.227494
r5n.24xlarge,25023.693193000003
r5n.2xlarge,23924.942443400003
r5n.4xlarge,23479.3262332
r5n.8xlarge,23150.0173536
r5n.large,23913.272210199997
r5n.xlarge,23885.442948
r6a.12xlarge,34513.723203199996
r6a.16xlarge,34425.4726516
r6a.24xlarge,32987.9077922
r6a.2xlarge,33369.403579
r6a.32xlarge,34452.409133199995
r6a.48xlarge,33346.92279299999
r6a.4xlarge,32801.894509599995
r6a.8xlarge,33314.439718
r6a.large,33359.37735720001
r6a.xlarge,33331.1447322
r6g.12xlarge,19342.1370646
r6g.16xlarge,19339.070679400003
r6g.2xlarge,19342.061158
r6g.4xlarge,19333.535245
r6g.8xlarge,19333.7593208
r6g.large,19335.8529184
r6g.medium,19335.10555
r6g.xlarge,19340.191838600003
r6i.12xlarge,28960.7544498
r6i.16xlarge,29000.555173
r6i.24xlarge,28989.500661799997
r6i.2xlarge,29005.1851824
r6i.32xlarge,28993.6617708
r6i.4xlarge,28946.0133376
r6i.8xlarge,29027.5774204
r6i.large,28978.137696800004
r6i.xlarge,28951.9039336
r6in.12xlarge,28999.8199294
r6in.16xlarge,29030.456523
r6in.24xlarge,29007.549157400004
r6in.2xlarge,29024.5758708
r6in.32xlarge,28971.875437800005
r6in.4xlarge,28981.0300328
r6in.8xlarge,28979.4757428
r6in.large,28982.6698086
r6in.xlarge,29002.831699
r7a.12xlarge,35594.098298
r7a.16xlarge,35552.02395340001
r7a.24xlarge,35605.2477766
r7a.2xlarge,35584.9629768
r7a.32xlarge,35624.4450724
r7a.48xlarge,35643.6463564
r7a.4xlarge,35601.1796332
r7a.8xlarge,35566.829638
r7a.large,35626.7616784
r7a.medium,35571.0988776
r7a.xlarge,35510.57794519999
r7g.12xlarge,24073.0669812
r7g.16xlarge,24069.1302852
r7g.2xlarge,24077.3574614
r7g.4xlarge,24077.0095074
r7g.8xlarge,24083.3886114
r7g.large,24079.6750146
r7g.medium,24085.4820246
r7g.xlarge,24078.167410400005
r7i.12xlarge,34303.2326352
r7i.16xlarge,34294.7839738
r7i.24xlarge,34375.390687
r7i.2xlarge,31225.026048
r7i.48xlarge,34337.6371492
r7i.4xlarge,34601.8810342
r7i.8xlarge,34785.947861
r7i.large,34697.75583940001
r7i.xlarge,34301.1909938
r7iz.12xlarge,35860.09764139999
r7iz.16xlarge,35871.1167232
r7iz.2xlarge,35854.9903118
r7iz.32xlarge,35912.8514916
r7iz.4xlarge,35862.87535839999
r7iz.8xlarge,35866.3119806
r7iz.large,35805.645069000006
r7iz.xlarge,35764.321865599995
r8g.12xlarge,28983.8286316
r8g.24xlarge,28987.1890368
r8g.2xlarge,28989.3728626
r8g.4xlarge,28981.1499764
r8g.8xlarge,28952.401559
r8g.large,28983.3231188
r8g.medium,28979.4784516
r8g.metal-24xl,29003.9792112
r8g.metal-48xl,27998.6579516
r8g.xlarge,28989.036983799997
t2.2xlarge,18582.0922232
t2.large,18595.943173
t2.medium,18677.2431552
t2.micro,18680.147313200003
t2.small,18456.5978276
t2.xlarge,18656.670523
t3.2xlarge,19030.8208542
t3.large,18001.996257799998
t3.medium,16266.4390122
t3.micro,18372.679650600003
t3.nano,19838.448677
t3.small,17236.0433724
t3.xlarge,17927.5861616
t4g.2xlarge,18300.0613522
t4g.large,18018.7907948
t4g.medium,18380.1536048
t4g.micro,18357.8917948
t4g.nano,18328.2761066
t4g.small,18403.36735
t4g.xlarge,17963.9244202
x8g.12xlarge,28977.782499400004
x8g.16xlarge,28990.8860706
x8g.24xlarge,28982.3159886
x8g.2xlarge,28965.5865596
x8g.48xlarge,27930.465304399997
x8g.4xlarge,28948.8391302
x8g.8xlarge,28985.8438458
x8g.large,28984.836102399997
x8g.medium,28966.548239000003
x8g.metal-24xl,29010.1707666
x8g.metal-48xl,28000.852160600003
x8g.xlarge,28993.4080554
