pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods
10,1,2,496230.7908641975,28137.868131213905,359957.01268817205,71795.79737609331,0.0,188.0,0.0,54.0
10,1,4,556037.3776470588,28137.868131213905,194394.59946428568,71795.79737609331,0.0,188.0,0.0,22.0
10,2,2,265216.2465263158,28137.868131213905,92163.86811023622,71795.79737609331,0.0,89.0,0.0,22.0
17,7,7,37866.06122171946,29008.271711778067,16280.826507818314,35897.89868804665,0.0,10.0,0.0,1.0
50,1,2,101867.92477319586,28137.868131213905,71991.40254193549,71795.79737609331,0.0,148.0,0.0,14.0
50,1,4,92336.54497658447,28137.868131213905,38878.91989642857,35897.898688046655,0.0,148.0,0.0,14.0
50,2,2,51696.55891542289,28137.868131213905,18432.773622047243,35897.898688046655,0.0,49.0,0.0,14.0
75,3,5,23995.396472876757,21250.00810928563,5311.372469635628,17948.949344023324,0.0,10.0,0.0,9.0
100,1,2,50933.96238659793,28137.868131213905,35995.701270967744,35897.898688046655,0.0,98.0,0.0,28.0
100,1,4,38976.31976687347,28137.868131213905,19439.45994910714,17948.949344023327,0.0,98.0,0.0,28.0
100,2,2,25639.915309446253,27852.659025281395,9216.386811023622,17948.949344023327,0.0,0.0,0.0,28.0
115,4,2,11137.609362266978,11665.846944720708,3463.9385671536697,8974.474672011664,0.0,1.0,0.0,13.0
287,1,6,18302.710936946154,16412.075910347976,6735.89800443459,5128.271241149521,0.0,29.0,0.0,7.0
400,1,2,12819.957654723126,13470.465955737654,8998.925317674732,10256.54248229904,0.0,4.0,0.0,48.0
400,1,4,12305.83877800702,11986.31889323087,4859.864987220982,5522.753644314868,0.0,12.0,0.0,16.0
400,2,2,6337.724637681159,6597.040060172592,2304.0967027559054,5522.753644314868,0.0,2.0,0.0,16.0
439,1,9,9437.559269340152,9437.559269340152,2576.179580222187,3349.7534048151047,1.0,1.0,0.0,137.0
1000,1,2,5004.10298792117,5236.672009058695,3599.570127075269,4487.237336005832,0.0,4.0,0.0,24.0
1000,1,4,4328.923462217532,4287.7261744099405,1943.9459949017858,2243.618668002916,0.0,20.0,0.0,24.0
1000,2,2,2415.2161282312704,2323.0135658142863,921.6386811023622,2243.618668002916,0.0,30.0,0.0,24.0
