instance_type,availability_zone,num_instances,T3,pods,cpu,mem,actual_pods,excess_pods,cost,performance,total_cost_per_pod,nodes_used,efficiency
t2.small,eu-west-1c,10,50.0,10,1,2,10.0,0.0,0.116,217721.9514,0.0116,10,187691.3374
m6g.4xlarge,eu-west-1a,1,50.0,10,1,4,16.0,6.0,0.3017,316334.338,0.0189,1,65531.6411
c6g.8xlarge,eu-west-1b,1,50.0,10,2,2,16.0,6.0,0.5233,314858.16,0.0327,1,37604.8825
c6g.16xlarge,eu-west-1a,2,50.0,17,7,7,18.0,1.0,2.1994,354215.43,0.1222,2,8947.2743
t2.small,eu-west-1c,50,50.0,50,1,2,50.0,0.0,0.58,1088609.7571,0.0116,50,37538.2675
m6g.4xlarge,eu-west-1a,4,50.0,50,1,4,64.0,14.0,1.2068,1265337.352,0.0189,4,16382.9103
c6g.8xlarge,eu-west-1b,4,50.0,50,2,2,64.0,14.0,2.0932,1259432.64,0.0327,4,9401.2206
c6g.12xlarge,eu-west-1b,5,50.0,75,3,5,80.0,5.0,4.023,1574290.8,0.0503,5,4891.5324
t2.small,eu-west-1c,100,50.0,100,1,2,100.0,0.0,1.16,2177219.5143,0.0116,100,18769.1337
m6g.4xlarge,eu-west-1a,7,50.0,100,1,4,112.0,12.0,2.1119,2214340.366,0.0189,7,9361.663
c6g.8xlarge,eu-west-1b,7,50.0,100,2,2,112.0,12.0,3.6631,2204007.12,0.0327,7,5372.1261
c6g.8xlarge,eu-west-1b,15,50.0,115,4,2,120.0,5.0,7.8495,2361436.2,0.0654,15,2506.9922
r6g.12xlarge,eu-west-1b,6,25.0,287,1,6,288.0,1.0,7.2504,5652293.22,0.0252,6,2706.8876
t2.small,eu-west-1c,400,50.0,400,1,2,400.0,0.0,4.64,8708878.0571,0.0116,400,4692.2834
m6g.4xlarge,eu-west-1a,25,50.0,400,1,4,400.0,0.0,7.5425,7908358.45,0.0189,25,2621.2656
c6g.8xlarge,eu-west-1b,25,50.0,400,2,2,400.0,0.0,13.0825,7871454.0,0.0327,25,1504.1953
r6g.12xlarge,eu-west-1b,11,25.0,439,1,9,462.0,23.0,13.2924,9067220.3738,0.0288,11,1476.4842
t2.small,eu-west-1c,1000,50.0,1000,1,2,1000.0,0.0,11.6,21772195.1429,0.0116,1000,1876.9134
m6g.4xlarge,eu-west-1a,63,50.0,1000,1,4,1008.0,8.0,19.0071,19929063.294,0.0189,63,1040.1848
c6g.8xlarge,eu-west-1b,63,50.0,1000,2,2,1008.0,8.0,32.9679,19836064.08,0.0327,63,596.9029
