pods,cpu,mem,tolerance_0.0001_efficiency,tolerance_0.0001_excess_pods,tolerance_0.1_efficiency,tolerance_0.1_excess_pods,tolerance_0.01_efficiency,tolerance_0.01_excess_pods,tolerance_0.001_efficiency,tolerance_0.001_excess_pods
10,1,2,770744.3011272142,0.0,770744.3011272142,0.0,770744.3011272142,0.0,770744.3011272142,0.0
10,1,4,770744.3011272142,0.0,770744.3011272142,0.0,770744.3011272142,0.0,770744.3011272142,0.0
10,2,2,385993.7185483871,0.0,385993.7185483871,0.0,385993.7185483871,0.0,385993.7185483871,0.0
17,7,7,57487.917719933495,0.0,56135.539526688815,0.0,57487.917719933495,0.0,57487.917719933495,0.0
50,1,2,153654.0003210273,0.0,153654.0003210273,0.0,153654.0003210273,0.0,153654.0003210273,0.0
50,1,4,153654.0003210273,0.0,153654.0003210273,0.0,153654.0003210273,0.0,153654.0003210273,0.0
50,2,2,76703.87996794873,0.0,76703.87996794873,0.0,76703.87996794873,0.0,76703.87996794873,0.0
75,3,5,32459.22298199416,0.0,32257.20491967137,0.0,32257.20491967137,0.0,32459.22298199416,0.0
100,1,2,76703.87996794873,0.0,76703.87996794873,0.0,76703.87996794873,0.0,76703.87996794873,0.0
100,1,4,76703.87996794873,0.0,76703.87996794873,0.0,76703.87996794873,0.0,76703.87996794873,0.0
100,2,2,38643.00104957211,0.0,38643.00104957211,0.0,38643.00104957211,0.0,38643.00104957211,0.0
115,4,2,15926.298672050918,0.0,15926.298672050918,0.0,15926.298672050918,0.0,15926.298672050918,0.0
287,1,6,17241.167094712728,1.0,17241.167094712728,1.0,17241.167094712728,1.0,17241.167094712728,1.0
400,1,2,19177.50665117397,0.0,19177.50665117397,0.0,19177.50665117397,0.0,19177.50665117397,0.0
400,1,4,19177.50665117397,0.0,19177.50665117397,0.0,19177.50665117397,0.0,19177.50665117397,0.0
400,2,2,8696.912494004797,0.0,8696.912494004797,0.0,8696.912494004797,0.0,8696.912494004797,0.0
439,1,9,9265.7140328032,0.0,9265.7140328032,0.0,9265.7140328032,0.0,9265.7140328032,0.0
1000,1,2,6970.080373491129,0.0,6970.080373491129,0.0,6970.080373491129,0.0,6970.080373491129,0.0
1000,1,4,6290.7965439913,0.0,6290.7965439913,0.0,6290.7965439913,0.0,6290.7965439913,0.0
1000,2,2,2927.866386145188,0.0,2927.866386145188,0.0,2927.866386145188,0.0,2927.866386145188,0.0
