pods,cpu,mem,tolerance_0.0001_efficiency,tolerance_0.0001_excess_pods,tolerance_0.1_efficiency,tolerance_0.1_excess_pods,tolerance_0.01_efficiency,tolerance_0.01_excess_pods,tolerance_0.001_efficiency,tolerance_0.001_excess_pods
10,1,2,493792.31031941023,0.0,493792.31031941023,0.0,493792.31031941023,0.0,493792.31031941023,0.0
10,1,4,309827.0312,0.0,309827.0312,0.0,309827.0312,0.0,309827.0312,0.0
10,2,2,213665.96091205213,2.0,213665.96091205213,2.0,213665.96091205213,2.0,213665.96091205213,2.0
17,7,7,37866.06122171946,0.0,37866.06122171946,0.0,37866.06122171946,0.0,37866.06122171946,0.0
50,1,2,101763.01444902162,0.0,101763.01444902162,0.0,101763.01444902162,0.0,101763.01444902162,0.0
50,1,4,63053.91562943834,0.0,63053.91562943834,0.0,63053.91562943834,0.0,63053.91562943834,0.0
50,2,2,49307.5294412428,2.0,49307.5294412428,2.0,49307.5294412428,2.0,49307.5294412428,2.0
75,3,5,18881.54305214724,0.0,18881.54305214724,0.0,18881.54305214724,0.0,18881.54305214724,0.0
100,1,2,50881.50722451081,0.0,50881.50722451081,0.0,50881.50722451081,0.0,50881.50722451081,0.0
100,1,4,36823.68561892536,0.0,36823.68561892536,0.0,36823.68561892536,0.0,36823.68561892536,0.0
100,2,2,25639.915309446253,0.0,25639.915309446253,0.0,25639.915309446253,0.0,25639.915309446253,0.0
115,4,2,11002.255954377726,1.0,11002.255954377726,1.0,11002.255954377726,1.0,11002.255954377726,1.0
287,1,6,12903.364973701511,1.0,12903.364973701511,1.0,12903.364973701511,1.0,12903.364973701511,1.0
400,1,2,12819.957654723126,0.0,12819.957654723126,0.0,12819.957654723126,0.0,12819.957654723126,0.0
400,1,4,9125.9637344244,0.0,9125.9637344244,0.0,9125.9637344244,0.0,9125.9637344244,0.0
400,2,2,6307.254807692308,0.0,6307.254807692308,0.0,6307.254807692308,0.0,6307.254807692308,0.0
439,1,9,7258.1427977071,9.0,7258.1427977071,9.0,7258.1427977071,9.0,7258.1427977071,9.0
1000,1,2,4969.352272727273,0.0,4969.352272727273,0.0,4969.352272727273,0.0,4969.352272727273,0.0
1000,1,4,3799.556863970014,0.0,3799.556863970014,0.0,3799.556863970014,0.0,3799.556863970014,0.0
1000,2,2,2330.584050949382,0.0,2330.584050949382,0.0,2330.584050949382,0.0,2330.584050949382,0.0
