pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,spotkube_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods,spotkube_excess_pods
1,1,1,933651.8944954128,713774.0341151387,933651.8944954128,603944.7147239264,933651.8944954128,0.0,1.0,0.0,1.0,0.0
5,1,1,266881.69550173014,237924.67791992423,186730.3787155963,201314.90507839128,263013.84484228474,0.0,1.0,0.0,1.0,0.0
6,1,1,237924.67791992423,237924.67791992423,155608.64895514783,201314.90507839128,209215.47004553082,0.0,0.0,0.0,0.0,0.0
10,1,1,142754.80673773988,142754.80673773988,93365.18940366972,120788.94300613496,98557.01170950632,0.0,0.0,0.0,0.0,0.0
14,1,1,101967.71909403421,101967.71909403421,66689.42098857892,86277.81645173408,65349.63139811814,0.0,0.0,0.0,0.0,0.0
15,1,1,93119.61188231934,89221.75421441898,62243.4595922528,75493.08938842025,51393.192206170854,0.0,1.0,0.0,1.0,0.0
17,1,1,82378.07767076603,79308.22597330806,54920.69964445574,67104.96835946376,30247.166078704842,0.0,1.0,0.0,1.0,0.0
20,1,1,71377.40336886994,71377.40336886994,46682.59469036697,60394.4715184049,22094.449101078706,0.0,0.0,0.0,0.0,0.0
25,1,1,55296.981712230205,54450.231263450274,37346.07575045871,46457.28578429593,22295.629138282842,0.0,1.0,0.0,1.0,0.0
30,1,1,47016.856999063675,47016.856999063675,31121.7297961264,40262.98100886162,21846.425334534226,0.0,0.0,0.0,0.0,0.0
35,1,1,39025.41639141473,39025.41639141473,26675.768395431565,33552.484174998106,13655.182350230414,1.0,1.0,0.0,1.0,0.0
40,1,1,35053.405426701574,35053.405426701574,23341.297345183484,30197.23575920245,12258.645867828263,0.0,0.0,0.0,0.0,0.0
45,1,1,30410.612447864005,30410.612447864005,20747.819864084267,26258.465877857285,11736.223738825032,1.0,1.0,0.0,1.0,0.0
50,1,1,27943.240552587646,27943.240552587646,18673.037877064216,24157.788606134967,7708.105386132605,0.0,0.0,0.0,0.0,0.0
