pods,cpu,mem,actual_pods,excess_pods,Total Assigned Instances,Total Assignable Pods,Total CPU,Total Memory,cost,performance,nodepool_config
10,1,2,96.0,86.0,1,96.0,96.0,768.0,0.7668,4537265.0016,"[{'instance_type': 'r8a.24xlarge', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}]"
10,1,4,96.0,86.0,1,96.0,96.0,768.0,0.7668,4537265.0016,"[{'instance_type': 'r8a.24xlarge', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}]"
10,2,2,48.0,38.0,1,48.0,96.0,768.0,0.7668,2268632.5008,"[{'instance_type': 'r8a.24xlarge', 'availability_zone': 'use1-az6', 'num_instances': 1, 'T3': 1.0}]"
17,7,7,26.0,9.0,2,26.0,192.0,1536.0,1.5336,1228842.6046,"[{'instance_type': 'r8a.24xlarge', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.24xlarge', 'availability_zone': 'use1-az6', 'num_instances': 1, 'T3': 1.0}]"
50,1,2,96.0,46.0,1,96.0,96.0,768.0,0.7668,4537265.0016,"[{'instance_type': 'r8a.24xlarge', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}]"
50,1,4,96.0,46.0,1,96.0,96.0,768.0,0.7668,4537265.0016,"[{'instance_type': 'r8a.24xlarge', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}]"
50,2,2,96.0,46.0,2,96.0,192.0,1536.0,1.5336,4537265.0016,"[{'instance_type': 'r8a.24xlarge', 'availability_zone': 'use1-az6', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.24xlarge', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}]"
75,3,5,85.0,10.0,3,85.0,256.0,1664.0,1.808,3438559.4372,"[{'instance_type': 'r8a.24xlarge', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.24xlarge', 'availability_zone': 'use1-az6', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'g5g.16xlarge', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 10.0}]"
100,1,2,192.0,92.0,2,192.0,192.0,1536.0,1.5336,9074530.0032,"[{'instance_type': 'r8a.24xlarge', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.24xlarge', 'availability_zone': 'use1-az6', 'num_instances': 1, 'T3': 1.0}]"
100,1,4,192.0,92.0,2,192.0,192.0,1536.0,1.5336,9074530.0032,"[{'instance_type': 'r8a.24xlarge', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.24xlarge', 'availability_zone': 'use1-az6', 'num_instances': 1, 'T3': 1.0}]"
