pods,cpu,mem,actual_pods,excess_pods,Total Assigned Instances,Total Assignable Pods,Total CPU,Total Memory,cost,performance,nodepool_config
10,1,2,16.0,6.0,1,16.0,16.0,128.0,0.1278,756210.8336,"[{'instance_type': 'r8a.4xlarge', 'availability_zone': 'use1-az6', 'num_instances': 1, 'T3': 1.0}]"
10,1,4,16.0,6.0,1,16.0,16.0,128.0,0.1278,756210.8336,"[{'instance_type': 'r8a.4xlarge', 'availability_zone': 'use1-az6', 'num_instances': 1, 'T3': 1.0}]"
10,2,2,56.0,46.0,2,56.0,112.0,896.0,0.8978,2646737.9176,"[{'instance_type': 'r8a.4xlarge', 'availability_zone': 'use1-az6', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.24xlarge', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}]"
17,7,7,27.0,10.0,1,27.0,192.0,1536.0,1.5499,1276105.7817,"[{'instance_type': 'r8a.metal-48xl', 'availability_zone': 'use1-az2', 'num_instances': 1, 'T3': 1.0}]"
50,1,2,112.0,62.0,2,112.0,112.0,896.0,0.8978,5293475.8352,"[{'instance_type': 'r8a.4xlarge', 'availability_zone': 'use1-az6', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.24xlarge', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}]"
50,1,4,112.0,62.0,2,112.0,112.0,896.0,0.8978,5293475.8352,"[{'instance_type': 'r8a.4xlarge', 'availability_zone': 'use1-az6', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.24xlarge', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}]"
50,2,2,56.0,6.0,2,56.0,112.0,896.0,0.8978,2646737.9176,"[{'instance_type': 'r8a.4xlarge', 'availability_zone': 'use1-az6', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.24xlarge', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}]"
75,3,5,96.0,21.0,2,96.0,288.0,2304.0,2.3199,4537265.0016,"[{'instance_type': 'r8a.24xlarge', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.metal-48xl', 'availability_zone': 'use1-az2', 'num_instances': 1, 'T3': 1.0}]"
100,1,2,112.0,12.0,2,112.0,112.0,896.0,0.8978,5293475.8352,"[{'instance_type': 'r8a.4xlarge', 'availability_zone': 'use1-az6', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.24xlarge', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}]"
100,1,4,112.0,12.0,2,112.0,112.0,896.0,0.8978,5293475.8352,"[{'instance_type': 'r8a.4xlarge', 'availability_zone': 'use1-az6', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.24xlarge', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}]"
100,2,2,100.0,0.0,36,100.0,200.0,1600.0,1.6052,4726317.71,"[{'instance_type': 'r8a.4xlarge', 'availability_zone': 'use1-az6', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.24xlarge', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.xlarge', 'availability_zone': 'use1-az2', 'num_instances': 10, 'T3': 10.0}, {'instance_type': 'r8a.large', 'availability_zone': 'use1-az4', 'num_instances': 24, 'T3': 25.0}]"
115,4,2,134.0,19.0,14,134.0,536.0,4288.0,4.3273,6333265.7314,"[{'instance_type': 'r8a.4xlarge', 'availability_zone': 'use1-az6', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.24xlarge', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.xlarge', 'availability_zone': 'use1-az2', 'num_instances': 10, 'T3': 10.0}, {'instance_type': 'r8a.metal-48xl', 'availability_zone': 'use1-az2', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.metal-48xl', 'availability_zone': 'use1-az6', 'num_instances': 1, 'T3': 1.0}]"
287,1,6,434.0,147.0,58,434.0,434.0,3472.0,3.4932,20512218.8614,"[{'instance_type': 'r8a.4xlarge', 'availability_zone': 'use1-az6', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.24xlarge', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.xlarge', 'availability_zone': 'use1-az2', 'num_instances': 10, 'T3': 10.0}, {'instance_type': 'r8a.large', 'availability_zone': 'use1-az6', 'num_instances': 20, 'T3': 20.0}, {'instance_type': 'r8a.large', 'availability_zone': 'use1-az4', 'num_instances': 25, 'T3': 25.0}, {'instance_type': 'r8a.metal-48xl', 'availability_zone': 'use1-az2', 'num_instances': 1, 'T3': 1.0}]"
400,1,2,434.0,34.0,58,434.0,434.0,3472.0,3.4932,20512218.8614,"[{'instance_type': 'r8a.4xlarge', 'availability_zone': 'use1-az6', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.24xlarge', 'availability_zone': 'use1-az4', 'num_instances': 1, 'T3': 1.0}, {'instance_type': 'r8a.xlarge', 'availability_zone': 'use1-az2', 'num_instances': 10, 'T3': 10.0}, {'instance_type': 'r8a.large', 'availability_zone': 'use1-az4', 'num_instances': 25, 'T3': 25.0}, {'instance_type': 'r8a.large', 'availability_zone': 'use1-az6', 'num_instances': 20, 'T3': 20.0}, {'instance_type': 'r8a.metal-48xl', 'availability_zone': 'use1-az2', 'num_instances': 1, 'T3': 1.0}]"
