pods,cpu,mem,alpha,cost,performance,perf_per_cost,actual_pods,excess_pods
10.0,1.0,2.0,0.27,0.0803,472631,588582,10,0
10.0,1.0,4.0,0.02,0.0803,472631,588582,10,0
10.0,2.0,2.0,0.19,0.1599,472631,295579,10,0
17.0,7.0,7.0,0.29,0.8928,693135,45668,17,0
50.0,1.0,2.0,0.27,0.40069999999999995,2363158,117951,50,0
50.0,1.0,4.0,0.11,0.40069999999999995,2363158,117951,50,0
50.0,2.0,2.0,0.19,0.8021,2363158,58924,50,0
75.0,3.0,5.0,0.15,1.8399,3544738,25687,75,0
100.0,1.0,2.0,0.27,0.8021,4726317,58924,100,0
100.0,1.0,4.0,0.11,0.8021,4726317,58924,100,0
100.0,2.0,2.0,0.19,1.6052,4726317,29443,100,0
115.0,4.0,2.0,0.2,3.7117999999999998,5435265,12733,115,0
287.0,1.0,6.0,0.11,2.3171,13611795,20397,288,1
400.0,1.0,2.0,0.27,3.2195,18905270,14680,400,0
400.0,1.0,4.0,0.11,3.2195,18905270,14680,400,0
400.0,2.0,2.0,0.19,6.4662999999999995,18905270,7309,400,0
439.0,1.0,9.0,0.08,4.0063,20748534,11797,439,0
1000.0,1.0,2.0,0.28,8.098600000000001,47263177,5835,1000,0
1000.0,1.0,4.0,0.11,8.098600000000001,47263177,5835,1000,0
1000.0,2.0,2.0,0.2,14.011599999999998,39870519,2845,1000,0
