pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,spotkube_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods,spotkube_excess_pods
1,1,1,1094280.177419355,325009.72985436895,1094280.177419355,579076.4029411764,1094280.177419355,0.0,3.0,0.0,1.0,0.0
5,1,1,228886.84087759815,162504.8649878641,218856.0352688172,193025.4678104575,131484.3608433735,0.0,3.0,0.0,1.0,0.0
6,1,1,193025.4678104575,162504.8649878641,182380.0294205496,193025.4678104575,65141.0823117338,0.0,2.0,0.0,0.0,0.0
10,1,1,115815.28064705881,108336.5766450917,109428.01768817205,115815.28064705881,94250.18950448693,0.0,2.0,0.0,0.0,0.0
14,1,1,82725.20048019208,81252.43247876213,78162.86976080755,82725.20048019208,59048.239167049454,0.0,2.0,0.0,0.0,0.0
15,1,1,76901.52748765914,81252.43247876213,72952.01178016726,72384.55041360293,41559.26635698925,0.0,1.0,0.0,1.0,0.0
17,1,1,67886.15333387311,65001.94598058252,64369.42216393199,64341.82260348584,18605.654392164903,0.0,3.0,0.0,1.0,0.0
20,1,1,57907.64033823529,65001.94598058252,54714.008830645165,57907.64033823529,36969.63244984355,0.0,0.0,0.0,0.0,0.0
25,1,1,46214.71696202532,46429.96141767387,43771.20706236559,44544.33872258962,16623.11097202192,0.0,3.0,0.0,1.0,0.0
30,1,1,38605.093555555555,40626.216239381065,36476.00589008363,38605.093555555555,18258.68904862085,0.0,2.0,0.0,0.0,0.0
35,1,1,33033.18488578133,36112.192212034046,31265.14790432302,32170.911297204064,18735.444167859896,0.0,1.0,0.0,1.0,0.0
40,1,1,28953.820169117644,32500.972992718445,27357.004415322583,28953.820169117644,12466.461084439421,0.0,0.0,0.0,0.0,0.0
45,1,1,25675.496212318652,27084.144159587377,24317.337260055756,25177.234929945513,11787.751148493262,0.0,3.0,0.0,1.0,0.0
50,1,1,23108.682762910797,25000.748456080888,21885.60353333333,23163.056134117647,10126.327505912872,0.0,2.0,0.0,0.0,0.0
