pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods
10,1,2,556037.3776470588,29398.007775082417,275048.80121621623,275048.80121621623,0.0,182.0,0.0,0.0
10,1,4,556037.3776470588,29398.007775082417,147544.00089552236,147544.00089552236,0.0,182.0,0.0,0.0
10,2,2,278018.6888235294,29398.007775082417,116772.77153846153,117008.54637020145,0.0,86.0,0.0,2.0
17,7,7,43202.17285191955,29398.007775082417,20648.56700847889,16355.041240253411,0.0,10.0,0.0,1.0
50,1,2,110324.87651727357,29398.007775082417,55009.76023243243,55009.76023243243,0.0,142.0,0.0,0.0
50,1,4,110324.87651727357,29398.007775082417,29508.800185074626,29508.800185074626,0.0,142.0,0.0,0.0
50,2,2,55721.736736618725,29398.007775082417,23354.55430769231,27001.972239277256,0.0,46.0,0.0,2.0
75,3,5,24163.178476482623,19514.916842148727,5210.823038397329,8177.520619870756,0.0,21.0,0.0,9.0
100,1,2,55721.736736618725,29398.007775082417,27504.880116216216,27504.880116216216,0.0,92.0,0.0,0.0
100,1,4,55721.736736618725,29398.007775082417,14754.400093283582,14754.400093283582,0.0,92.0,0.0,0.0
100,2,2,28205.034970460107,19514.916842148727,11677.277153846155,14041.025564424173,0.0,44.0,0.0,0.0
115,4,2,12026.253715012721,11619.711641057162,3398.3628511286925,6052.166191562144,0.0,4.0,0.0,1.0
287,1,6,19514.916842148727,19514.916842148727,4858.680527788884,4652.798978940651,1.0,1.0,0.0,33.0
400,1,2,13948.935188737716,13948.935188737716,6876.220028969595,6876.220028969595,0.0,0.0,0.0,0.0
400,1,4,13948.935188737716,13948.935188737716,3688.6000233208956,3688.6000233208956,0.0,0.0,0.0,0.0
400,2,2,6338.402424810104,5886.138197673825,2919.3192884615387,3510.2563911060433,0.0,25.0,0.0,0.0
439,1,9,11072.030618221004,9659.937682670101,1645.3701698499367,2907.9993618379067,0.0,63.0,0.0,9.0
1000,1,2,4803.188220734859,4595.6493628099515,2750.488011581081,2750.488011581081,0.0,42.0,0.0,0.0
1000,1,4,4491.851538118442,4067.275871148913,1475.4400093283582,1475.4400093283582,0.0,74.0,0.0,0.0
1000,2,2,2110.966666537606,1847.2504028894741,1167.7277153846155,1404.1025564424174,0.0,117.0,0.0,0.0
