host_job_create_tstamp,host_job_create_partitions_time,host_job_serialize_time,func_data_size_bytes,func_module_size_bytes,host_func_upload_time,host_data_upload_time,host_job_created_time,host_status_done_tstamp,host_status_query_count,worker_start_tstamp,host_submit_tstamp,worker_cold_start,worker_func_cpu_usage,worker_func_cpu_system_time,worker_func_cpu_user_time,worker_func_sent_net_io,worker_func_recv_net_io,worker_func_rss,worker_func_vms,worker_func_uss,worker_peak_memory_start,worker_func_start_tstamp,worker_func_end_tstamp,worker_func_exec_time,func_result_size,worker_peak_memory_end,worker_end_tstamp,worker_exec_time
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748048121.4380934,4,1748047585.2259343,1748047570.6849895,True,"[78.2, 70.0, 86.1, 82.8, 81.2, 77.5, 83.5, 89.1]",24.94,3504.89,1512692,415348297,107565056,457916416,33783808,103137280.0,1748047585.8369842,1748048120.7064953,534.86951113,0.0,1495203840.0,1748048120.810358,535.58442378
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748048007.8744996,1,1748047585.228428,1748047570.6849895,True,"[91.7, 73.8, 87.2, 91.2, 91.5, 83.3, 91.7, 91.6]",23.29,2996.94,1353895,415254113,107565056,457916416,33787904,103137280.0,1748047585.8385825,1748048007.117501,421.2789185,0.0,1495322624.0,1748048007.2618196,422.03339171
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748048048.1830518,1,1748047585.2308242,1748047570.6849895,True,"[87.1, 73.8, 88.3, 89.5, 89.1, 81.8, 92.4, 91.4]",23.87,3232.85,1385390,415273207,107573248,457916416,33751040,103145472.0,1748047585.7671137,1748048046.3731902,460.60607648,0.0,1494491136.0,1748048046.5153825,461.2845583
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748048117.3272326,1,1748047585.234506,1748047570.6849895,True,"[78.8, 70.4, 86.2, 83.6, 81.7, 78.0, 84.1, 90.0]",24.8,3494.35,1479129,415327612,107573248,457916416,33775616,103145472.0,1748047585.7620912,1748048115.3835778,529.62148666,0.0,1496276992.0,1748048115.487322,530.2528162
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748048209.044105,44,1748047585.2528381,1748047570.6849895,True,"[66.3, 68.2, 68.4, 72.5, 66.3, 67.9, 66.7, 69.6]",27.08,3421.47,1382791,415122164,107638784,457912320,33734656,102989824.0,1748047585.8659966,1748048207.0347323,621.16873574,0.0,1495658496.0,1748048207.1374779,621.88463974
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748047961.0597386,1,1748047585.2550347,1748047570.6849895,True,"[88.0, 88.0, 87.4, 87.5, 87.9, 88.1, 87.1, 87.5]",24.38,2649.08,1164029,414991244,107638784,457912320,33734656,102989824.0,1748047585.8449259,1748047958.5540478,372.70912194,0.0,1494683648.0,1748047958.7063737,373.45133901
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748048050.973819,1,1748047585.257224,1748047570.6849895,True,"[82.9, 86.3, 88.5, 82.0, 82.0, 85.4, 88.1, 82.1]",25.63,3177.04,1288771,415065200,107642880,457912320,33730560,102989824.0,1748047585.8241186,1748048050.1745093,464.35039067,0.0,1494286336.0,1748048050.2904603,465.03323627
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748048038.1636374,1,1748047585.2601564,1748047570.6849895,True,"[83.2, 86.8, 89.6, 83.1, 83.8, 87.1, 89.4, 82.9]",25.36,3120.68,1277040,415053405,107642880,457912320,33738752,102989824.0,1748047585.7962823,1748048036.0524304,450.2561481,0.0,1496731648.0,1748048036.1742072,450.91405082
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748048120.6211884,3,1748047585.263489,1748047570.6849895,True,"[77.3, 79.5, 79.8, 75.9, 77.3, 79.1, 77.8, 73.2]",26.35,3332.53,1351017,415101072,107646976,457912320,33767424,102993920.0,1748047585.9113207,1748048118.4214196,532.51009893,0.0,1494081536.0,1748048118.5255604,533.26207137
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748048071.1394556,1,1748047585.2663562,1748047570.6849895,True,"[81.2, 84.9, 87.9, 78.8, 81.1, 84.0, 85.7, 78.9]",25.88,3233.82,1319791,415082227,107651072,457912320,33783808,102998016.0,1748047585.8580108,1748048069.112739,483.25472832,0.0,1495621632.0,1748048069.2198572,483.95350099
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748048009.1928484,1,1748047585.2695744,1748047570.6849895,True,"[84.2, 89.4, 88.9, 83.9, 87.2, 89.5, 88.6, 86.5]",24.99,2978.84,1226000,415026655,107651072,457912320,33767424,102998016.0,1748047585.8280778,1748048007.7302043,421.90212655,0.0,1495920640.0,1748048007.8346531,422.56507874
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748047994.2095902,1,1748047585.273313,1748047570.6849895,True,"[85.3, 89.0, 88.5, 84.6, 88.5, 89.1, 88.2, 88.2]",24.75,2893.74,1195077,415009682,107651072,457912320,33714176,102998016.0,1748047585.8384256,1748047993.5149674,407.67654181,0.0,1495126016.0,1748047993.656484,408.38317084
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748048008.4442074,1,1748047585.3811233,1748047570.6849895,True,"[87.9, 88.0, 87.7, 87.0, 88.2, 88.1, 88.1, 87.1]",23.62,2987.83,1227807,415023768,107614208,457916416,33665024,103137280.0,1748047585.945565,1748048006.6835036,420.73793864,0.0,1494974464.0,1748048006.8386338,421.45751047
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748048063.9594529,1,1748047585.3842802,1748047570.6849895,True,"[84.0, 88.1, 88.4, 88.4, 83.3, 84.8, 84.6, 83.1]",24.75,3297.5,1352626,415096462,107618304,457916416,33652736,103137280.0,1748047585.92047,1748048062.8482227,476.92775273,0.0,1496014848.0,1748048062.9571586,477.57287836
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748048120.6206312,3,1748047585.3875597,1748047570.6849895,True,"[77.1, 83.4, 85.7, 79.1, 83.1, 79.3, 79.4, 74.3]",25.6,3452.63,1415117,415134894,107622400,457916416,33624064,103137280.0,1748047585.9214346,1748048119.4959161,533.57448149,0.0,1494687744.0,1748048119.6061397,534.21858001
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748048240.1783178,59,1748047585.3909817,1748047570.6849895,True,"[63.1, 68.3, 75.1, 64.7, 68.0, 64.9, 78.1, 60.8]",26.66,3572.38,1446333,415152118,107622400,457916416,33636352,103137280.0,1748047585.9707732,1748048238.2746074,652.3038342,0.0,1494401024.0,1748048238.3794928,652.98851109
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748048105.5386033,1,1748047585.3946247,1748047570.6849895,True,"[78.4, 85.6, 87.5, 81.4, 83.5, 81.5, 79.6, 76.4]",25.36,3422.91,1381892,415114106,107593728,457916416,33673216,103141376.0,1748047585.9382374,1748048104.6129375,518.67470002,0.0,1494188032.0,1748048104.7222946,519.32766986
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748048035.0059147,1,1748047585.39831,1748047570.6849895,True,"[88.2, 88.7, 88.4, 87.8, 83.4, 88.8, 88.8, 87.9]",24.0,3177.5,1256756,415038905,107626496,457916416,33681408,103145472.0,1748047585.9934397,1748048033.8269012,447.83346152,0.0,1493934080.0,1748048033.9685526,448.57024264
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748048038.1664133,1,1748047585.433414,1748047570.6849895,True,"[88.1, 88.4, 88.4, 87.9, 83.2, 88.9, 88.8, 87.9]",24.21,3188.51,1288348,415058508,107597824,457916416,33665024,103145472.0,1748047585.9722815,1748048035.676612,449.70433044,0.0,1493626880.0,1748048035.8246534,450.3912394
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748048037.8645885,1,1748047585.4341352,1748047570.6849895,True,"[88.2, 88.3, 88.4, 87.9, 83.1, 88.8, 88.8, 87.8]",24.35,3190.8,1319164,415076248,107630592,457916416,33685504,103145472.0,1748047586.0118403,1748048036.1768796,450.1650393,0.0,1494999040.0,1748048036.3232794,450.88914418
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748048014.3128817,1,1748047585.4197924,1748047570.6849895,True,"[77.8, 90.2, 82.4, 89.7, 81.9, 83.6, 84.8, 89.7]",25.2,2941.42,1404614,415186363,107663360,457916416,33763328,103038976.0,1748047586.013714,1748048012.550828,426.5371139,0.0,1493942272.0,1748048012.6941547,427.27436233
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748047982.7555068,1,1748047585.4223802,1748047570.6849895,True,"[79.7, 89.7, 86.2, 89.0, 84.7, 89.7, 86.2, 88.9]",24.58,2785.95,1375213,415179943,107667456,457916416,33763328,103038976.0,1748047585.9844174,1748047981.5138235,395.52940607,0.0,1495134208.0,1748047981.6571593,396.23477912
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748048174.125296,28,1748047585.4251528,1748047570.6849895,True,"[66.1, 68.6, 66.3, 79.7, 67.5, 66.8, 68.4, 78.2]",27.5,3330.86,1531342,415271924,107663360,457916416,33771520,103038976.0,1748047585.9847262,1748048172.654293,586.66956687,0.0,1495695360.0,1748048172.7583556,587.33320284
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748047951.8361757,1,1748047585.4281867,1748047570.6849895,True,"[81.9, 88.8, 89.5, 88.0, 87.8, 88.9, 88.9, 88.0]",24.1,2598.11,1343900,415161149,107671552,457916416,33738752,103043072.0,1748047585.9553826,1748047950.2552226,364.29983997,0.0,1495162880.0,1748047950.398872,364.97068524
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748047920.1135817,1,1748047585.4311185,1748047570.6849895,True,"[88.2, 87.8, 88.6, 86.9, 87.8, 87.8, 87.9, 86.9]",23.55,2382.43,1297895,415125606,107671552,457916416,33767424,103030784.0,1748047586.102137,1748047919.4170015,333.3148644,0.0,1495445504.0,1748047919.59113,334.16001153
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748048082.6057842,1,1748047585.4345217,1748047570.6849895,True,"[75.9, 80.8, 77.8, 86.2, 75.6, 78.8, 80.3, 82.5]",26.35,3190.58,1453958,415218262,107675648,457916416,33775616,103038976.0,1748047586.0335467,1748048080.160098,494.12655139,0.0,1494745088.0,1748048080.2645864,494.83006477
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748048129.273871,8,1748047585.4388192,1748047570.6849895,True,"[71.6, 74.3, 71.8, 82.9, 73.2, 72.4, 74.1, 79.9]",26.91,3285.02,1485100,415236303,107675648,457916416,33722368,103047168.0,1748047586.0605884,1748048127.1761997,541.11561131,0.0,1494921216.0,1748048127.2801027,541.84128356
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748048058.7488253,1,1748047585.4430234,1748047570.6849895,True,"[77.1, 84.4, 79.2, 88.8, 77.0, 82.2, 81.6, 83.0]",25.94,3125.2,1422805,415200698,107675648,457916416,33730560,103047168.0,1748047586.0486858,1748048058.3995814,472.35089564,0.0,1495347200.0,1748048058.515274,473.0722506
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748047968.3257544,1,1748047585.4173813,1748047570.6849895,True,"[85.0, 88.3, 87.6, 88.3, 87.8, 88.4, 88.0, 88.2]",21.37,2704.28,1148257,414921409,107773952,457916416,33714176,103153664.0,1748047585.9309616,1748047965.9412403,380.0102787,0.0,1495801856.0,1748047966.0842063,380.66682506
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748048032.1994965,1,1748047585.4200804,1748047570.6849895,True,"[87.1, 82.8, 83.6, 82.5, 89.6, 83.0, 84.2, 83.0]",22.15,3037.31,1212661,414959324,107773952,457916416,33730560,103153664.0,1748047585.9488745,1748048029.8335547,443.88468027,0.0,1496006656.0,1748048029.976354,444.55627346
1748047569.938796,0.24967,0.004508,10454,1097,0.212183,0.279598,0.746126,1748048275.5277731,75,1748047585.4227216,1748047570.6849895,True,"[61.4, 57.1, 64.7, 67.4, 70.6, 55.5, 60.9, 75.0]",24.45,3560.66,1304268,415012839,107773952,457916416,33718272,103153664.0,1748047585.9578269,1748048273.8235724,687.86574554,0.0,1494917120.0,1748048273.9273474,688.5046258
