pods,cpu,mem,alpha,cost,performance,perf_per_cost,actual_pods,excess_pods
10.0,1.0,2.0,0.23,0.07879,320542,406831,10,0
10.0,1.0,4.0,0.19,0.088945,320542,360382,10,0
10.0,2.0,2.0,0.23,0.15754400000000002,320542,203462,10,0
17.0,7.0,7.0,0.18,1.008616,576976,31780,18,1
50.0,1.0,2.0,0.23,0.39384199999999997,1602711,81388,50,0
50.0,1.0,4.0,0.22,0.444685,1602711,72083,50,0
50.0,2.0,2.0,0.23,0.787684,1602711,40694,50,0
75.0,3.0,5.0,0.23,1.79634,2404067,17844,75,0
100.0,1.0,2.0,0.23,0.787684,3205423,40694,100,0
100.0,1.0,4.0,0.19,0.88937,3205423,36041,100,0
100.0,2.0,2.0,0.23,1.575368,3205423,20347,100,0
115.0,4.0,2.0,0.23,3.623452,3686236,8846,115,0
287.0,1.0,6.0,0.21,3.353678,9187107,9544,287,0
400.0,1.0,2.0,0.23,3.1506999999999996,12821692,10173,400,0
400.0,1.0,4.0,0.19,3.558184,12821692,9008,400,0
400.0,2.0,2.0,0.23,6.302099999999999,12821692,5086,400,0
439.0,1.0,9.0,0.18,5.887056,14135915,5444,441,2
1000.0,1.0,2.0,0.23,7.877940000000001,32054230,4068,1000,0
1000.0,1.0,4.0,0.19,8.897148,32054230,3602,1000,0
1000.0,2.0,2.0,0.32,16.073837,32054230,1994,1000,0
