pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,spotkube_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods,spotkube_excess_pods
1,1,1,1384599.4081632653,1011359.5830815712,1384599.4081632653,1004520.2908163265,1384599.4081632653,0.0,1.0,0.0,1.0,0.0
5,1,1,367747.6886827458,337119.8608593488,276919.88136054424,334840.0972222222,379944.87684729067,0.0,1.0,0.0,1.0,0.0
6,1,1,334840.0972222222,337119.8608593488,230766.5678382464,334840.0972222222,213155.06001273482,0.0,0.0,0.0,0.0,0.0
10,1,1,200904.0582653061,202271.91649546826,138459.94074829933,200904.0582653061,156980.0805978898,0.0,0.0,0.0,0.0,0.0
14,1,1,143502.89879216996,144479.9403477403,98899.957656532,143502.89879216996,93574.53442523506,0.0,0.0,0.0,0.0,0.0
15,1,1,129907.38613122668,126419.94781438822,92306.62715041572,125565.0364317602,74983.50994015092,0.0,1.0,0.0,1.0,0.0
17,1,1,115030.4149202538,112373.28695311626,81447.02396252617,111613.36574074073,72506.20354452089,0.0,1.0,0.0,1.0,0.0
20,1,1,100452.02915816326,101135.95824773413,69229.97035714285,100452.02915816326,44634.728009259255,0.0,0.0,0.0,0.0,0.0
25,1,1,78892.34996398559,77796.89096158314,55383.9762829932,77270.79166163507,32820.11396487985,0.0,1.0,0.0,1.0,0.0
30,1,1,66968.01943310657,67423.97217186975,46153.31357520786,66968.01943310657,28132.980338293273,0.0,0.0,0.0,0.0,0.0
35,1,1,56647.30699297828,56186.64347189587,39559.9830626128,55806.68286249684,22755.590590972548,0.0,1.0,0.0,1.0,0.0
40,1,1,50226.01457908163,50567.979127643506,34614.98517857143,50226.01457908163,16405.20969266312,0.0,0.0,0.0,0.0,0.0
45,1,1,44187.88022725574,43972.15576331105,30768.87571680524,43674.79528664018,17005.77806715807,0.0,1.0,0.0,1.0,0.0
50,1,1,40180.81166122449,40454.38330151058,27691.988144217685,40180.81166122449,14228.749423241852,0.0,0.0,0.0,0.0,0.0
