pods,cpu,mem,alpha,cost,performance,perf_per_cost,actual_pods,excess_pods
10.0,1.0,2.0,0.23,0.07887,320542,406418,10,0
10.0,1.0,4.0,0.19,0.088945,320542,360382,10,0
10.0,2.0,2.0,0.23,0.157544,320542,203462,10,0
17.0,7.0,7.0,0.22,1.00842,544921,31786,17,0
50.0,1.0,2.0,0.23,0.393842,1602711,81388,50,0
50.0,1.0,4.0,0.19,0.444685,1602711,72083,50,0
50.0,2.0,2.0,0.23,0.787684,1602711,40694,50,0
75.0,3.0,5.0,0.23,1.7965360000000001,2404067,17842,75,0
100.0,1.0,2.0,0.23,0.787684,3205423,40694,100,0
100.0,1.0,4.0,0.19,0.889762,3205423,36025,100,0
100.0,2.0,2.0,0.23,1.5756040000000002,3205423,20344,100,0
115.0,4.0,2.0,0.33,3.758888,3686236,8527,115,0
287.0,1.0,6.0,0.21,3.3550500000000003,9187107,9541,287,0
400.0,1.0,2.0,0.32,3.2209459999999996,12821692,9951,400,0
400.0,1.0,4.0,0.29,3.604970999999999,12099221,8390,400,0
400.0,2.0,2.0,0.38,6.9050270000000005,12821692,4642,400,0
439.0,1.0,9.0,0.2,6.427512,13947243,4942,439,0
1000.0,1.0,2.0,0.38,8.649486,31406497,3631,1000,0
1000.0,1.0,4.0,0.3,10.555592999999995,31331759,2968,1000,0
1000.0,2.0,2.0,0.4,19.198189000000017,30160858,1571,1000,0
