instance_type,availability_zone,num_instances,T3,pods,cpu,mem,actual_pods,excess_pods,cost,performance,total_cost_per_pod,nodes_used,efficiency
t4g.large,eu-west-1b,1,35.0,1,1,1,2.0,1.0,0.0322,39377.1954,0.0161,1,611447.134
t4g.large,eu-west-1b,3,35.0,5,1,1,6.0,1.0,0.0966,118131.5863,0.0161,3,203815.7113
t4g.large,eu-west-1b,3,35.0,6,1,1,6.0,0.0,0.0966,118131.5863,0.0161,3,203815.7113
t4g.large,eu-west-1b,5,35.0,10,1,1,10.0,0.0,0.161,196885.9771,0.0161,5,122289.4268
t4g.large,eu-west-1b,7,35.0,14,1,1,14.0,0.0,0.2254,275640.368,0.0161,7,87349.5906
t4g.large,eu-west-1b,8,35.0,15,1,1,16.0,1.0,0.2576,315017.5634,0.0161,8,76430.8917
t4g.large,eu-west-1b,9,35.0,17,1,1,18.0,1.0,0.2898,354394.7589,0.0161,9,67938.5704
t4g.large,eu-west-1b,10,35.0,20,1,1,20.0,0.0,0.322,393771.9543,0.0161,10,61144.7134
t4g.large,eu-west-1b,13,35.0,25,1,1,26.0,1.0,0.4186,511903.5406,0.0161,13,47034.3949
t4g.large,eu-west-1b,15,35.0,30,1,1,30.0,0.0,0.483,590657.9314,0.0161,15,40763.1423
t4g.large,eu-west-1b,18,35.0,35,1,1,36.0,1.0,0.5796,708789.5177,0.0161,18,33969.2852
t4g.large,eu-west-1b,20,35.0,40,1,1,40.0,0.0,0.644,787543.9086,0.0161,20,30572.3567
t4g.large,eu-west-1b,23,35.0,45,1,1,46.0,1.0,0.7406,905675.4949,0.0161,23,26584.658
t4g.large,eu-west-1b,25,35.0,50,1,1,50.0,0.0,0.805,984429.8857,0.0161,25,24457.8854
