pods,cpu,mem,tolerance_0.0001_efficiency,tolerance_0.0001_excess_pods,tolerance_0.1_efficiency,tolerance_0.1_excess_pods,tolerance_0.01_efficiency,tolerance_0.01_excess_pods,tolerance_0.001_efficiency,tolerance_0.001_excess_pods
10,1,2,488986.5457420925,0.0,488986.5457420925,0.0,488986.5457420925,0.0,488986.5457420925,0.0
10,1,4,300802.94291262137,0.0,300802.94291262137,0.0,300802.94291262137,0.0,300802.94291262137,0.0
10,2,2,213665.96091205213,2.0,213665.96091205213,2.0,213665.96091205213,2.0,213665.96091205213,2.0
17,7,7,37866.06122171946,0.0,37866.06122171946,0.0,37866.06122171946,0.0,37866.06122171946,0.0
50,1,2,101553.84072970194,0.0,101553.84072970194,0.0,101553.84072970194,0.0,101553.84072970194,0.0
50,1,4,62072.14191928821,0.0,62072.14191928821,0.0,62072.14191928821,0.0,62072.14191928821,0.0
50,2,2,49307.5294412428,2.0,49307.5294412428,2.0,49307.5294412428,2.0,49307.5294412428,2.0
75,3,5,19552.53693865396,0.0,19552.53693865396,0.0,19552.53693865396,0.0,19552.53693865396,0.0
100,1,2,50776.92036485097,0.0,50776.92036485097,0.0,50776.92036485097,0.0,50776.92036485097,0.0
100,1,4,35863.46806215396,0.0,35863.46806215396,0.0,35863.46806215396,0.0,35863.46806215396,0.0
100,2,2,25639.915309446253,0.0,25639.915309446253,0.0,25639.915309446253,0.0,25639.915309446253,0.0
115,4,2,10948.389340158006,1.0,10948.389340158006,1.0,10948.389340158006,1.0,10948.389340158006,1.0
287,1,6,12568.6955651617,1.0,12568.6955651617,1.0,12568.6955651617,1.0,12568.6955651617,1.0
400,1,2,12819.957654723126,0.0,12819.957654723126,0.0,12819.957654723126,0.0,12819.957654723126,0.0
400,1,4,9413.455555830607,16.0,9413.455555830607,16.0,9413.455555830607,16.0,9413.455555830607,16.0
400,2,2,6197.9952755905515,0.0,6197.9952755905515,0.0,6197.9952755905515,0.0,6197.9952755905515,0.0
439,1,9,7069.898606761345,11.0,7069.891255403458,9.0,7069.898606761345,11.0,7069.898606761345,11.0
1000,1,2,4886.067039106145,0.0,4886.067039106145,0.0,4886.067039106145,0.0,4886.067039106145,0.0
1000,1,4,3747.275648200442,0.0,3747.275648200442,0.0,3747.275648200442,0.0,3747.275648200442,0.0
1000,2,2,2351.6294587673196,0.0,2351.6294587673196,0.0,2351.6294587673196,0.0,2351.6294587673196,0.0
