pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods
10,1,2,233949.5550574713,233949.5550574713,139564.78723404257,23016.783962616828,0.0,0.0,0.0,86.0
10,1,4,154323.84072289156,9773.374634456455,136351.00772413792,136351.00772413792,0.0,182.0,0.0,0.0
10,2,2,98619.15502730483,23613.52193756232,59649.84969863013,23016.783962616828,0.0,38.0,0.0,38.0
17,7,7,17249.368831143147,11806.76096878116,9310.04084175066,11508.39198130841,0.0,9.0,0.0,9.0
50,1,2,46789.911002298846,46789.911002298846,27912.957446808512,23016.783962616828,0.0,0.0,0.0,46.0
50,1,4,36438.19313492531,9773.374634456455,27270.201550344827,27270.201550344827,0.0,142.0,0.0,0.0
50,2,2,22384.858080756636,11806.76096878116,11929.969940821918,11508.391981308414,0.0,46.0,0.0,46.0
75,3,5,9731.940320606484,7871.173979187442,4043.118875147013,7672.261320872273,0.0,21.0,0.0,21.0
100,1,2,22998.430831638416,15651.102993418952,13956.478723404256,11508.391981308414,0.0,46.0,0.0,92.0
100,1,4,18266.36866611629,9773.374634456455,13635.100775862069,13635.100775862069,0.0,92.0,0.0,0.0
100,2,2,11267.45792767733,7871.173979187441,5964.984970684931,7672.261320872272,0.0,44.0,0.0,44.0
115,4,2,4827.543090539642,4722.704387512465,2636.816657697553,4603.356792523365,0.0,5.0,0.0,5.0
287,1,6,5516.840768409819,5497.576758778382,4029.741111717205,5542.274900825561,0.0,1.0,0.0,1.0
400,1,2,5072.1824130517025,5236.146692644232,3489.119680851064,4603.356792523365,0.0,34.0,0.0,80.0
400,1,4,4647.296385396702,4152.255479479804,3408.7751939655172,3408.7751939655172,0.0,48.0,0.0,0.0
400,2,2,2821.563300826719,2623.724659729147,1491.2462426541097,2557.4204402907585,0.0,32.0,0.0,32.0
439,1,9,3098.778978918973,2605.0242144782924,967.6664854725394,2771.1374504127803,0.0,84.0,0.0,71.0
1000,1,2,2266.657089210451,2246.774474105442,1395.6478723404255,2092.4349056924384,0.0,10.0,0.0,56.0
1000,1,4,1844.2832487726891,1647.5811090160826,1363.510077586207,1363.510077586207,0.0,120.0,0.0,0.0
1000,2,2,1092.3870612543387,1032.4985258756458,596.4984970657534,1096.0373315531822,0.0,56.0,0.0,8.0
