pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,spotkube_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods,spotkube_excess_pods
1,1,1,1347921.2781456953,1069520.837060703,1347921.2781456953,924347.3098591549,1347921.2781456953,0.0,1.0,0.0,1.0,0.0
5,1,1,356506.9455094072,356506.9455094072,269584.2553642384,308115.77021387586,224724.8792792793,1.0,1.0,0.0,1.0,0.0
6,1,1,356506.9455094072,356506.9455094072,224653.54617365712,308115.77021387586,288709.0464616402,0.0,0.0,0.0,0.0,0.0
10,1,1,213904.16728434505,213904.16728434505,134792.12774834438,184869.4620657277,122398.54546008533,0.0,0.0,0.0,0.0,0.0
14,1,1,151956.4329485766,151956.4329485766,96280.0912285444,132049.61578997795,75777.41254156471,0.0,0.0,0.0,0.0,0.0
15,1,1,132735.93251883425,132735.93251883425,89861.41848417955,115543.41380575117,60439.78808743169,1.0,1.0,0.0,1.0,0.0
17,1,1,117831.7570691071,117831.7570691071,79289.48690391621,102705.25673795861,60820.53836087719,1.0,1.0,0.0,1.0,0.0
20,1,1,105936.71575949366,105936.71575949366,67396.0638576159,92434.73105633803,34053.20572660099,0.0,0.0,0.0,0.0,0.0
25,1,1,81311.6399824368,81311.6399824368,53916.85108344371,71103.63927549518,33982.167081807085,1.0,1.0,0.0,1.0,0.0
30,1,1,70401.68703119524,70401.68703119524,44930.709242089775,61623.154032342194,27806.450821100607,0.0,0.0,0.0,0.0,0.0
35,1,1,58606.44639453003,58606.44639453003,38512.03649141776,51352.62836173419,18275.358695546365,1.0,1.0,0.0,1.0,0.0
40,1,1,52718.11367322835,52718.11367322835,33698.03192880795,46217.365528169015,15790.22501527417,0.0,0.0,0.0,0.0,0.0
45,1,1,45575.01261243086,45274.54988180781,29953.80616139318,40189.013503199414,13150.649877313008,0.0,1.0,0.0,1.0,0.0
50,1,1,41427.54050977748,41379.483537700864,26958.42554437086,36973.89242065728,13169.086192294344,0.0,0.0,0.0,0.0,0.0
