InstanceType,AZ,vCPU,Memory,T3,SPS,IF,SpotPrice,OndemandPrice,CoreMark
c3.large,use1-az6,2,3.75,50,3,3.0,0.0303,0.105,21771.302000000003
c3.xlarge,use1-az2,4,7.5,50,3,3.0,0.0764,0.21,21771.302000000003
c3.xlarge,use1-az3,4,7.5,15,3,3.0,0.0715,0.21,21771.302000000003
c3.xlarge,use1-az4,4,7.5,50,3,3.0,0.0853,0.21,21771.302000000003
c3.xlarge,use1-az6,4,7.5,50,3,3.0,0.0764,0.21,21771.302000000003
c4.2xlarge,use1-az1,8,15.0,30,3,2.5,0.1651,0.398,24429.8238
c4.2xlarge,use1-az2,8,15.0,20,3,2.5,0.1662,0.398,24429.8238
c4.2xlarge,use1-az3,8,15.0,30,3,2.5,0.1723,0.398,24429.8238
c4.2xlarge,use1-az4,8,15.0,50,3,2.5,0.1518,0.398,24429.8238
c4.2xlarge,use1-az5,8,15.0,50,3,2.5,0.1312,0.398,24429.8238
c4.2xlarge,use1-az6,8,15.0,45,3,2.5,0.1427,0.398,24429.8238
c4.4xlarge,use1-az1,16,30.0,30,3,2.0,0.359,0.796,24429.8238
c4.4xlarge,use1-az2,16,30.0,50,3,2.0,0.3159,0.796,24429.8238
c4.4xlarge,use1-az3,16,30.0,20,3,2.0,0.3379,0.796,24429.8238
c4.4xlarge,use1-az4,16,30.0,50,3,2.0,0.2993,0.796,24429.8238
c4.4xlarge,use1-az5,16,30.0,45,3,2.0,0.3141,0.796,24429.8238
c4.4xlarge,use1-az6,16,30.0,40,3,2.0,0.3095,0.796,24429.8238
c4.8xlarge,use1-az1,36,60.0,5,3,2.0,0.5905,1.591,24429.8238
c4.8xlarge,use1-az2,36,60.0,35,3,2.0,0.5844,1.591,24429.8238
c4.8xlarge,use1-az3,36,60.0,40,3,2.0,0.5854,1.591,24429.8238
c4.8xlarge,use1-az4,36,60.0,25,3,2.0,0.6204,1.591,24429.8238
c4.8xlarge,use1-az5,36,60.0,50,3,2.0,0.6623,1.591,24429.8238
c4.8xlarge,use1-az6,36,60.0,30,3,2.0,0.6367,1.591,24429.8238
c4.large,use1-az1,2,3.75,50,3,2.0,0.0362,0.1,24429.8238
c4.large,use1-az2,2,3.75,50,3,2.0,0.041,0.1,24429.8238
c4.large,use1-az3,2,3.75,35,3,2.0,0.0971,0.1,24429.8238
c4.large,use1-az4,2,3.75,50,3,2.0,0.0431,0.1,24429.8238
c4.large,use1-az5,2,3.75,50,3,2.0,0.0374,0.1,24429.8238
c4.large,use1-az6,2,3.75,50,3,2.0,0.0381,0.1,24429.8238
c4.xlarge,use1-az1,4,7.5,50,3,2.5,0.0599,0.199,24429.8238
c4.xlarge,use1-az2,4,7.5,50,3,2.5,0.0581,0.199,24429.8238
c4.xlarge,use1-az3,4,7.5,50,3,2.5,0.0718,0.199,24429.8238
c4.xlarge,use1-az4,4,7.5,50,3,2.5,0.06,0.199,24429.8238
c4.xlarge,use1-az5,4,7.5,50,3,2.5,0.0678,0.199,24429.8238
c4.xlarge,use1-az6,4,7.5,50,3,2.5,0.0567,0.199,24429.8238
c5.12xlarge,use1-az1,48,96.0,50,3,1.5,0.8398,2.04,24562.482727272727
c5.12xlarge,use1-az2,48,96.0,50,3,1.5,0.7472,2.04,24562.482727272727
c5.12xlarge,use1-az4,48,96.0,50,3,1.5,0.67,2.04,24562.482727272727
c5.12xlarge,use1-az5,48,96.0,50,3,1.5,0.9855,2.04,24562.482727272727
c5.12xlarge,use1-az6,48,96.0,50,3,1.5,0.7492,2.04,24562.482727272727
c5.18xlarge,use1-az1,72,144.0,10,3,1.0,1.1638,3.06,24562.482727272727
c5.18xlarge,use1-az2,72,144.0,50,3,1.0,1.0265,3.06,24562.482727272727
c5.18xlarge,use1-az4,72,144.0,50,3,1.0,1.0389,3.06,24562.482727272727
c5.18xlarge,use1-az5,72,144.0,35,3,1.0,0.9824,3.06,24562.482727272727
c5.18xlarge,use1-az6,72,144.0,50,3,1.0,1.0263,3.06,24562.482727272727
c5.24xlarge,use1-az1,96,192.0,0,1,1.5,1.4814,4.08,24562.482727272727
c5.24xlarge,use1-az2,96,192.0,20,3,1.5,1.2342,4.08,24562.482727272727
c5.24xlarge,use1-az4,96,192.0,50,3,1.5,1.2159,4.08,24562.482727272727
c5.24xlarge,use1-az5,96,192.0,15,3,1.5,1.7016,4.08,24562.482727272727
c5.24xlarge,use1-az6,96,192.0,45,3,1.5,1.2711,4.08,24562.482727272727
c5.2xlarge,use1-az1,8,16.0,50,3,1.0,0.138,0.34,24562.482727272727
c5.2xlarge,use1-az2,8,16.0,50,3,1.0,0.1388,0.34,24562.482727272727
c5.2xlarge,use1-az4,8,16.0,50,3,1.0,0.1361,0.34,24562.482727272727
c5.2xlarge,use1-az5,8,16.0,50,3,1.0,0.1565,0.34,24562.482727272727
c5.2xlarge,use1-az6,8,16.0,50,3,1.0,0.1299,0.34,24562.482727272727
c5.4xlarge,use1-az1,16,32.0,50,3,1.0,0.2404,0.68,24562.482727272727
c5.4xlarge,use1-az2,16,32.0,50,3,1.0,0.1902,0.68,24562.482727272727
c5.4xlarge,use1-az4,16,32.0,50,3,1.0,0.1938,0.68,24562.482727272727
c5.4xlarge,use1-az5,16,32.0,50,3,1.0,0.3286,0.68,24562.482727272727
c5.4xlarge,use1-az6,16,32.0,50,3,1.0,0.2116,0.68,24562.482727272727
c5.9xlarge,use1-az1,36,72.0,50,3,2.0,0.6963,1.53,24562.482727272727
c5.9xlarge,use1-az2,36,72.0,50,3,2.0,0.6625,1.53,24562.482727272727
c5.9xlarge,use1-az4,36,72.0,50,3,2.0,0.6289,1.53,24562.482727272727
c5.9xlarge,use1-az5,36,72.0,50,3,2.0,0.7457,1.53,24562.482727272727
c5.9xlarge,use1-az6,36,72.0,50,3,2.0,0.6183,1.53,24562.482727272727
c5.large,use1-az1,2,4.0,50,3,1.0,0.038,0.085,24562.482727272727
c5.large,use1-az2,2,4.0,50,3,1.0,0.0323,0.085,24562.482727272727
c5.large,use1-az4,2,4.0,50,3,1.0,0.0292,0.085,24562.482727272727
c5.large,use1-az5,2,4.0,50,3,1.0,0.0341,0.085,24562.482727272727
c5.large,use1-az6,2,4.0,50,3,1.0,0.0307,0.085,24562.482727272727
c5.xlarge,use1-az1,4,8.0,50,3,2.0,0.0868,0.17,24562.482727272727
c5.xlarge,use1-az2,4,8.0,50,3,2.0,0.085,0.17,24562.482727272727
c5.xlarge,use1-az4,4,8.0,50,3,2.0,0.0708,0.17,24562.482727272727
c5.xlarge,use1-az5,4,8.0,50,3,2.0,0.0722,0.17,24562.482727272727
c5.xlarge,use1-az6,4,8.0,50,3,2.0,0.0677,0.17,24562.482727272727
c5a.12xlarge,use1-az1,48,96.0,15,3,1.0,0.6051,1.848,23409.6225
c5a.12xlarge,use1-az2,48,96.0,5,3,1.0,0.8043,1.848,23409.6225
c5a.12xlarge,use1-az4,48,96.0,50,3,1.0,0.6445,1.848,23409.6225
c5a.12xlarge,use1-az5,48,96.0,10,3,1.0,0.8253,1.848,23409.6225
c5a.12xlarge,use1-az6,48,96.0,30,3,1.0,0.7224,1.848,23409.6225
c5a.16xlarge,use1-az1,64,128.0,1,3,1.0,0.9864,2.464,23409.6225
c5a.16xlarge,use1-az2,64,128.0,1,3,1.0,1.0703,2.464,23409.6225
c5a.16xlarge,use1-az4,64,128.0,5,3,1.0,1.0347,2.464,23409.6225
c5a.16xlarge,use1-az5,64,128.0,0,2,1.0,1.0508,2.464,23409.6225
c5a.16xlarge,use1-az6,64,128.0,1,3,1.0,1.0641,2.464,23409.6225
c5a.24xlarge,use1-az1,96,192.0,5,3,1.0,1.3103,3.696,23409.6225
c5a.24xlarge,use1-az2,96,192.0,1,3,1.0,1.6226,3.696,23409.6225
c5a.24xlarge,use1-az4,96,192.0,10,3,1.0,1.3573,3.696,23409.6225
c5a.24xlarge,use1-az5,96,192.0,1,3,1.0,1.2331,3.696,23409.6225
c5a.24xlarge,use1-az6,96,192.0,1,3,1.0,1.4049,3.696,23409.6225
c5a.2xlarge,use1-az1,8,16.0,50,3,3.0,0.1341,0.308,23409.6225
c5a.2xlarge,use1-az2,8,16.0,50,3,3.0,0.171,0.308,23409.6225
c5a.2xlarge,use1-az4,8,16.0,50,3,3.0,0.1758,0.308,23409.6225
c5a.2xlarge,use1-az5,8,16.0,50,3,3.0,0.1568,0.308,23409.6225
c5a.2xlarge,use1-az6,8,16.0,50,3,3.0,0.1624,0.308,23409.6225
c5a.4xlarge,use1-az1,16,32.0,15,3,1.5,0.309,0.616,23409.6225
c5a.4xlarge,use1-az2,16,32.0,30,3,1.5,0.2819,0.616,23409.6225
c5a.4xlarge,use1-az4,16,32.0,50,3,1.5,0.2766,0.616,23409.6225
c5a.4xlarge,use1-az5,16,32.0,25,3,1.5,0.2343,0.616,23409.6225
c5a.4xlarge,use1-az6,16,32.0,50,3,1.5,0.2608,0.616,23409.6225
c5a.8xlarge,use1-az1,32,64.0,10,3,1.5,0.4451,1.232,23409.6225
c5a.8xlarge,use1-az2,32,64.0,10,3,1.5,0.4933,1.232,23409.6225
c5a.8xlarge,use1-az4,32,64.0,30,3,1.5,0.4753,1.232,23409.6225
c5a.8xlarge,use1-az5,32,64.0,20,3,1.5,0.4058,1.232,23409.6225
c5a.8xlarge,use1-az6,32,64.0,40,3,1.5,0.4146,1.232,23409.6225
c5a.large,use1-az1,2,4.0,50,3,2.0,0.0345,0.077,23409.6225
c5a.large,use1-az2,2,4.0,50,3,2.0,0.0307,0.077,23409.6225
c5a.large,use1-az4,2,4.0,50,3,2.0,0.03,0.077,23409.6225
c5a.large,use1-az5,2,4.0,50,3,2.0,0.0255,0.077,23409.6225
c5a.large,use1-az6,2,4.0,50,3,2.0,0.0269,0.077,23409.6225
c5a.xlarge,use1-az1,4,8.0,50,3,3.0,0.0825,0.154,23409.6225
c5a.xlarge,use1-az2,4,8.0,50,3,3.0,0.0767,0.154,23409.6225
c5a.xlarge,use1-az4,4,8.0,50,3,3.0,0.0757,0.154,23409.6225
c5a.xlarge,use1-az5,4,8.0,50,3,3.0,0.0638,0.154,23409.6225
c5a.xlarge,use1-az6,4,8.0,50,3,3.0,0.0705,0.154,23409.6225
c5ad.12xlarge,use1-az1,48,96.0,5,3,1.0,0.9265,2.064,23409.6225
c5ad.12xlarge,use1-az2,48,96.0,20,3,1.0,0.7118,2.064,23409.6225
c5ad.12xlarge,use1-az4,48,96.0,10,3,1.0,0.6585,2.064,23409.6225
c5ad.12xlarge,use1-az5,48,96.0,1,3,1.0,0.713,2.064,23409.6225
c5ad.12xlarge,use1-az6,48,96.0,5,3,1.0,0.6183,2.064,23409.6225
c5ad.16xlarge,use1-az1,64,128.0,1,3,2.0,0.9943,2.752,23409.6225
c5ad.16xlarge,use1-az2,64,128.0,1,3,2.0,0.9333,2.752,23409.6225
c5ad.16xlarge,use1-az4,64,128.0,0,1,2.0,0.8043,2.752,23409.6225
c5ad.16xlarge,use1-az5,64,128.0,1,3,2.0,0.9516,2.752,23409.6225
c5ad.16xlarge,use1-az6,64,128.0,1,3,2.0,0.9156,2.752,23409.6225
c5ad.24xlarge,use1-az1,96,192.0,1,3,1.0,1.2854,4.128,23409.6225
c5ad.24xlarge,use1-az2,96,192.0,1,3,1.0,1.4292,4.128,23409.6225
c5ad.24xlarge,use1-az4,96,192.0,0,1,1.0,1.2895,4.128,23409.6225
c5ad.24xlarge,use1-az5,96,192.0,1,3,1.0,1.2282,4.128,23409.6225
c5ad.24xlarge,use1-az6,96,192.0,1,3,1.0,1.4071,4.128,23409.6225
c5ad.2xlarge,use1-az1,8,16.0,10,3,1.5,0.1859,0.344,23409.6225
c5ad.2xlarge,use1-az2,8,16.0,10,3,1.5,0.1702,0.344,23409.6225
c5ad.2xlarge,use1-az4,8,16.0,15,3,1.5,0.1484,0.344,23409.6225
c5ad.2xlarge,use1-az5,8,16.0,5,3,1.5,0.1497,0.344,23409.6225
c5ad.2xlarge,use1-az6,8,16.0,20,3,1.5,0.1574,0.344,23409.6225
c5ad.4xlarge,use1-az1,16,32.0,5,3,1.5,0.261,0.688,23409.6225
c5ad.4xlarge,use1-az2,16,32.0,5,3,1.5,0.2715,0.688,23409.6225
c5ad.4xlarge,use1-az4,16,32.0,5,3,1.5,0.2506,0.688,23409.6225
c5ad.4xlarge,use1-az5,16,32.0,1,3,1.5,0.2533,0.688,23409.6225
