InstanceType,AZ,vCPU,Memory,T3,SPS,IF,SpotPrice,OndemandPrice,CoreMark
a1.2xlarge,apne1-az2,8,16.0,0,1,1.0,0.2568,0.2568,11831.62
a1.2xlarge,apne1-az4,8,16.0,0,1,1.0,0.2568,0.2568,11831.62
a1.4xlarge,apne1-az2,16,32.0,0,1,1.0,0.5136,0.5136,11831.62
a1.4xlarge,apne1-az4,16,32.0,0,1,1.0,0.5136,0.5136,11831.62
a1.large,apne1-az2,2,4.0,0,1,1.0,0.0642,0.0642,11831.62
a1.large,apne1-az4,2,4.0,0,1,1.0,0.0642,0.0642,11831.62
a1.medium,apne1-az2,1,2.0,0,1,1.0,0.0321,0.0321,11831.62
a1.medium,apne1-az4,1,2.0,0,1,1.0,0.0321,0.0321,11831.62
a1.xlarge,apne1-az2,4,8.0,0,1,1.0,0.1284,0.1284,11831.62
a1.xlarge,apne1-az4,4,8.0,0,1,1.0,0.1284,0.1284,11831.62
c1.medium,apne1-az1,2,1.69921875,0,1,1.0,0.0459,0.158,16256.0445
c1.medium,apne1-az4,2,1.69921875,0,1,1.0,0.158,0.158,16256.0445
c1.xlarge,apne1-az1,8,7.0,0,2,1.0,0.1463,0.632,16256.0445
c1.xlarge,apne1-az4,8,7.0,0,2,1.0,0.1965,0.632,16256.0445
c3.2xlarge,apne1-az1,8,15.0,10,3,3.0,0.1772,0.511,21771.302000000003
c3.2xlarge,apne1-az4,8,15.0,20,3,3.0,0.1816,0.511,21771.302000000003
c3.4xlarge,apne1-az1,16,30.0,10,3,3.0,0.3724,1.021,21771.302000000003
c3.4xlarge,apne1-az4,16,30.0,10,3,3.0,0.4607,1.021,21771.302000000003
c3.8xlarge,apne1-az1,32,60.0,1,3,3.0,0.8853,2.043,21771.302000000003
c3.8xlarge,apne1-az4,32,60.0,1,3,3.0,0.796,2.043,21771.302000000003
c3.large,apne1-az1,2,3.75,40,3,2.5,0.0461,0.128,21771.302000000003
c3.large,apne1-az4,2,3.75,35,3,2.5,0.0517,0.128,21771.302000000003
c3.xlarge,apne1-az1,4,7.5,20,3,3.0,0.1017,0.255,21771.302000000003
c3.xlarge,apne1-az4,4,7.5,35,3,3.0,0.0986,0.255,21771.302000000003
c4.2xlarge,apne1-az1,8,15.0,15,3,1.5,0.1704,0.504,24429.8238
c4.2xlarge,apne1-az2,8,15.0,25,3,1.5,0.1667,0.504,24429.8238
c4.2xlarge,apne1-az4,8,15.0,15,3,1.5,0.1596,0.504,24429.8238
c4.4xlarge,apne1-az1,16,30.0,15,3,1.0,0.349,1.008,24429.8238
c4.4xlarge,apne1-az2,16,30.0,15,3,1.0,0.3616,1.008,24429.8238
c4.4xlarge,apne1-az4,16,30.0,15,3,1.0,0.3443,1.008,24429.8238
c4.8xlarge,apne1-az1,36,60.0,5,3,2.5,0.6799,2.016,24429.8238
c4.8xlarge,apne1-az2,36,60.0,10,3,2.5,0.6754,2.016,24429.8238
c4.8xlarge,apne1-az4,36,60.0,5,3,2.5,0.6636,2.016,24429.8238
c4.large,apne1-az1,2,3.75,25,3,1.5,0.0476,0.126,24429.8238
c4.large,apne1-az2,2,3.75,25,3,1.5,0.0475,0.126,24429.8238
c4.large,apne1-az4,2,3.75,25,3,1.5,0.0415,0.126,24429.8238
c4.xlarge,apne1-az1,4,7.5,40,3,2.0,0.0941,0.252,24429.8238
c4.xlarge,apne1-az2,4,7.5,50,3,2.0,0.0924,0.252,24429.8238
c4.xlarge,apne1-az4,4,7.5,40,3,2.0,0.0709,0.252,24429.8238
c5.12xlarge,apne1-az1,48,96.0,35,3,2.0,0.8198,2.568,24562.482727272727
c5.12xlarge,apne1-az2,48,96.0,40,3,2.0,0.882,2.568,24562.482727272727
c5.12xlarge,apne1-az4,48,96.0,50,3,2.0,0.8776,2.568,24562.482727272727
c5.18xlarge,apne1-az1,72,144.0,50,3,2.5,0.7941,3.852,24562.482727272727
c5.18xlarge,apne1-az2,72,144.0,15,3,2.5,1.3818,3.852,24562.482727272727
c5.18xlarge,apne1-az4,72,144.0,15,3,2.5,0.764,3.852,24562.482727272727
c5.24xlarge,apne1-az1,96,192.0,5,3,3.0,1.3102,5.136,24562.482727272727
c5.24xlarge,apne1-az2,96,192.0,5,3,3.0,1.3979,5.136,24562.482727272727
c5.24xlarge,apne1-az4,96,192.0,10,3,3.0,1.0158,5.136,24562.482727272727
c5.2xlarge,apne1-az1,8,16.0,50,3,2.0,0.1403,0.428,24562.482727272727
c5.2xlarge,apne1-az2,8,16.0,30,3,2.0,0.1849,0.428,24562.482727272727
c5.2xlarge,apne1-az4,8,16.0,50,3,2.0,0.1661,0.428,24562.482727272727
c5.4xlarge,apne1-az1,16,32.0,50,3,2.5,0.234,0.856,24562.482727272727
c5.4xlarge,apne1-az2,16,32.0,50,3,2.5,0.315,0.856,24562.482727272727
c5.4xlarge,apne1-az4,16,32.0,50,3,2.5,0.1944,0.856,24562.482727272727
c5.9xlarge,apne1-az1,36,72.0,50,3,2.0,0.6759,1.926,24562.482727272727
c5.9xlarge,apne1-az2,36,72.0,15,3,2.0,0.7972,1.926,24562.482727272727
c5.9xlarge,apne1-az4,36,72.0,30,3,2.0,0.6879,1.926,24562.482727272727
c5.large,apne1-az1,2,4.0,50,3,2.5,0.0299,0.107,24562.482727272727
c5.large,apne1-az2,2,4.0,50,3,2.5,0.0398,0.107,24562.482727272727
c5.large,apne1-az4,2,4.0,50,3,2.5,0.0369,0.107,24562.482727272727
c5.xlarge,apne1-az1,4,8.0,50,3,2.5,0.0681,0.214,24562.482727272727
c5.xlarge,apne1-az2,4,8.0,50,3,2.5,0.0883,0.214,24562.482727272727
c5.xlarge,apne1-az4,4,8.0,50,3,2.5,0.0701,0.214,24562.482727272727
c5a.12xlarge,apne1-az1,48,96.0,1,3,3.0,1.0291,2.304,23409.6225
c5a.12xlarge,apne1-az4,48,96.0,1,3,3.0,0.9492,2.304,23409.6225
c5a.16xlarge,apne1-az1,64,128.0,1,3,3.0,1.2242,3.072,23409.6225
c5a.16xlarge,apne1-az4,64,128.0,1,3,3.0,1.2456,3.072,23409.6225
c5a.24xlarge,apne1-az1,96,192.0,1,3,3.0,1.3111,4.608,23409.6225
c5a.24xlarge,apne1-az4,96,192.0,1,3,3.0,1.4585,4.608,23409.6225
c5a.2xlarge,apne1-az1,8,16.0,40,3,3.0,0.1796,0.384,23409.6225
c5a.2xlarge,apne1-az4,8,16.0,15,3,3.0,0.1858,0.384,23409.6225
c5a.4xlarge,apne1-az1,16,32.0,10,3,2.5,0.3782,0.768,23409.6225
c5a.4xlarge,apne1-az4,16,32.0,10,3,2.5,0.3582,0.768,23409.6225
c5a.8xlarge,apne1-az1,32,64.0,5,3,3.0,0.6263,1.536,23409.6225
c5a.8xlarge,apne1-az4,32,64.0,10,3,3.0,0.8066,1.536,23409.6225
c5a.large,apne1-az1,2,4.0,50,3,3.0,0.0425,0.096,23409.6225
c5a.large,apne1-az4,2,4.0,50,3,3.0,0.0402,0.096,23409.6225
c5a.xlarge,apne1-az1,4,8.0,50,3,3.0,0.0841,0.192,23409.6225
c5a.xlarge,apne1-az4,4,8.0,50,3,3.0,0.0869,0.192,23409.6225
c5d.12xlarge,apne1-az1,48,96.0,1,3,2.0,0.8872,2.928,24562.482727272727
c5d.12xlarge,apne1-az2,48,96.0,1,3,2.0,0.9935,2.928,24562.482727272727
c5d.12xlarge,apne1-az4,48,96.0,1,3,2.0,0.7565,2.928,24562.482727272727
c5d.18xlarge,apne1-az1,72,144.0,30,3,3.0,1.1101,4.392,24562.482727272727
c5d.18xlarge,apne1-az2,72,144.0,5,3,3.0,2.0546,4.392,24562.482727272727
c5d.18xlarge,apne1-az4,72,144.0,20,3,3.0,0.822,4.392,24562.482727272727
c5d.24xlarge,apne1-az1,96,192.0,0,2,2.5,1.1837,5.856,24562.482727272727
c5d.24xlarge,apne1-az2,96,192.0,1,3,2.5,1.2148,5.856,24562.482727272727
c5d.24xlarge,apne1-az4,96,192.0,1,3,2.5,1.078,5.856,24562.482727272727
c5d.2xlarge,apne1-az1,8,16.0,50,3,2.0,0.1828,0.488,24562.482727272727
c5d.2xlarge,apne1-az2,8,16.0,5,3,2.0,0.2348,0.488,24562.482727272727
c5d.2xlarge,apne1-az4,8,16.0,15,3,2.0,0.2223,0.488,24562.482727272727
c5d.4xlarge,apne1-az1,16,32.0,25,3,3.0,0.3829,0.976,24562.482727272727
c5d.4xlarge,apne1-az2,16,32.0,20,3,3.0,0.3791,0.976,24562.482727272727
c5d.4xlarge,apne1-az4,16,32.0,25,3,3.0,0.3771,0.976,24562.482727272727
c5d.9xlarge,apne1-az1,36,72.0,15,3,2.0,0.6988,2.196,24562.482727272727
c5d.9xlarge,apne1-az2,36,72.0,1,3,2.0,0.7317,2.196,24562.482727272727
c5d.9xlarge,apne1-az4,36,72.0,1,3,2.0,0.8361,2.196,24562.482727272727
c5d.large,apne1-az1,2,4.0,50,3,3.0,0.0414,0.122,24562.482727272727
c5d.large,apne1-az2,2,4.0,25,3,3.0,0.0461,0.122,24562.482727272727
c5d.large,apne1-az4,2,4.0,50,3,3.0,0.0406,0.122,24562.482727272727
c5d.xlarge,apne1-az1,4,8.0,50,3,2.0,0.0874,0.244,24562.482727272727
c5d.xlarge,apne1-az2,4,8.0,15,3,2.0,0.1012,0.244,24562.482727272727
c5d.xlarge,apne1-az4,4,8.0,50,3,2.0,0.0952,0.244,24562.482727272727
c5n.18xlarge,apne1-az1,72,192.0,1,3,1.0,1.0045,4.896,24562.482727272727
c5n.18xlarge,apne1-az2,72,192.0,0,1,1.0,0.9069,4.896,24562.482727272727
c5n.18xlarge,apne1-az4,72,192.0,0,1,1.0,0.8565,4.896,24562.482727272727
c5n.2xlarge,apne1-az1,8,21.0,5,3,1.0,0.207,0.544,24562.482727272727
c5n.2xlarge,apne1-az2,8,21.0,1,3,1.0,0.1989,0.544,24562.482727272727
c5n.2xlarge,apne1-az4,8,21.0,1,3,1.0,0.2763,0.544,24562.482727272727
c5n.4xlarge,apne1-az1,16,42.0,5,3,1.0,0.3618,1.088,24562.482727272727
c5n.4xlarge,apne1-az2,16,42.0,1,3,1.0,0.3125,1.088,24562.482727272727
c5n.4xlarge,apne1-az4,16,42.0,0,1,1.0,0.3492,1.088,24562.482727272727
c5n.9xlarge,apne1-az1,36,96.0,1,3,1.0,0.9505,2.448,24562.482727272727
c5n.9xlarge,apne1-az2,36,96.0,0,1,1.0,0.6101,2.448,24562.482727272727
c5n.9xlarge,apne1-az4,36,96.0,0,1,1.0,0.7473,2.448,24562.482727272727
c5n.large,apne1-az1,2,5.25,5,3,2.5,0.0433,0.136,24562.482727272727
c5n.large,apne1-az2,2,5.25,1,3,2.5,0.0433,0.136,24562.482727272727
c5n.large,apne1-az4,2,5.25,1,3,2.5,0.0481,0.136,24562.482727272727
c5n.xlarge,apne1-az1,4,10.5,1,3,1.0,0.0917,0.272,24562.482727272727
c5n.xlarge,apne1-az2,4,10.5,1,3,1.0,0.1034,0.272,24562.482727272727
c5n.xlarge,apne1-az4,4,10.5,1,3,1.0,0.1003,0.272,24562.482727272727
c6a.12xlarge,apne1-az1,48,96.0,20,3,3.0,1.0989,2.3112,30360.9206
c6a.12xlarge,apne1-az2,48,96.0,1,3,3.0,0.9079,2.3112,30360.9206
c6a.12xlarge,apne1-az4,48,96.0,5,3,3.0,1.0554,2.3112,30360.9206
c6a.16xlarge,apne1-az1,64,128.0,5,3,3.0,1.3577,3.0816,30360.9206
c6a.16xlarge,apne1-az2,64,128.0,1,3,3.0,1.425,3.0816,30360.9206
c6a.16xlarge,apne1-az4,64,128.0,1,3,3.0,1.2323,3.0816,30360.9206
c6a.24xlarge,apne1-az1,96,192.0,5,3,2.5,1.3179,4.6224,30360.9206
c6a.24xlarge,apne1-az2,96,192.0,1,3,2.5,1.2414,4.6224,30360.9206
c6a.24xlarge,apne1-az4,96,192.0,1,3,2.5,1.5075,4.6224,30360.9206
c6a.2xlarge,apne1-az1,8,16.0,50,3,3.0,0.2226,0.3852,30360.9206
c6a.2xlarge,apne1-az2,8,16.0,35,3,3.0,0.1916,0.3852,30360.9206
c6a.2xlarge,apne1-az4,8,16.0,15,3,3.0,0.2061,0.3852,30360.9206
c6a.32xlarge,apne1-az1,128,256.0,1,3,3.0,1.3206,6.1632,30360.9206
c6a.32xlarge,apne1-az2,128,256.0,1,3,3.0,1.6216,6.1632,30360.9206
c6a.32xlarge,apne1-az4,128,256.0,1,3,3.0,1.8134,6.1632,30360.9206
c6a.48xlarge,apne1-az1,192,384.0,5,3,3.0,1.6707,9.2448,30360.9206
c6a.48xlarge,apne1-az2,192,384.0,1,3,3.0,1.818,9.2448,30360.9206
c6a.48xlarge,apne1-az4,192,384.0,1,3,3.0,2.7419,9.2448,30360.9206
c6a.4xlarge,apne1-az1,16,32.0,50,3,3.0,0.3642,0.7704,30360.9206
c6a.4xlarge,apne1-az2,16,32.0,10,3,3.0,0.3342,0.7704,30360.9206
c6a.4xlarge,apne1-az4,16,32.0,15,3,3.0,0.357,0.7704,30360.9206
c6a.8xlarge,apne1-az1,32,64.0,25,3,3.0,0.7081,1.5408,30360.9206
