InstanceType,AZ,vCPU,Memory,T3,SPS,IF,SpotPrice,OndemandPrice,CoreMark
a1.2xlarge,euw1-az1,8,16.0,0,1,1.0,0.2304,0.2304,11831.62
a1.2xlarge,euw1-az2,8,16.0,0,1,1.0,0.2304,0.2304,11831.62
a1.4xlarge,euw1-az1,16,32.0,0,1,1.0,0.4608,0.4608,11831.62
a1.4xlarge,euw1-az2,16,32.0,0,1,1.0,0.4608,0.4608,11831.62
a1.large,euw1-az1,2,4.0,0,1,1.0,0.0576,0.0576,11831.62
a1.large,euw1-az2,2,4.0,0,1,1.0,0.0428,0.0576,11831.62
a1.medium,euw1-az1,1,2.0,0,1,1.0,0.0288,0.0288,11831.62
a1.medium,euw1-az2,1,2.0,0,1,1.0,0.0288,0.0288,11831.62
a1.xlarge,euw1-az1,4,8.0,0,1,1.0,0.1152,0.1152,11831.62
a1.xlarge,euw1-az2,4,8.0,0,1,1.0,0.1152,0.1152,11831.62
c1.medium,euw1-az1,2,1.69921875,10,3,1.0,0.0638,0.148,16256.0445
c1.medium,euw1-az2,2,1.69921875,5,3,1.0,0.0588,0.148,16256.0445
c1.medium,euw1-az3,2,1.69921875,5,3,1.0,0.0578,0.148,16256.0445
c1.xlarge,euw1-az1,8,7.0,5,3,1.0,0.2493,0.592,16256.0445
c1.xlarge,euw1-az2,8,7.0,1,3,1.0,0.269,0.592,16256.0445
c1.xlarge,euw1-az3,8,7.0,1,3,1.0,0.2545,0.592,16256.0445
c3.2xlarge,euw1-az1,8,15.0,10,3,3.0,0.228,0.478,21771.302000000003
c3.2xlarge,euw1-az2,8,15.0,15,3,3.0,0.2711,0.478,21771.302000000003
c3.2xlarge,euw1-az3,8,15.0,10,3,3.0,0.2263,0.478,21771.302000000003
c3.4xlarge,euw1-az1,16,30.0,5,3,2.5,0.447,0.956,21771.302000000003
c3.4xlarge,euw1-az2,16,30.0,5,3,2.5,0.3943,0.956,21771.302000000003
c3.4xlarge,euw1-az3,16,30.0,5,3,2.5,0.452,0.956,21771.302000000003
c3.8xlarge,euw1-az1,32,60.0,5,3,2.5,0.7914,1.912,21771.302000000003
c3.8xlarge,euw1-az2,32,60.0,1,3,2.5,0.8375,1.912,21771.302000000003
c3.8xlarge,euw1-az3,32,60.0,1,3,2.5,0.8361,1.912,21771.302000000003
c3.large,euw1-az1,2,3.75,50,3,1.5,0.0539,0.12,21771.302000000003
c3.large,euw1-az2,2,3.75,45,3,1.5,0.0607,0.12,21771.302000000003
c3.large,euw1-az3,2,3.75,50,3,1.5,0.0534,0.12,21771.302000000003
c3.xlarge,euw1-az1,4,7.5,30,3,3.0,0.1201,0.239,21771.302000000003
c3.xlarge,euw1-az2,4,7.5,30,3,3.0,0.1236,0.239,21771.302000000003
c3.xlarge,euw1-az3,4,7.5,25,3,3.0,0.1206,0.239,21771.302000000003
c4.2xlarge,euw1-az1,8,15.0,50,3,3.0,0.2157,0.453,24429.8238
c4.2xlarge,euw1-az2,8,15.0,50,3,3.0,0.2473,0.453,24429.8238
c4.2xlarge,euw1-az3,8,15.0,50,3,3.0,0.2202,0.453,24429.8238
c4.4xlarge,euw1-az1,16,30.0,35,3,3.0,0.4069,0.905,24429.8238
c4.4xlarge,euw1-az2,16,30.0,50,3,3.0,0.4004,0.905,24429.8238
c4.4xlarge,euw1-az3,16,30.0,50,3,3.0,0.3981,0.905,24429.8238
c4.8xlarge,euw1-az1,36,60.0,50,3,3.0,0.7885,1.811,24429.8238
c4.8xlarge,euw1-az2,36,60.0,40,3,3.0,0.7889,1.811,24429.8238
c4.8xlarge,euw1-az3,36,60.0,50,3,3.0,0.7898,1.811,24429.8238
c4.large,euw1-az1,2,3.75,50,3,3.0,0.0587,0.113,24429.8238
c4.large,euw1-az2,2,3.75,50,3,3.0,0.0607,0.113,24429.8238
c4.large,euw1-az3,2,3.75,50,3,3.0,0.0599,0.113,24429.8238
c4.xlarge,euw1-az1,4,7.5,50,3,3.0,0.1148,0.226,24429.8238
c4.xlarge,euw1-az2,4,7.5,50,3,3.0,0.1197,0.226,24429.8238
c4.xlarge,euw1-az3,4,7.5,50,3,3.0,0.1135,0.226,24429.8238
c5.12xlarge,euw1-az1,48,96.0,50,3,3.0,0.9405,2.304,24562.482727272727
c5.12xlarge,euw1-az2,48,96.0,50,3,3.0,0.9566,2.304,24562.482727272727
c5.12xlarge,euw1-az3,48,96.0,50,3,3.0,0.9342,2.304,24562.482727272727
c5.18xlarge,euw1-az1,72,144.0,50,3,3.0,1.3411,3.456,24562.482727272727
c5.18xlarge,euw1-az2,72,144.0,50,3,3.0,1.4348,3.456,24562.482727272727
c5.18xlarge,euw1-az3,72,144.0,50,3,3.0,1.3913,3.456,24562.482727272727
c5.24xlarge,euw1-az1,96,192.0,50,3,3.0,1.6219,4.608,24562.482727272727
c5.24xlarge,euw1-az2,96,192.0,50,3,3.0,1.9342,4.608,24562.482727272727
c5.24xlarge,euw1-az3,96,192.0,50,3,3.0,1.8201,4.608,24562.482727272727
c5.2xlarge,euw1-az1,8,16.0,50,3,3.0,0.2139,0.384,24562.482727272727
c5.2xlarge,euw1-az2,8,16.0,50,3,3.0,0.2242,0.384,24562.482727272727
c5.2xlarge,euw1-az3,8,16.0,50,3,3.0,0.2186,0.384,24562.482727272727
c5.4xlarge,euw1-az1,16,32.0,50,3,3.0,0.3965,0.768,24562.482727272727
c5.4xlarge,euw1-az2,16,32.0,50,3,3.0,0.3884,0.768,24562.482727272727
c5.4xlarge,euw1-az3,16,32.0,50,3,3.0,0.388,0.768,24562.482727272727
c5.9xlarge,euw1-az1,36,72.0,50,3,3.0,0.8573,1.728,24562.482727272727
c5.9xlarge,euw1-az2,36,72.0,50,3,3.0,0.78,1.728,24562.482727272727
c5.9xlarge,euw1-az3,36,72.0,50,3,3.0,0.7815,1.728,24562.482727272727
c5.large,euw1-az1,2,4.0,50,3,3.0,0.0585,0.096,24562.482727272727
c5.large,euw1-az2,2,4.0,50,3,3.0,0.0622,0.096,24562.482727272727
c5.large,euw1-az3,2,4.0,50,3,3.0,0.0598,0.096,24562.482727272727
c5.xlarge,euw1-az1,4,8.0,50,3,3.0,0.1149,0.192,24562.482727272727
c5.xlarge,euw1-az2,4,8.0,50,3,3.0,0.1207,0.192,24562.482727272727
c5.xlarge,euw1-az3,4,8.0,50,3,3.0,0.1191,0.192,24562.482727272727
c5a.12xlarge,euw1-az1,48,96.0,25,3,3.0,0.9457,2.064,23409.6225
c5a.12xlarge,euw1-az2,48,96.0,5,3,3.0,0.9598,2.064,23409.6225
c5a.12xlarge,euw1-az3,48,96.0,50,3,3.0,0.9495,2.064,23409.6225
c5a.16xlarge,euw1-az1,64,128.0,15,3,3.0,1.3613,2.752,23409.6225
c5a.16xlarge,euw1-az2,64,128.0,10,3,3.0,1.363,2.752,23409.6225
c5a.16xlarge,euw1-az3,64,128.0,10,3,3.0,1.3294,2.752,23409.6225
c5a.24xlarge,euw1-az1,96,192.0,50,3,3.0,1.6527,4.128,23409.6225
c5a.24xlarge,euw1-az2,96,192.0,15,3,3.0,1.7193,4.128,23409.6225
c5a.24xlarge,euw1-az3,96,192.0,25,3,3.0,1.6568,4.128,23409.6225
c5a.2xlarge,euw1-az1,8,16.0,50,3,3.0,0.2023,0.344,23409.6225
c5a.2xlarge,euw1-az2,8,16.0,50,3,3.0,0.2028,0.344,23409.6225
c5a.2xlarge,euw1-az3,8,16.0,50,3,3.0,0.2165,0.344,23409.6225
c5a.4xlarge,euw1-az1,16,32.0,50,3,3.0,0.3977,0.688,23409.6225
c5a.4xlarge,euw1-az2,16,32.0,50,3,3.0,0.3884,0.688,23409.6225
c5a.4xlarge,euw1-az3,16,32.0,50,3,3.0,0.4047,0.688,23409.6225
c5a.8xlarge,euw1-az1,32,64.0,50,3,3.0,0.7832,1.376,23409.6225
c5a.8xlarge,euw1-az2,32,64.0,50,3,3.0,0.7853,1.376,23409.6225
c5a.8xlarge,euw1-az3,32,64.0,50,3,3.0,0.8035,1.376,23409.6225
c5a.large,euw1-az1,2,4.0,50,3,3.0,0.0583,0.086,23409.6225
c5a.large,euw1-az2,2,4.0,50,3,3.0,0.0598,0.086,23409.6225
c5a.large,euw1-az3,2,4.0,50,3,3.0,0.0587,0.086,23409.6225
c5a.xlarge,euw1-az1,4,8.0,50,3,3.0,0.1131,0.172,23409.6225
c5a.xlarge,euw1-az2,4,8.0,50,3,3.0,0.117,0.172,23409.6225
c5a.xlarge,euw1-az3,4,8.0,50,3,3.0,0.1133,0.172,23409.6225
c5ad.12xlarge,euw1-az1,48,96.0,1,3,3.0,1.0838,2.352,23409.6225
c5ad.12xlarge,euw1-az2,48,96.0,1,3,3.0,1.1399,2.352,23409.6225
c5ad.12xlarge,euw1-az3,48,96.0,1,3,3.0,0.9652,2.352,23409.6225
c5ad.16xlarge,euw1-az1,64,128.0,1,3,3.0,1.3596,3.136,23409.6225
c5ad.16xlarge,euw1-az2,64,128.0,1,3,3.0,1.3095,3.136,23409.6225
c5ad.16xlarge,euw1-az3,64,128.0,1,3,3.0,1.3544,3.136,23409.6225
c5ad.24xlarge,euw1-az1,96,192.0,10,3,3.0,1.7239,4.704,23409.6225
c5ad.24xlarge,euw1-az2,96,192.0,5,3,3.0,1.9092,4.704,23409.6225
c5ad.24xlarge,euw1-az3,96,192.0,5,3,3.0,1.7779,4.704,23409.6225
c5ad.2xlarge,euw1-az1,8,16.0,15,3,2.5,0.2172,0.392,23409.6225
c5ad.2xlarge,euw1-az2,8,16.0,20,3,2.5,0.2291,0.392,23409.6225
c5ad.2xlarge,euw1-az3,8,16.0,10,3,2.5,0.2161,0.392,23409.6225
c5ad.4xlarge,euw1-az1,16,32.0,1,3,3.0,0.441,0.784,23409.6225
c5ad.4xlarge,euw1-az2,16,32.0,5,3,3.0,0.3918,0.784,23409.6225
c5ad.4xlarge,euw1-az3,16,32.0,5,3,3.0,0.3912,0.784,23409.6225
c5ad.8xlarge,euw1-az1,32,64.0,1,3,3.0,0.818,1.568,23409.6225
c5ad.8xlarge,euw1-az2,32,64.0,1,3,3.0,0.8303,1.568,23409.6225
c5ad.8xlarge,euw1-az3,32,64.0,1,3,3.0,0.7862,1.568,23409.6225
c5ad.large,euw1-az1,2,4.0,35,3,3.0,0.0583,0.098,23409.6225
c5ad.large,euw1-az2,2,4.0,25,3,3.0,0.061,0.098,23409.6225
c5ad.large,euw1-az3,2,4.0,50,3,3.0,0.0493,0.098,23409.6225
c5ad.xlarge,euw1-az1,4,8.0,35,3,3.0,0.1434,0.196,23409.6225
c5ad.xlarge,euw1-az2,4,8.0,50,3,3.0,0.1435,0.196,23409.6225
c5ad.xlarge,euw1-az3,4,8.0,30,3,3.0,0.1414,0.196,23409.6225
c5d.12xlarge,euw1-az1,48,96.0,1,3,2.5,1.0774,2.616,24562.482727272727
c5d.12xlarge,euw1-az2,48,96.0,1,3,2.5,1.0886,2.616,24562.482727272727
c5d.12xlarge,euw1-az3,48,96.0,1,3,2.5,1.1429,2.616,24562.482727272727
c5d.18xlarge,euw1-az1,72,144.0,50,3,3.0,1.5445,3.924,24562.482727272727
c5d.18xlarge,euw1-az2,72,144.0,50,3,3.0,1.5544,3.924,24562.482727272727
c5d.18xlarge,euw1-az3,72,144.0,50,3,3.0,1.3725,3.924,24562.482727272727
c5d.24xlarge,euw1-az1,96,192.0,1,3,3.0,1.8707,5.232,24562.482727272727
c5d.24xlarge,euw1-az2,96,192.0,5,3,3.0,2.0594,5.232,24562.482727272727
c5d.24xlarge,euw1-az3,96,192.0,15,3,3.0,2.0567,5.232,24562.482727272727
c5d.2xlarge,euw1-az1,8,16.0,50,3,3.0,0.2149,0.436,24562.482727272727
c5d.2xlarge,euw1-az2,8,16.0,50,3,3.0,0.2479,0.436,24562.482727272727
c5d.2xlarge,euw1-az3,8,16.0,50,3,3.0,0.2339,0.436,24562.482727272727
c5d.4xlarge,euw1-az1,16,32.0,25,3,3.0,0.4793,0.872,24562.482727272727
c5d.4xlarge,euw1-az2,16,32.0,35,3,3.0,0.4938,0.872,24562.482727272727
c5d.4xlarge,euw1-az3,16,32.0,40,3,3.0,0.4759,0.872,24562.482727272727
c5d.9xlarge,euw1-az1,36,72.0,45,3,3.0,0.9459,1.962,24562.482727272727
c5d.9xlarge,euw1-az2,36,72.0,50,3,3.0,1.0302,1.962,24562.482727272727
c5d.9xlarge,euw1-az3,36,72.0,35,3,3.0,0.9961,1.962,24562.482727272727
c5d.large,euw1-az1,2,4.0,50,3,3.0,0.0585,0.109,24562.482727272727
c5d.large,euw1-az2,2,4.0,50,3,3.0,0.0617,0.109,24562.482727272727
c5d.large,euw1-az3,2,4.0,50,3,3.0,0.0605,0.109,24562.482727272727
c5d.xlarge,euw1-az1,4,8.0,50,3,3.0,0.1327,0.218,24562.482727272727
c5d.xlarge,euw1-az2,4,8.0,50,3,3.0,0.1314,0.218,24562.482727272727
c5d.xlarge,euw1-az3,4,8.0,50,3,3.0,0.1322,0.218,24562.482727272727
c5n.18xlarge,euw1-az1,72,192.0,10,3,2.5,1.7144,4.392,24562.482727272727
c5n.18xlarge,euw1-az2,72,192.0,5,3,2.5,1.559,4.392,24562.482727272727
c5n.18xlarge,euw1-az3,72,192.0,30,3,2.5,1.7714,4.392,24562.482727272727
c5n.2xlarge,euw1-az1,8,21.0,5,3,1.0,0.2696,0.488,24562.482727272727
c5n.2xlarge,euw1-az2,8,21.0,5,3,1.0,0.2465,0.488,24562.482727272727
