instance_type,availability_zone,num_instances,T3,pods,cpu,mem,actual_pods,excess_pods,cost,performance,total_cost_per_pod,nodes_used,efficiency
c6g.medium,ap-northeast-1c,10,45.0,10,1,2,10.0,0.0,0.145,196786.35,0.0145,10,135714.7241
m6g.medium,ap-northeast-1d,10,5.0,10,1,4,10.0,0.0,0.164,197708.9612,0.0164,10,120554.2447
c7g.8xlarge,ap-northeast-1d,1,50.0,10,2,2,16.0,6.0,0.4764,405709.695,0.0298,1,53225.978
c8g.metal-48xl,ap-northeast-1d,1,1.0,17,7,7,27.0,10.0,3.0707,831193.6109,0.1137,1,10025.3846
c6g.medium,ap-northeast-1c,50,45.0,50,1,2,50.0,0.0,0.725,983931.75,0.0145,50,27142.9448
m6g.medium,ap-northeast-1d,50,5.0,50,1,4,50.0,0.0,0.82,988544.8062,0.0164,50,24110.8489
c7g.8xlarge,ap-northeast-1d,4,50.0,50,2,2,64.0,14.0,1.9056,1622838.78,0.0298,4,13306.4945
c7g.8xlarge,ap-northeast-1d,8,50.0,75,3,5,80.0,5.0,3.8112,2028548.475,0.0476,8,6653.2473
c6g.medium,ap-northeast-1c,100,45.0,100,1,2,100.0,0.0,1.45,1967863.5,0.0145,100,13571.4724
m6g.medium,ap-northeast-1d,100,5.0,100,1,4,100.0,0.0,1.64,1977089.6125,0.0164,100,12055.4245
c7g.8xlarge,ap-northeast-1d,7,50.0,100,2,2,112.0,12.0,3.3348,2839967.865,0.0298,7,7603.7111
c7g.8xlarge,ap-northeast-1d,15,50.0,115,4,2,120.0,5.0,7.146,3042822.7125,0.0596,15,3548.3985
r8g.24xlarge,ap-northeast-1c,3,1.0,287,1,6,288.0,1.0,6.3801,8932515.4944,0.0222,3,4861.3155
c6g.medium,ap-northeast-1c,400,45.0,400,1,2,400.0,0.0,5.8,7871454.0,0.0145,400,3392.8681
m6g.medium,ap-northeast-1d,400,5.0,400,1,4,400.0,0.0,6.56,7908358.45,0.0164,400,3013.8561
c7g.8xlarge,ap-northeast-1d,25,50.0,400,2,2,400.0,0.0,11.91,10142742.375,0.0298,25,2129.0391
r8g.24xlarge,ap-northeast-1c,6,1.0,439,1,9,510.0,71.0,12.7602,15817996.188,0.025,6,2430.6577
c6g.medium,ap-northeast-1c,1000,45.0,1000,1,2,1000.0,0.0,14.5,19678635.0,0.0145,1000,1357.1472
m6g.medium,ap-northeast-1d,1000,5.0,1000,1,4,1000.0,0.0,16.4,19770896.125,0.0164,1000,1205.5424
c7g.8xlarge,ap-northeast-1d,63,50.0,1000,2,2,1008.0,8.0,30.0132,25559710.785,0.0298,63,844.8568
