pods,cpu,mem,golden_efficiency,greedy_efficiency,spotverse_node_efficiency,spotverse_pod_efficiency,golden_excess_pods,greedy_excess_pods,spotverse_node_excess_pods,spotverse_pod_excess_pods
10,1,2,380470.75596184423,380470.75596184423,136657.1875,24213.42500393267,6.0,6.0,0.0,86.0
10,1,4,380470.75596184423,380470.75596184423,130933.08688741722,130933.08688741722,6.0,6.0,0.0,0.0
10,2,2,229966.01039738706,23902.663144912643,61503.376101694914,24213.42500393267,0.0,46.0,0.0,38.0
17,7,7,20212.115304994106,11637.105395693055,9854.084380651315,12106.712501966334,0.0,12.0,0.0,9.0
50,1,2,69719.47973696796,69719.47973696796,27331.4375,24213.42500393267,0.0,0.0,0.0,46.0
50,1,4,52421.48673198848,39120.428670668,26186.617382781456,26186.617382781456,0.0,14.0,0.0,0.0
50,2,2,24760.019507448163,23902.663144912643,12300.675221468928,12106.712501966334,0.0,6.0,0.0,46.0
75,3,5,10791.49834318187,8072.276333995691,4129.387414446025,8071.1416679775575,0.0,26.0,0.0,21.0
100,1,2,28838.710223671947,16072.606032763531,13665.71875,12106.712501966334,0.0,62.0,0.0,92.0
100,1,4,22382.076086927627,8016.566823197121,13093.30869205298,13093.30869205298,0.0,156.0,0.0,0.0
100,2,2,12093.535461938409,12093.535461938409,6150.337611016949,8071.141667977556,4.0,4.0,0.0,44.0
115,4,2,5173.085683226219,4860.684458606121,2693.078748544585,4842.685000786534,0.0,9.0,0.0,5.0
287,1,6,5843.694744783828,5240.532782139995,4071.8638411079774,5680.215153013571,0.0,32.0,0.0,1.0
400,1,2,5443.735121558928,5386.654766893538,3416.4296875,4842.685000786534,0.0,50.0,0.0,80.0
400,1,4,4984.093573657285,3409.5578968206323,3273.327173013245,3273.327173013245,0.0,176.0,0.0,0.0
400,2,2,2972.3845721406815,2703.107079206826,1537.584402736582,2690.3805559925195,0.0,40.0,0.0,32.0
439,1,9,3220.1336356703036,2615.617869987738,991.2681070694306,2840.107576506785,0.0,103.0,0.0,71.0
1000,1,2,2371.8706466697404,2314.2437844062083,1366.571875,2201.2204549029702,0.0,26.0,0.0,56.0
1000,1,4,1930.1554365641948,1673.2148829582845,1309.330869205298,1309.330869205298,0.0,152.0,0.0,0.0
1000,2,2,1174.4079732011621,1159.1595987481396,615.0337610988701,1153.0202382825082,0.0,16.0,0.0,8.0
